Name,Team,Age,Position,Apps,Minutes,Tackles per game,Interceptions per game,Fouls per game,Offsides per game,Clearances per game,Dribbled past per game,Outfield blocks per game,Own goals,Rating
Paulo Dybala,Juventus,25,"AM(CR),FW",26(7),2358,0.6,0.4,0.5,-,0.1,0.8,-,-,7.77
Luis Alberto,Lazio,26,"AM(CL),FW",32(2),2677,1.1,0.5,0.6,-,0.1,1,0.1,-,7.69
Faouzi Ghoulam,Napoli,28,D(L),11,987,0.7,1.4,0.9,0.1,1.2,0.2,0.2,-,7.65
Alejandro Gómez,Atalanta,31,"M(CL),FW",31(2),2758,0.4,0.7,0.6,-,0.1,0.6,-,-,7.65
Lukasz Skorupski,Roma,28,GK,1,90,-,-,-,-,1,-,-,-,7.63
Aleksandar Kolarov,Roma,33,"D(CL),M(L)",34(1),3061,1.7,1.5,0.7,0.3,2.4,0.6,0.2,-,7.52
Lorenzo Insigne,Napoli,28,"AM(CL),FW",36(1),3104,0.8,0.5,0.3,-,0.1,0.5,-,-,7.51
Alex Sandro,Juventus,28,"D(L),M(L)",23(3),2115,2.2,1.2,2,0.1,1.6,0.7,-,-,7.47
Douglas Costa,Juventus,28,M(CLR),18(13),1793,0.5,0.2,0.7,-,0.2,0.5,-,-,7.45
Felipe Anderson,Lazio,26,"M(CLR),FW",9(12),1152,1.6,0.5,0.4,-,0.2,1.4,-,-,7.45
Marco Silvestri,Verona,28,GK,2,180,-,0.5,-,-,-,-,-,-,7.44
Miralem Pjanic,Juventus,29,M(C),28(3),2489,1.2,2,1.3,-,0.8,1.2,0.1,1,7.42
Edin Dzeko,Roma,33,FW,33(3),3019,0.4,0.1,1,-,1,0.3,-,-,7.40
Josip Ilicic,Atalanta,31,"AM(CLR),FW",21(10),2004,0.8,0.5,0.7,-,-,0.7,-,-,7.39
Sergej Milinkovic-Savic,Lazio,24,AM(C),33(2),2850,1.6,0.9,1.7,-,0.9,1.1,0.2,-,7.39
Ciro Immobile,Lazio,29,FW,33,2697,0.1,-,0.6,-,0.2,0.5,-,-,7.39
Ivan Perisic,Inter,30,AM(CLR),37,3316,1.3,1.2,0.7,-,1.5,1.3,0.2,1,7.35
Juan Cuadrado,Juventus,31,"D(R),M(CLR),FW",15(6),1359,1.3,0.9,0.5,-,0.5,0.8,-,-,7.28
Mauro Icardi,Inter,26,FW,34,2971,0.1,0.1,0.5,-,0.7,0.2,0.2,-,7.28
Lucas Leiva,Lazio,32,"D(C),M(C)",35(1),2894,3,1.9,1.2,0.1,1.5,2,0.2,-,7.26
Christian Puggioni,Sampdoria,38,GK,9,810,-,-,0.1,-,1.1,-,-,-,7.26
Federico Fazio,Roma,32,D(C),32(2),2920,1.6,1.4,0.7,0.9,4.6,0.2,0.6,-,7.26
Gonzalo Higuaín,Juventus,31,FW,32(3),2818,0.5,0.2,0.5,-,0.6,0.5,0.1,-,7.25
Medhi Benatia,Juventus,32,D(C),19(1),1755,1.4,2.2,1.4,0.3,4.3,0.4,0.6,-,7.25
Mattia De Sciglio,Juventus,26,"D(LR),M(LR)",10(2),967,1.8,1.2,0.6,0.2,1.9,0.3,0.2,-,7.24
Simone Verdi,Bologna,26,"AM(CLR),FW",34,2836,1,1.1,0.6,-,0.2,0.9,-,-,7.23
Lorenzo Tonelli,Napoli,29,D(C),3(1),350,1.8,1.8,0.3,2,2.5,1,0.3,-,7.23
Suso,AC Milan,25,"AM(CLR),FW",33(2),2847,0.5,0.5,0.9,-,0.1,0.8,-,-,7.22
Antonio Santurro,Bologna,27,Goalkeeper,1,90,-,-,-,-,3,-,-,-,7.22
