Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Valencia,Jaume Doménech,0,6,0,3,12,7.38
Levante,Koke,1,3,0,0,6,7.30
Girona,Gorka Iraizoz,1,24,0,1,31,7.16
Sevilla,Juan Soriano,4,7,0,2,9,7.15
Atletico Madrid,Jan Oblak,5,67,0,20,105,7.07
Real Betis,Joel Robles,5,13,0,1,16,7.02
Villarreal,Sergio Asenjo,9,77,1,9,122,7.01
Atletico Madrid,Antonio Adán,0,4,0,0,5,7.00
Girona,Bono,7,72,0,8,125,6.97
Getafe,David Soria,19,75,2,13,102,6.96
Real Madrid,Keylor Navas,4,12,0,4,23,6.96
Leganes,Andriy Lunin,2,9,1,1,14,6.94
Valencia,Neto,5,60,1,10,109,6.92
Villarreal,Andrés Fernández,4,11,0,2,16,6.92
Levante,Oier Olazábal,5,55,1,5,96,6.90
Barcelona,Marc-André ter Stegen,5,54,0,16,85,6.90
Levante,Aitor,8,42,0,2,60,6.90
Deportivo Alaves,Fernando Pacheco,16,72,0,8,112,6.88
Huesca,Roberto Santamaria,3,45,0,6,69,6.88
Espanyol,Diego López,2,86,2,10,121,6.85
Real Valladolid,Jordi Masip,3,60,3,9,101,6.81
Real Madrid,Thibaut Courtois,5,39,1,8,69,6.80
Real Betis,Pau López,13,55,1,10,87,6.78
Real Sociedad,Gerónimo Rulli,8,50,1,7,77,6.78
Sevilla,Tomáš Vaclík,6,56,1,8,100,6.75
Leganes,Iván Cuéllar,9,52,0,9,78,6.75
Celta Vigo,Rubén Blanco,14,42,0,6,69,6.70
Rayo Vallecano,Stole Dimitrievski,5,40,1,3,60,6.69
Real Sociedad,Miguel Ángel Moyà,5,13,0,2,22,6.68
Eibar,Marko Dmitrović,24,41,1,5,56,6.68
Rayo Vallecano,Alberto Garcia,7,34,3,4,54,6.66
Athletic Bilbao,Iago Herrerín,16,31,0,10,57,6.65
Celta Vigo,Sergio Álvarez,1,25,0,2,38,6.58
Barcelona,Jasper Cillessen,1,8,0,1,10,6.57
Eibar,Asier Riesgo,9,19,0,4,27,6.52
Deportivo Alaves,Antonio Sivera,1,6,0,0,9,6.47
Athletic Bilbao,Unai Simon,1,16,0,0,21,6.43
Huesca,Aleksandar Jovanović,0,18,0,0,28,6.41
Sevilla,Javier Díaz,0,1,0,0,1,6.40
Getafe,Leandro Chichizola,0,0,0,0,0,6.20
Huesca,Axel Werner,0,13,0,0,17,6.15
Real Madrid,Luca Zidane,0,1,0,0,1,6.10
Real Valladolid,Yoel Rodríguez,0,3,0,0,6,5.93
