Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Celta Vigo,Hugo Mallo,15,1,99,68,84,6.99
Villarreal,Víctor Ruiz,17,1,132,58,33,6.99
Athletic Bilbao,Beñat Etxebarria,1,0,11,28,28,6.98
Sevilla,Simon Kjær,10,0,106,32,35,6.97
Real Betis,Loren Moron,1,0,9,1,14,6.97
Real Madrid,Nacho Fernández,9,0,48,46,55,6.97
Getafe,Vicente Guaita,0,0,34,3,0,6.97
Real Madrid,Lucas Vázquez,2,0,7,7,48,6.97
Sevilla,Ganso,0,0,4,2,15,6.97
Real Sociedad,Alberto de la Bella,5,0,42,21,36,6.97
Levante,Jefferson Lerma,10,0,37,49,51,6.97
Getafe,Fayçal Fajr,4,0,39,30,61,6.97
Real Madrid,Keylor Navas,0,1,14,3,2,6.97
Real Sociedad,Raúl Navas,13,0,72,30,22,6.97
Leganes,Alexander Szymanowski,0,0,3,22,14,6.96
Girona,Marc Muniesa,5,0,36,33,33,6.96
Deportivo La Coruna,Luisinho,4,0,92,55,111,6.96
Deportivo Alaves,Víctor Laguardia,14,0,108,29,20,6.96
Real Sociedad,Carlos Vela,0,0,0,0,12,6.96
Valencia,Santi Mina,1,0,18,2,17,6.96
Villarreal,Samu Castillejo,5,0,21,21,41,6.96
Espanyol,Naldo,10,0,56,16,14,6.95
Athletic Bilbao,Enric Saborit,5,0,49,24,50,6.95
Sevilla,Steven N'Zonzi,8,2,34,28,39,6.95
Sevilla,Sergio Escudero,6,1,55,67,78,6.95
Athletic Bilbao,Iago Herrerín,0,0,10,0,2,6.95
Sevilla,Carlos Fernández Luna,0,0,0,0,1,6.95
Leganes,Gabriel Pires,4,0,26,38,90,6.95
Malaga,Chori Castro,2,0,10,23,37,6.95
Eibar,Paulo Oliveira,9,0,135,62,41,6.95
Getafe,Ángel Rodríguez,3,0,13,6,28,6.95
Barcelona,Lucas Digne,3,0,16,12,22,6.95
Las Palmas,Leandro Chichizola,0,3,42,4,2,6.94
Espanyol,Sergi Darder,5,1,42,51,64,6.94
Leganes,Dimitrios Siovas,12,0,86,63,48,6.94
Espanyol,David López,26,0,156,68,67,6.94
Real Madrid,Borja Mayoral,0,0,0,0,6,6.94
Deportivo La Coruna,Adrián López,4,0,43,10,24,6.94
Valencia,Neto,0,1,21,1,1,6.94
Real Betis,Joel Campbell,0,0,0,0,6,6.94
Deportivo La Coruna,Federico Cartabia,0,0,5,18,37,6.94
Levante,Raúl Fernández,0,0,13,0,0,6.94
Sevilla,Jesús Navas,5,0,30,19,32,6.94
Sevilla,Nolito,2,0,15,10,49,6.93
Sevilla,Clément Lenglet,27,1,150,35,67,6.93
Eibar,David Lombán,4,0,64,29,16,6.93
Eibar,Charles Días,0,0,10,7,11,6.93
Real Madrid,Jesús Vallejo,5,1,21,16,8,6.93
Athletic Bilbao,Ander Iturraspe,7,0,56,35,42,6.93
Girona,Bernardo Espinosa,19,0,169,66,36,6.93
Deportivo Alaves,Martín Aguirregabiria,7,0,59,41,50,6.92
Barcelona,Ousmane Dembélé,0,0,2,5,10,6.92
Leganes,Joseba Zaldúa,5,0,79,61,68,6.92
Barcelona,Thomas Vermaelen,3,0,28,18,13,6.92
Sevilla,David Soria,0,1,26,2,1,6.92
Espanyol,Pau López,0,2,18,1,0,6.92
Real Betis,Cristian Tello,0,1,3,16,32,6.92
Getafe,Juan Cala,10,0,119,39,21,6.92
Las Palmas,Oussama Tannane,0,0,0,5,15,6.91
Real Madrid,Mateo Kovačić,4,0,5,5,37,6.91
Celta Vigo,Pablo Hernández,11,0,71,40,48,6.91
Deportivo Alaves,Rodrigo Ely,36,0,178,50,32,6.91
Malaga,Paul Baysse,6,0,81,20,25,6.91
Celta Vigo,Sergi Gómez,22,1,115,56,52,6.91
Leganes,Raúl García,3,1,42,19,34,6.90
Las Palmas,Sergi Samper,0,0,0,0,10,6.90
Sevilla,Walter Montoya,0,0,3,0,1,6.90
Eibar,Asier Riesgo,0,0,1,0,0,6.90
Deportivo Alaves,Víctor López,0,0,1,1,2,6.90
Getafe,Leandro Cabrera,5,0,34,22,19,6.90
Real Betis,Antonio Sanabria,0,0,6,4,8,6.89
Villarreal,Álvaro González,24,0,184,53,38,6.89
Real Madrid,Dani Ceballos,0,0,1,5,9,6.89
Eibar,Dani García,4,0,23,70,80,6.89
Espanyol,Diego López,0,0,4,0,0,6.89
Athletic Bilbao,Yeray Álvarez,2,0,17,11,12,6.89
Deportivo Alaves,Rubén Duarte,10,0,68,44,76,6.89
Malaga,Recio,3,0,17,30,54,6.89
Espanyol,Javi López,2,0,44,18,47,6.89
Valencia,Ezequiel Garay,11,0,135,24,18,6.88
Valencia,Nemanja Maksimović,6,0,8,16,21,6.88
Girona,Aleix García,1,0,11,17,24,6.88
Deportivo Alaves,Fernando Pacheco,0,3,23,3,0,6.88
Sevilla,Gabriel Mercado,20,1,78,42,55,6.88
Villarreal,Jaume Costa,8,0,74,46,67,6.88
Sevilla,Pablo Sarabia,1,1,22,30,27,6.88
Espanyol,Didac Vila,3,0,22,14,29,6.88
Malaga,Federico Ricca,2,0,35,24,43,6.88
Atletico Madrid,Gabi,10,0,36,44,80,6.88
Leganes,Unai Bustinza,9,0,62,47,36,6.88
Deportivo La Coruna,Guilherme,9,0,59,46,79,6.87
Villarreal,Daniele Bonera,12,0,71,12,16,6.87
Getafe,Bruno González,3,0,106,31,25,6.87
Athletic Bilbao,Aritz Aduriz,0,0,18,3,11,6.87
Sevilla,Guido Pizarro,7,0,47,26,75,6.87
Las Palmas,Ximo Navarro,16,1,124,66,63,6.87
Villarreal,Nicola Sansone,0,0,2,1,8,6.87
Valencia,Francis Coquelin,2,0,23,20,18,6.87
Celta Vigo,Jonny Castro,8,1,72,93,102,6.87
Villarreal,Sergio Asenjo,0,1,20,0,2,6.87
Barcelona,Paulinho,3,0,14,15,39,6.86
Athletic Bilbao,Kepa Arrizabalaga,0,2,21,2,0,6.86
Girona,Pedro Alcala,3,0,41,14,9,6.86
Barcelona,Paco Alcácer,0,0,3,11,4,6.86
Valencia,Simone Zaza,1,0,32,8,21,6.86
Deportivo La Coruna,Celso Borges,7,0,34,34,61,6.86
Eibar,Sergi Enrich,1,0,7,6,11,6.86
Levante,Enis Bardhi,0,0,5,16,38,6.86
Real Sociedad,Miguel Ángel Moyà,0,0,9,2,0,6.86
Deportivo Alaves,Ibai Gómez,1,1,19,15,19,6.85
Valencia,Rubén Vezo,9,0,75,23,43,6.85
Real Betis,Ryad Boudebouz,1,0,7,7,32,6.85
Eibar,David Juncà,1,0,19,11,15,6.85
Las Palmas,Alejandro Gálvez,12,2,91,56,61,6.85
Atletico Madrid,Yannick Carrasco,0,0,1,4,17,6.85
Real Sociedad,Adnan Januzaj,0,0,3,11,16,6.85
Deportivo La Coruna,Juanfran,11,0,103,63,64,6.85
Girona,Portu,0,0,1,12,30,6.84
Las Palmas,Jonathan Calleri,2,0,34,6,24,6.84
Girona,Juanpe,19,0,134,53,48,6.84
Valencia,Nacho Vidal,2,0,10,10,17,6.84
Getafe,Loïc Rémy,0,0,4,2,8,6.84
Villarreal,Mariano Barbosa,0,0,10,1,0,6.84
Celta Vigo,Stanislav Lobotka,9,0,20,39,64,6.84
Leganes,Ezequiel Muñoz,11,0,82,24,36,6.84
Atletico Madrid,Juanfran,4,0,24,26,33,6.84
Eibar,Joan Jordan,0,0,11,30,31,6.83
Atletico Madrid,Diego Costa,4,0,2,5,17,6.83
Real Sociedad,Kevin Rodrigues,6,0,33,27,44,6.83
Las Palmas,Alen Halilović,1,0,4,5,11,6.83
Celta Vigo,Emre Mor,1,0,3,4,14,6.83
Real Sociedad,Igor Zubeldia,5,0,29,32,39,6.83
Barcelona,Denis Suárez,0,0,2,2,11,6.83
Athletic Bilbao,Óscar de Marcos,2,0,31,19,27,6.82
Espanyol,Pablo Piatti,3,0,10,22,45,6.82
Deportivo Alaves,Guillermo Maripán,10,0,107,36,28,6.82
Girona,Pablo Maffeo,7,0,61,50,74,6.82
Levante,Emmanuel Boateng,1,0,14,5,4,6.82
Barcelona,Gerard Deulofeu,0,0,0,8,8,6.82
Getafe,Emiliano Martínez,0,0,7,0,0,6.82
Deportivo La Coruna,Fabian Schär,20,1,139,45,59,6.82
Eibar,Kike,1,0,14,10,14,6.82
Leganes,Martín Mantovani,6,0,65,22,12,6.82
Las Palmas,Javi Castellano,6,1,16,38,47,6.81
Malaga,Miguel Torres,7,0,31,13,16,6.81
Athletic Bilbao,Iñaki Williams,2,0,10,17,28,6.81
Espanyol,Víctor Sánchez,14,1,69,79,106,6.81
Espanyol,Aarón Martin Caricol,5,0,58,49,56,6.81
Leganes,Iván Cuéllar,0,4,32,3,4,6.81
Girona,Michael Olunga,0,0,5,3,6,6.81
Sevilla,Miguel Layún,4,0,37,15,28,6.81
Girona,David Timor,5,0,28,20,17,6.81
Levante,José Luis Morales,0,0,14,26,37,6.81
Getafe,Markel Bergara,3,0,20,24,35,6.81
Deportivo Alaves,Manu García,11,0,65,35,95,6.80
Espanyol,Léo Baptistão,1,0,22,23,54,6.80
Malaga,Isaac Success,0,0,0,5,9,6.80
Eibar,Gonzalo Escalante,3,0,18,32,59,6.80
Real Madrid,Marcos Llorente,0,0,8,5,15,6.80
Celta Vigo,Facundo Roncaglia,6,0,49,31,35,6.80
Eibar,Bebé,0,0,1,3,9,6.80
Villarreal,Andrés Fernández,0,0,6,0,1,6.80
Malaga,Emanuel Cecchini,0,0,1,2,3,6.80
Malaga,Álex Robles,0,0,3,3,2,6.80
Real Betis,Antonio Barragán,5,0,52,24,59,6.80
Athletic Bilbao,Markel Susaeta,0,0,11,18,42,6.80
Levante,Sergio Postigo,13,1,140,40,36,6.80
Deportivo Alaves,Tomás Pina,10,0,34,43,71,6.80
Espanyol,Esteban Granero,0,0,16,19,32,6.80
Las Palmas,Alberto Aquilani,4,0,23,23,33,6.80
Malaga,Roberto,0,0,29,2,0,6.79
Sevilla,Johannes Geis,5,0,26,11,20,6.79
Malaga,Luis Hernández,21,1,181,77,49,6.79
Deportivo La Coruna,Emre Çolak,1,0,4,7,24,6.79
Getafe,Damián Suárez,8,0,65,46,86,6.79
Espanyol,Marc Roca,2,0,10,3,8,6.79
Espanyol,Sergio García,3,0,10,10,15,6.79
Girona,Bono,0,0,25,4,1,6.79
Sevilla,Roque Mesa,2,0,4,0,13,6.79
Sevilla,Lionel Carole,3,0,24,6,12,6.78
Deportivo Alaves,Álvaro Medrán,0,0,10,16,21,6.78
Leganes,Miguel Ángel Guerrero,0,0,16,9,7,6.78
Las Palmas,David García,8,1,31,19,16,6.78
Las Palmas,Mauricio Lemos,13,0,50,25,22,6.78
Levante,Ruben Rochina,0,0,0,2,8,6.78
Athletic Bilbao,Xabier Etxeita,2,1,25,7,2,6.78
Real Betis,Sergio León,1,0,4,6,13,6.78
Athletic Bilbao,Mikel Rico,5,1,10,24,24,6.78
Atletico Madrid,Fernando Torres,1,0,9,2,11,6.77
Real Betis,Juan Narváez,0,0,3,8,8,6.77
Eibar,Rubén Peña,6,0,22,30,41,6.77
Sevilla,Wissam Ben Yedder,0,0,2,5,12,6.77
Getafe,Jorge Molina,4,0,27,7,18,6.77
Sevilla,Daniel Carriço,3,0,21,10,7,6.77
Real Betis,Antonio Adán,0,1,21,0,1,6.77
Athletic Bilbao,Mikel Balenziaga,5,0,53,17,34,6.77
Athletic Bilbao,Íñigo Lekue,3,0,37,15,71,6.77
Levante,Roger,0,0,5,1,8,6.76
Deportivo Alaves,Mubarak Wakaso,1,0,18,35,43,6.76
Valencia,Toni Lato,3,0,16,9,30,6.76
Villarreal,Raba,1,0,8,17,25,6.76
Deportivo Alaves,Rubén Sobrino,2,0,8,18,33,6.76
Celta Vigo,Jozabed Sánchez,2,0,17,16,18,6.76
Getafe,Vitorino Antunes,3,0,77,58,58,6.76
Girona,Anthony Lozano,0,0,2,3,9,6.76
Las Palmas,Michel Macedo,11,0,51,39,33,6.76
Celta Vigo,Gustavo Cabral,11,2,102,42,30,6.76
Barcelona,Nélson Semedo,2,0,22,22,34,6.75
Villarreal,Enes Ünal,4,0,16,6,15,6.75
Real Betis,Francis Guerrero,4,0,22,21,31,6.75
Las Palmas,Sergio Araujo,0,0,0,0,3,6.75
Espanyol,Sergio Sánchez,0,0,3,3,4,6.75
Real Sociedad,Juanmi,0,0,2,10,22,6.75
Deportivo Alaves,John Guidetti,1,0,7,2,7,6.75
Levante,Coke,5,0,43,34,35,6.75
Las Palmas,Pedro Bigas,11,0,40,16,14,6.75
Getafe,Dani Pacheco,0,0,1,2,4,6.74
Atletico Madrid,Kévin Gameiro,0,0,4,4,11,6.74
Eibar,Ander Capa,2,1,42,52,57,6.74
Girona,Aday Benítez,3,1,46,25,17,6.74
Sevilla,Franco Vázquez,2,0,11,11,39,6.74
Eibar,Iván Alejo,0,0,0,5,20,6.74
Levante,Erick Cabaco,8,2,71,17,25,6.74
Atletico Madrid,Vitolo,4,0,6,12,24,6.73
Las Palmas,Momo,0,0,1,5,14,6.73
