Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Barcelona,Lionel Messi,22,153,185,18,34,8.48
Eibar,Yoel Rodríguez,0,0,0,0,0,7.90
Real Madrid,Cristiano Ronaldo,19,140,31,22,26,7.90
Real Madrid,Toni Kroos,16,31,24,1,5,7.73
Barcelona,Javier Mascherano,0,0,0,0,0,7.70
Celta Vigo,Iago Aspas,31,72,58,12,22,7.60
Barcelona,Jasper Cillessen,0,0,0,0,0,7.60
Valencia,Dani Parejo,18,38,46,0,7,7.59
Real Madrid,Gareth Bale,25,65,31,9,16,7.52
Barcelona,Luis Suárez,27,94,39,24,25,7.51
Atletico Madrid,Antoine Griezmann,31,61,28,11,19,7.49
Barcelona,Philippe Coutinho,29,28,46,2,8,7.47
Atletico Madrid,Filipe Luís,20,5,26,0,1,7.45
Levante,Ivan Lopez,0,1,4,0,0,7.40
Real Madrid,Casemiro,19,26,11,2,5,7.35
Real Betis,Marc Bartra,9,11,22,1,1,7.34
Real Madrid,Luka Modrić,4,26,48,1,1,7.34
Real Sociedad,Asier Illarramendi,27,26,30,1,7,7.33
Real Madrid,Sergio Ramos,15,27,9,4,4,7.30
Las Palmas,Jonathan Viera,13,32,65,4,4,7.30
Espanyol,Gerard Moreno,19,85,63,11,16,7.26
Girona,Alex Granell,3,32,48,2,1,7.24
Atletico Madrid,Lucas Hernández,0,5,30,0,0,7.23
Real Sociedad,Sergio Canales,9,44,46,0,4,7.22
Real Madrid,Isco,22,32,58,5,7,7.22
Athletic Bilbao,Iker Muniain,25,16,22,1,4,7.21
Real Madrid,Marco Asensio,15,40,31,4,6,7.21
Athletic Bilbao,Aymeric Laporte,0,7,4,1,0,7.21
Barcelona,Jordi Alba,18,11,23,4,2,7.20
Valencia,João Cancelo,0,3,2,0,0,7.20
Atletico Madrid,Axel Werner,0,0,0,0,0,7.20
Deportivo La Coruna,Francis Uzoho,0,0,0,0,0,7.20
Barcelona,Ivan Rakitić,5,20,26,2,1,7.20
Sevilla,Éver Banega,10,29,83,1,3,7.20
Barcelona,Sergio Busquets,25,4,18,0,1,7.19
Eibar,Pedro León,0,17,18,0,0,7.19
Real Betis,Dani Giménez,0,0,1,0,0,7.18
Barcelona,Gerard Piqué,15,13,13,4,2,7.17
Villarreal,Rodrigo,4,24,26,1,1,7.17
Real Madrid,Daniel Carvajal,0,11,32,2,0,7.16
Girona,Borja Garcia,5,40,40,2,2,7.16
Real Betis,Joaquín,15,27,64,3,4,7.15
Barcelona,Samuel Umtiti,13,8,8,2,1,7.15
Barcelona,Yerry Mina,0,2,1,0,0,7.14
Atletico Madrid,Saúl Ñíguez,5,39,59,1,2,7.14
Valencia,Geoffrey Kondogbia,21,19,55,1,4,7.14
Atletico Madrid,Koke,19,21,20,2,4,7.14
Real Madrid,Marcelo,8,25,33,0,2,7.14
Real Sociedad,Willian José,22,67,18,6,15,7.13
Atletico Madrid,Thomas Partey,17,18,45,0,3,7.13
Eibar,José Ángel,0,11,27,0,0,7.13
Valencia,Rodrigo,23,71,44,13,16,7.13
Real Betis,Fabián Ruiz,11,27,69,1,3,7.13
Deportivo La Coruna,Lucas Pérez,20,41,32,8,8,7.13
Barcelona,Sergi Roberto,14,7,54,0,1,7.12
Villarreal,Mario Gaspar,9,23,22,1,2,7.11
Atletico Madrid,Diego Godín,0,12,6,1,0,7.10
Villarreal,Manu Trigueros,13,24,32,1,3,7.09
Valencia,Jeison Murillo,0,1,3,0,0,7.09
Valencia,José Luis Gayà,0,11,38,0,0,7.09
Deportivo Alaves,Munir El Haddadi,20,51,28,9,10,7.08
