Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Barcelona,Dani Alves,0,11,24,1,0,6.97
Villarreal,Eric Bailly,0,4,15,0,0,6.96
Celta Vigo,Hugo Mallo,17,6,11,0,1,6.96
Sevilla,Yevhen Konoplyanka,10,40,50,2,4,6.96
Malaga,Yegor Filipenko,0,6,0,0,0,6.96
Eibar,Sergi Enrich,24,38,12,8,9,6.96
Deportivo La Coruna,Federico Cartabia,7,43,41,0,3,6.96
Malaga,Roberto Rosales,0,13,24,0,0,6.96
Eibar,Dani García,0,14,12,1,0,6.95
Real Madrid,Isco,10,29,57,3,3,6.95
Levante,Deyverson,15,61,11,10,9,6.95
Celta Vigo,Fabián Orellana,13,52,74,6,7,6.95
Sevilla,Nicolás Pareja,0,0,0,0,0,6.95
Real Sociedad,Esteban Granero,0,4,12,0,0,6.95
Sevilla,Steven N'Zonzi,18,17,13,0,3,6.95
Villarreal,Mario Gaspar,8,25,6,0,2,6.95
Getafe,Juan Cala,25,4,9,0,1,6.95
Villarreal,Manu Trigueros,10,20,6,0,2,6.94
Deportivo La Coruna,Celso Borges,18,17,6,2,3,6.94
Las Palmas,Willian José,21,42,11,2,9,6.94
Atletico Madrid,Thomas Partey,22,9,8,3,2,6.94
Real Betis,Alfred N'Diaye,11,18,32,1,2,6.94
Atletico Madrid,Juanfran,20,5,33,0,1,6.94
Sevilla,Kévin Gameiro,26,61,18,21,16,6.94
Villarreal,Víctor Ruiz,0,3,10,1,0,6.93
Getafe,Alexis Ruano,100,1,4,0,1,6.93
Deportivo La Coruna,Álex Bergantiños,25,8,3,0,2,6.93
Barcelona,Rafinha Alcántara,50,2,3,0,1,6.93
Deportivo La Coruna,Fayçal Fajr,13,38,12,1,5,6.93
Real Madrid,Nacho Fernández,0,3,4,1,0,6.93
Deportivo La Coruna,Luis Alberto,10,61,34,6,6,6.93
Getafe,Emiliano Velazquez,50,6,5,0,3,6.93
Sevilla,Sergio Rico,0,0,0,0,0,6.93
Eibar,Gonzalo Escalante,15,20,30,2,3,6.93
Real Madrid,Jesé Rodríguez,26,19,19,3,5,6.93
Espanyol,Raillo,0,3,0,0,0,6.93
Valencia,Aymen Abdennour,0,5,6,1,0,6.92
Granada,Miguel Lopes,0,7,25,0,0,6.92
Levante,Zouhair Feddal,9,11,8,0,1,6.92
Real Sociedad,Mikel González,0,4,6,0,0,6.92
Espanyol,Víctor Sánchez,6,18,14,3,1,6.92
Atletico Madrid,Jackson Martínez,12,17,6,1,2,6.92
Real Sociedad,David Zurutuza,8,13,12,3,1,6.92
Sevilla,Michael Krohn-Dehli,5,19,14,2,1,6.91
Athletic Bilbao,Xabier Etxeita,0,8,4,0,0,6.91
Eibar,Borja Bastón,24,76,7,19,18,6.91
Valencia,Denis Cheryshev,30,10,10,4,3,6.91
Real Betis,Antonio Adán,0,0,1,0,0,6.91
Athletic Bilbao,Iker Muniain,13,16,18,3,2,6.91
Malaga,Carlos Kameni,0,0,2,0,0,6.91
Malaga,Guillermo Ochoa,0,0,0,0,0,6.91
Espanyol,Papakouli Diop,15,20,12,1,3,6.91
Real Betis,Charly Musonda Jr,10,10,57,0,1,6.91
Levante,Giuseppe Rossi,24,25,18,7,6,6.91
Sevilla,Mariano,0,8,12,1,0,6.90
Granada,Jean-Sylvain Babin,27,11,0,0,3,6.90
Las Palmas,Dani Castellano,0,6,47,0,0,6.90
Malaga,Chori Castro,6,17,39,0,1,6.90
Barcelona,Sergi Samper,0,0,0,0,0,6.90
Real Madrid,Álvaro Arbeloa,0,0,0,0,0,6.90
Real Sociedad,Markel Bergara,10,10,4,0,1,6.90
Valencia,Javi Fuego,0,3,8,0,0,6.90
Granada,Jesús Fernández,0,0,0,0,0,6.90
Real Sociedad,Eneko Capilla,0,1,1,0,0,6.90
Sevilla,Sergio Escudero,10,10,15,0,1,6.90
Levante,José Mari,0,7,4,0,0,6.90
Villarreal,Denis Suárez,14,28,40,1,4,6.90
Athletic Bilbao,Mikel San José,11,19,10,3,2,6.90
Celta Vigo,Pablo Hernández,10,21,24,2,2,6.89
Real Sociedad,Alberto de la Bella,0,3,2,0,0,6.89
Real Betis,Martín Montoya,0,0,14,0,0,6.89
Real Sociedad,Gerónimo Rulli,0,0,2,0,0,6.89
Real Betis,Juan Manuel Vargas,15,13,13,0,2,6.89
Villarreal,Jonathan dos Santos,0,13,12,1,0,6.89
