"player_name","club_name","age","position","apps","mins","goals","assists","yellow_cards","red_cards","shots_per_goal","pass_accuracy","aerials_won","man_of_the_match","Field14"
"Sergio Canales","Real Betis,","28",",  AM(CLR)","30(2)","2658","7","2","7","-","2.1","88.3","0.2","1","7.00"
"Sergio Busquets","Barcelona,","30",",  DMC","30(5)","2720","-","1","10","-","0.2","89.7","1.5","-","7.00"
"Iñaki Williams","Athletic Bilbao,","24",",  AM(CLR),FW","36(2)","3040","13","4","3","-","2","70.3","2.1","5","7.00"
"Brais Méndez","Celta Vigo,","22",",  AM(CR)","27(4)","2354","6","7","5","-","2.3","78.5","1","1","6.99"
"Francis Coquelin","Valencia,","28",",  M(CLR)","20(6)","1767","-","1","5","-","0.3","86.1","1.3","1","6.99"
"Diego Godín","Atletico Madrid,","33",",  D(C)","28(2)","2508","3","1","7","-","0.5","80.5","3","1","6.98"
"José Gayá","Valencia,","24",",  D(L)","35","3138","1","1","10","-","0.4","81.9","1","2","6.98"
"Borja Garcés","Atletico Madrid,","19",",  Forward","0(1)","19","1","-","-","-","3","50","-","-","6.98"
"Yeray Álvarez","Athletic Bilbao,","24",",  D(C)","30","2614","-","-","10","-","0.4","80.1","3.4","2","6.98"
"Marc Bartra","Real Betis,","28",",  D(CR)","33","2930","1","-","4","-","0.3","87.8","2.3","1","6.97"
"Jorge Molina","Getafe,","37",",  FW","28(10)","2651","14","5","2","-","1.5","66.7","2.4","4","6.97"
"Fabián Orellana","Eibar,","33",",  AM(CLR)","31(2)","2739","3","5","4","-","2.4","77.8","0.8","5","6.97"
"Jean-Clair Todibo","Barcelona,","19",",  D(C)","2","158","-","-","2","-","-","92.4","1","1","6.97"
"Filipe Luís","Atletico Madrid,","33",",  D(L)","24(3)","2038","2","2","4","-","0.4","83.1","0.7","-","6.96"
"Unai Núñez","Athletic Bilbao,","22",",  D(C)","11(1)","1063","-","-","4","-","1","87.3","3.6","1","6.96"
"Maximiliano Gómez","Celta Vigo,","22",",  FW","33(2)","2964","13","5","4","1","2.3","73.1","4","3","6.95"
"Geoffrey Kondogbia","Valencia,","26",",  DMC","14(5)","1244","1","1","1","-","1.2","84.4","1.3","2","6.95"
"Mario Hermoso","Espanyol,","23",",  D(C)","31(1)","2806","3","-","7","-","0.8","83.9","2.3","3","6.95"
"Raúl de Tomás","Rayo Vallecano,","24",",  FW","32(1)","2821","14","1","5","-","3.5","81.7","1.3","3","6.94"
"Rúben Vezo","Levante,","25",",  D(CR)","15","1340","2","1","4","-","0.5","78","1.8","-","6.94"
"Dimitrios Siovas","Leganes,","30",",  D(C)","34","2965","1","-","5","-","0.6","72.3","3.1","1","6.94"
"André Silva","Sevilla,","23",",  FW","25(2)","2164","9","-","4","-","2.3","72.7","2.5","2","6.93"
"Thomas Partey","Atletico Madrid,","25",",  D(R),DMC,M(R)","22(10)","2067","3","4","7","1","1.1","83.8","1.3","5","6.93"
"Aritz Elustondo","Real Sociedad,","25",",  D(CR)","24(3)","2253","1","-","5","-","0.4","78.9","2.4","1","6.93"
"Jesús Navas","Sevilla,","33",",  D(R),M(R)","31(1)","2714","1","5","8","-","1","77","0.5","-","6.93"
"Martín Mantovani","SD Huesca,","34",",  D(C)","6(3)","699","2","-","2","-","0.6","79.6","3.8","1","6.93"
"Gabriel Paulista","Valencia,","28",",  D(CR)","30","2625","-","1","6","-","0.4","86.7","2.1","1","6.93"
"Júnior Firpo","Real Betis,","22",",  D(L),M(L)","22(2)","1937","3","4","7","-","0.8","82.9","1.5","1","6.93"
"Borja Iglesias","Espanyol,","26",",  FW","35(2)","3082","17","3","5","-","2.4","70.5","1.8","2","6.93"
"Coutinho","Barcelona,","27",",  M(CLR)","22(12)","2023","5","2","2","-","2","87.9","0.2","-","6.93"
"Rodrigo Moreno","Valencia,","28",",  M(CLR),FW","29(4)","2534","8","6","3","1","2.4","74.4","1.5","1","6.93"
"Ezequiel Garay","Valencia,","32",",  D(C)","24","2137","2","-","4","-","0.5","83.6","3","-","6.92"
"Sergio Ramos","Real Madrid,","33",",  D(CR)","28","2476","6","1","5","1","1.1","92.1","2.2","2","6.91"
"Youssef En-Nesyri","Leganes,","22",",  FW","22(9)","2106","9","2","7","-","2.4","56.8","4.7","4","6.91"
"Guido Carrillo","Leganes,","28",",  FW","23(9)","1995","6","1","5","-","1.8","63.7","6.6","4","6.91"
"Toni Moya","Atletico Madrid,","21",",  Midfielder","1","90","-","-","-","-","-","91.8","1","-","6.91"
"Sergi Roberto","Barcelona,","27",",  D(R),M(CR)","23(6)","2089","-","7","3","-","0.3","90.5","1","1","6.91"
"Santiago Arias","Atletico Madrid,","27",",  D(R)","20(5)","1771","1","1","4","-","0.4","81.9","1.7","1","6.91"
"Marc Roca","Espanyol,","22",",  DMC","35","3116","1","2","9","-","0.7","86.9","1.3","-","6.90"
