Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Barcelona,Lionel Messi,0,0,0,6,11,8.43
Barcelona,Neymar,0,0,1,11,28,8.04
Real Madrid,Gareth Bale,2,0,6,20,11,7.95
Real Madrid,Cristiano Ronaldo,3,0,15,8,11,7.86
Barcelona,Luis Suárez,2,0,18,8,23,7.69
Real Madrid,Karim Benzema,0,0,13,3,8,7.58
Real Madrid,Luka Modrić,4,1,7,62,49,7.42
Malaga,Sergi Darder,0,0,0,0,4,7.40
Celta Vigo,Nolito,0,0,3,27,48,7.39
Atletico Madrid,Koke,4,0,28,49,101,7.39
Atletico Madrid,Diego Godín,9,0,159,101,71,7.38
Real Madrid,Toni Kroos,2,0,11,40,64,7.37
Barcelona,Andrés Iniesta,2,0,6,27,57,7.36
Real Madrid,James Rodríguez,0,0,2,16,34,7.34
Atletico Madrid,Antoine Griezmann,3,0,32,39,57,7.33
Real Madrid,Casemiro,10,0,33,45,71,7.32
Real Sociedad,Asier Illarramendi,6,0,48,114,103,7.30
Atletico Madrid,Filipe Luís,7,0,53,87,126,7.30
Las Palmas,Javi Castellano,0,0,5,2,3,7.30
Barcelona,Sergio Busquets,4,1,26,67,103,7.29
Valencia,Shkodran Mustafi,22,0,160,133,80,7.28
Barcelona,Javier Mascherano,15,1,56,69,82,7.28
Las Palmas,Jonathan Viera,4,0,6,22,70,7.26
Real Madrid,Sergio Ramos,20,0,78,77,35,7.26
Rayo Vallecano,Roberto Trashorras,5,0,38,49,60,7.25
Barcelona,Ivan Rakitić,2,0,18,51,63,7.24
Villarreal,Bruno Soriano,13,1,76,95,52,7.23
Atletico Madrid,Tiago,5,0,23,33,27,7.22
Real Madrid,Marcelo,5,0,26,54,75,7.22
Sevilla,Éver Banega,2,0,6,19,52,7.22
Sevilla,Grzegorz Krychowiak,16,3,78,116,64,7.21
Las Palmas,Pedro Bigas,13,2,141,121,36,7.21
Real Madrid,Danilo,3,0,40,55,70,7.20
Real Sociedad,Diego Reyes,19,1,101,104,58,7.20
Valencia,Dani Parejo,5,1,25,49,72,7.18
Malaga,Ignacio Camacho,6,0,45,81,70,7.17
Real Madrid,Pepe,20,1,72,53,33,7.17
Athletic Bilbao,Beñat Etxebarria,4,0,13,64,77,7.17
Real Sociedad,Imanol Agirretxe,2,0,8,4,4,7.17
Atletico Madrid,Gabi,10,0,33,78,106,7.16
Malaga,Federico Ricca,1,0,22,21,25,7.16
Valencia,Jaume Doménech,0,0,15,1,2,7.16
Celta Vigo,Iago Aspas,3,0,11,14,23,7.15
Real Madrid,Lucas Vázquez,1,0,8,25,53,7.14
Real Sociedad,Carlos Martínez,2,0,21,25,19,7.14
Athletic Bilbao,Aritz Aduriz,2,0,24,11,23,7.14
Real Madrid,Keylor Navas,0,0,28,4,4,7.13
Granada,Youssef El Arabi,3,0,26,9,34,7.12
Real Sociedad,Rubén Pardo,4,0,6,35,25,7.12
Barcelona,Gerard Piqué,17,0,107,54,39,7.11
Las Palmas,Raúl Lizoain,0,0,12,1,1,7.11
Atletico Madrid,José Giménez,18,1,147,67,56,7.11
Deportivo La Coruna,Lucas Pérez,2,0,1,5,18,7.09
Malaga,Charles Días,2,0,44,15,20,7.09
Deportivo La Coruna,Pedro Mosquera,9,1,53,83,121,7.08
Sporting Gijon,Alberto Garcia,0,0,4,1,1,7.08
Athletic Bilbao,Raúl García,2,0,32,34,69,7.08
Villarreal,Mateo Musacchio,7,0,41,38,17,7.08
