Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Barcelona,Dani Alves,87,4,54,24,0,6.97
Villarreal,Eric Bailly,77,0,44,15,0,6.96
Celta Vigo,Hugo Mallo,78,4,90,11,1,6.96
Sevilla,Yevhen Konoplyanka,80,4,18,50,4,6.96
Malaga,Yegor Filipenko,68,0,13,0,0,6.96
Eibar,Sergi Enrich,68,6,43,12,9,6.96
Deportivo La Coruna,Federico Cartabia,79,3,37,41,3,6.96
Malaga,Roberto Rosales,75,5,110,24,0,6.96
Eibar,Dani García,76,0,101,12,0,6.95
Real Madrid,Isco,89,7,31,57,3,6.95
Levante,Deyverson,55,1,30,11,9,6.95
Celta Vigo,Fabián Orellana,78,7,33,74,7,6.95
Sevilla,Nicolás Pareja,73,0,3,0,0,6.95
Real Sociedad,Esteban Granero,84,0,34,12,0,6.95
Sevilla,Steven N'Zonzi,80,1,39,13,3,6.95
Villarreal,Mario Gaspar,73,2,83,6,2,6.95
Getafe,Juan Cala,74,1,49,9,1,6.95
Villarreal,Manu Trigueros,82,1,59,6,2,6.94
Deportivo La Coruna,Celso Borges,80,2,37,6,3,6.94
Las Palmas,Willian José,73,1,19,11,9,6.94
Atletico Madrid,Thomas Partey,78,1,22,8,2,6.94
Real Betis,Alfred N'Diaye,80,0,93,32,2,6.94
Atletico Madrid,Juanfran,77,1,73,33,1,6.94
Sevilla,Kévin Gameiro,74,4,21,18,16,6.94
Villarreal,Víctor Ruiz,81,0,21,10,0,6.93
Getafe,Alexis Ruano,79,0,20,4,1,6.93
Deportivo La Coruna,Álex Bergantiños,77,1,60,3,2,6.93
Barcelona,Rafinha Alcántara,84,0,4,3,1,6.93
Deportivo La Coruna,Fayçal Fajr,82,3,50,12,5,6.93
Real Madrid,Nacho Fernández,90,0,23,4,0,6.93
Deportivo La Coruna,Luis Alberto,69,7,38,34,6,6.93
Getafe,Emiliano Velazquez,67,1,33,5,3,6.93
Sevilla,Sergio Rico,61,0,0,0,0,6.93
Eibar,Gonzalo Escalante,73,1,117,30,3,6.93
Real Madrid,Jesé Rodríguez,81,6,13,19,5,6.93
Espanyol,Raillo,77,0,8,0,0,6.93
Valencia,Aymen Abdennour,83,0,41,6,0,6.92
Granada,Miguel Lopes,76,1,86,25,0,6.92
Levante,Zouhair Feddal,74,1,31,8,1,6.92
Real Sociedad,Mikel González,78,0,25,6,0,6.92
Espanyol,Víctor Sánchez,79,6,99,14,1,6.92
Atletico Madrid,Jackson Martínez,71,3,3,6,2,6.92
Real Sociedad,David Zurutuza,78,3,37,12,1,6.92
Sevilla,Michael Krohn-Dehli,84,3,26,14,1,6.91
Athletic Bilbao,Xabier Etxeita,80,1,40,4,0,6.91
Eibar,Borja Bastón,69,3,24,7,18,6.91
Valencia,Denis Cheryshev,72,1,22,10,3,6.91
Real Betis,Antonio Adán,39,0,1,1,0,6.91
Athletic Bilbao,Iker Muniain,84,0,19,18,2,6.91
Malaga,Carlos Kameni,60,1,0,2,0,6.91
Malaga,Guillermo Ochoa,53,0,2,0,0,6.91
Espanyol,Papakouli Diop,78,0,83,12,3,6.91
Real Betis,Charly Musonda Jr,78,1,32,57,1,6.91
Levante,Giuseppe Rossi,79,2,8,18,6,6.91
Sevilla,Mariano,75,3,53,12,0,6.90
Granada,Jean-Sylvain Babin,82,0,21,0,3,6.90
Las Palmas,Dani Castellano,82,0,57,47,0,6.90
Malaga,Chori Castro,70,4,25,39,1,6.90
Barcelona,Sergi Samper,81,0,2,0,0,6.90
Real Madrid,Álvaro Arbeloa,85,0,12,0,0,6.90
Real Sociedad,Markel Bergara,82,0,44,4,1,6.90
Valencia,Javi Fuego,85,0,63,8,0,6.90
Granada,Jesús Fernández,40,0,0,0,0,6.90
Real Sociedad,Eneko Capilla,67,0,0,1,0,6.90
Sevilla,Sergio Escudero,78,1,34,15,1,6.90
Levante,José Mari,78,0,29,4,0,6.90
Villarreal,Denis Suárez,73,4,54,40,4,6.90
Athletic Bilbao,Mikel San José,79,3,84,10,2,6.90
Celta Vigo,Pablo Hernández,79,4,65,24,2,6.89
Real Sociedad,Alberto de la Bella,77,2,35,2,0,6.89
Real Betis,Martín Montoya,78,1,41,14,0,6.89
Real Sociedad,Gerónimo Rulli,59,0,3,2,0,6.89
Real Betis,Juan Manuel Vargas,75,2,20,13,2,6.89
Villarreal,Jonathan dos Santos,81,1,51,12,0,6.89
Real Betis,Petros,83,1,103,18,1,6.89
Celta Vigo,Marcelo Díaz,89,1,20,5,0,6.89
Malaga,Marcos Angeleri,80,0,21,1,0,6.88
Malaga,Fernando Tissone,77,0,23,6,0,6.88
Real Sociedad,Aritz Elustondo,78,0,74,14,1,6.88
Valencia,Rodrigo De Paul,75,0,9,10,0,6.88
Athletic Bilbao,Eneko Bóveda,77,0,44,12,0,6.88
Villarreal,Tomás Pina,79,1,46,8,0,6.88
Las Palmas,Vicente Gómez,88,1,39,12,1,6.88
Eibar,Iván Ramis,77,1,19,7,0,6.87
Malaga,Miguel Torres,70,2,54,2,0,6.87
Las Palmas,Mauricio Lemos,83,0,9,5,0,6.87
Valencia,Enzo Pérez,88,0,45,21,0,6.87
Atletico Madrid,Jesús Gámez,75,0,21,3,0,6.87
Sporting Gijon,Bernardo Espinosa,70,0,24,1,1,6.87
Las Palmas,Ángel Montoro,84,0,10,1,0,6.87
Las Palmas,Sergio Araujo,70,3,23,25,5,6.86
Barcelona,Adriano,91,1,9,4,0,6.86
Valencia,Mathew Ryan,58,0,0,0,0,6.86
Valencia,Zakaria Bakkali,84,3,11,12,1,6.86
Sporting Gijon,Antonio Sanabria,72,1,16,26,11,6.86
Real Sociedad,Xabi Prieto,78,3,36,11,3,6.86
Deportivo La Coruna,Alejandro Arribas,74,0,56,10,2,6.86
Espanyol,Anaitz Arbilla,79,0,23,5,0,6.86
Atletico Madrid,Yannick Carrasco,82,1,23,67,4,6.86
Getafe,Pablo Sarabia,75,6,45,46,7,6.85
Rayo Vallecano,Javi Guerra,75,0,28,7,12,6.85
Valencia,Danilo,76,0,46,23,0,6.85
Valencia,João Cancelo,79,4,63,51,1,6.85
