Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Borussia Dortmund,Roman Weidenfeller,1,1,0,1,1,7.20
Hamburger Sv,Tom Mickel,0,3,0,0,6,7.20
Borussia Mgladbach,Tobias Sippel,1,1,0,2,4,7.15
1899 Hoffenheim,Oliver Baumann,6,100,0,6,152,7.12
Hamburger Sv,Jaroslav Drobný,5,23,1,4,36,7.07
Vfb Stuttgart,Mitchell Langerak,3,11,0,0,12,7.05
Wolfsburg,Koen Casteels,4,22,1,4,38,6.98
Augsburg,Marwin Hitz,8,74,1,11,126,6.97
1 Fsv Mainz 05,Loris Karius,17,67,2,9,122,6.96
1 Fc Koln,Timo Horn,1,78,1,8,120,6.95
Hannover 96,Ron-Robert Zieler,9,97,0,5,148,6.95
Fc Schalke 04,Ralf Fährmann,5,72,1,8,120,6.94
Bayern Munchen,Manuel Neuer,10,40,0,20,63,6.94
Hertha Bsc,Rune Jarstein,3,51,0,12,88,6.93
Bayer 04 Leverkusen,Bernd Leno,18,71,1,13,102,6.92
Eintracht Frankfurt,Lukáš Hrádecký,20,82,1,8,127,6.91
Hamburger Sv,René Adler,6,49,0,5,85,6.86
Borussia Mgladbach,Yann Sommer,12,64,0,5,104,6.79
Borussia Dortmund,Roman Bürki,9,47,0,12,73,6.74
Ingolstadt,Ramazan Özcan,15,40,0,10,64,6.73
Vfb Stuttgart,Przemysław Tytoń,13,82,1,4,122,6.70
Darmstadt 98,Christian Mathenia,9,64,1,8,109,6.70
Wolfsburg,Diego Benaglio,5,40,0,5,63,6.63
Werder Bremen,Felix Wiedwald,18,63,0,2,109,6.60
Hertha Bsc,Thomas Kraft,4,4,0,1,14,6.55
Ingolstadt,Ørjan Nyland,4,8,1,0,14,6.48
Bayern Munchen,Sven Ulreich,0,0,0,0,2,6.40
Bayer 04 Leverkusen,David Yelldell,0,1,0,0,1,6.30
1899 Hoffenheim,Jens Grahl,1,3,0,0,5,6.20
Bayer 04 Leverkusen,Dario Krešić,0,0,0,0,1,6.20
Augsburg,Alex Manninger,0,2,0,0,2,6.10
Darmstadt 98,Łukasz Załuska,0,1,0,0,1,6.10
Hamburger Sv,Andreas Hirzel,0,0,0,0,1,6.10
Vfb Stuttgart,Odysseas Vlachodimos,1,4,0,0,5,6.03
1 Fc Koln,Thomas Kessler,0,1,0,0,3,5.80
Fc Schalke 04,Alexander Nübel,0,0,0,0,0,0.00
