Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Bayern Munchen,Thiago Alcántara,19,32,60,1,6,7.96
Augsburg,Andreas Luthe,0,0,0,0,0,7.75
Bayern Munchen,Arjen Robben,22,59,67,1,13,7.60
1 Fc Koln,Sven Müller,0,0,0,0,0,7.50
Werder Bremen,Max Kruse,41,37,17,2,15,7.47
Bayern Munchen,Robert Lewandowski,27,113,33,27,30,7.41
Bayer 04 Leverkusen,Hakan Çalhanoğlu,18,33,12,2,6,7.40
Rb Leipzig,Emil Forsberg,21,38,71,5,8,7.40
Fc Schalke 04,Johannes Geis,0,12,6,0,0,7.39
1899 Hoffenheim,Benjamin Hübner,14,14,6,0,2,7.38
Bayer 04 Leverkusen,Joel Pohjanpalo,35,17,2,2,6,7.37
Bayern Munchen,Arturo Vidal,12,33,10,0,4,7.36
Bayern Munchen,Mats Hummels,4,28,4,3,1,7.35
Borussia Dortmund,Ousmane Dembélé,15,39,103,2,6,7.34
Rb Leipzig,Naby Keïta,25,32,83,1,8,7.34
1899 Hoffenheim,Sebastian Rudy,11,19,21,1,2,7.33
Bayern Munchen,Tom Starke,0,0,1,0,0,7.33
Bayern Munchen,Xabi Alonso,17,18,5,0,3,7.33
Bayern Munchen,Javi Martínez,11,9,4,1,1,7.33
1 Fc Koln,Frederik Sørensen,0,13,8,0,0,7.30
Wolfsburg,Philipp Wollscheid,0,6,0,0,0,7.30
Augsburg,Raphael Framberger,0,0,1,0,0,7.30
Borussia Dortmund,Pierre-Emerick Aubameyang,30,103,20,25,31,7.29
Bayern Munchen,Franck Ribéry,38,13,38,1,5,7.25
Ingolstadt,Pascal Groß,16,32,9,1,5,7.25
Borussia Dortmund,Sokratis,14,14,11,0,2,7.23
Bayern Munchen,Philipp Lahm,17,6,14,1,1,7.22
Hamburger Sv,Kyriakos Papadopoulos,17,12,0,0,2,7.22
Bayern Munchen,Joshua Kimmich,27,22,5,3,6,7.21
Rb Leipzig,Willi Orbán,14,21,1,0,3,7.21
Fc Schalke 04,Thilo Kehrer,8,13,8,1,1,7.20
Augsburg,Konstantinos Stafylidis,11,36,8,0,4,7.20
Bayer 04 Leverkusen,Vladlen Yurchenko,0,1,1,0,0,7.20
Borussia Mgladbach,Jannik Vestergaard,13,31,10,2,4,7.19
1899 Hoffenheim,Niklas Süle,9,22,7,1,2,7.19
Fc Schalke 04,Benedikt Höwedes,7,15,3,0,1,7.19
Rb Leipzig,Timo Werner,34,61,21,7,21,7.19
Borussia Dortmund,Marco Reus,21,33,23,10,7,7.18
1 Fc Koln,Anthony Modeste,29,87,23,16,25,7.18
Bayern Munchen,David Alaba,15,26,10,0,4,7.16
Bayern Munchen,Thomas Müller,9,54,16,8,5,7.16
1 Fc Koln,Jonas Hector,10,10,33,1,1,7.15
1 Fsv Mainz 05,Alexander Hack,0,7,5,0,0,7.15
Borussia Mgladbach,Raffael,23,30,49,4,7,7.14
1899 Hoffenheim,Andrej Kramarić,19,77,30,9,15,7.14
Darmstadt 98,Hamit Altintop,0,14,22,1,0,7.14
Eintracht Frankfurt,David Abraham,6,17,6,0,1,7.14
1899 Hoffenheim,Kevin Vogt,0,2,2,0,0,7.14
Ingolstadt,Markus Suttner,11,37,14,0,4,7.13
Eintracht Frankfurt,Marco Fabián,15,46,23,5,7,7.13
Borussia Mgladbach,Andreas Christensen,18,11,5,1,2,7.13
1 Fc Koln,Lukas Klünter,50,2,8,0,1,7.13
Hertha Bsc,Niklas Stark,7,14,2,2,1,7.11
Wolfsburg,Luiz Gustavo,0,12,10,0,0,7.11
Darmstadt 98,Mario Vrančić,18,22,13,0,4,7.11
1 Fc Koln,Marcel Risse,12,17,21,1,2,7.11
Wolfsburg,Mario Gómez,21,77,23,16,16,7.10
Borussia Dortmund,Gonzalo Castro,15,20,16,1,3,7.10
Augsburg,Daniel Baier,6,18,7,0,1,7.10
Rb Leipzig,Fabio Coltorti,0,0,0,0,0,7.10
Fc Schalke 04,Naldo,4,24,1,0,1,7.10
Borussia Dortmund,Julian Weigl,0,6,26,0,0,7.10
Bayern Munchen,Douglas Costa,13,32,58,1,4,7.10
Borussia Dortmund,Marc Bartra,0,13,12,0,0,7.09
Borussia Mgladbach,Mahmoud Dahoud,8,26,38,1,2,7.09
Hertha Bsc,Fabian Lustenberger,0,1,2,0,0,7.09
Eintracht Frankfurt,Makoto Hasebe,17,6,9,2,1,7.09
Bayern Munchen,Rafinha,20,5,14,1,1,7.09
