Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Paris Saint Germain,Neymar,80,13,20,142,19,8.84
Olympique De Marseille,Dimitri Payet,81,13,22,45,6,7.74
Olympique De Marseille,Florian Thauvin,78,11,43,119,22,7.69
Olympique Lyonnais,Nabil Fekir,85,8,45,90,18,7.63
Bordeaux,Malcom,82,7,15,93,12,7.57
Paris Saint Germain,Edinson Cavani,80,6,15,15,28,7.56
As Monaco,Adama Traoré,85,0,6,3,3,7.53
Fc Nantes,David Alcibiade,73,1,9,0,0,7.53
Paris Saint Germain,Ángel Di María,79,6,13,48,11,7.49
Paris Saint Germain,Dani Alves,88,7,80,28,1,7.47
Olympique Lyonnais,Memphis Depay,80,13,13,59,19,7.45
Ogc Nice,Mario Balotelli,77,1,7,31,18,7.44
Paris Saint Germain,Kylian Mbappé,83,8,12,82,13,7.39
Dijon,Naïm Sliti,73,6,49,107,7,7.35
As Monaco,Fabinho,86,3,114,37,7,7.34
Paris Saint Germain,Marco Verratti,91,3,51,42,0,7.32
Fc Nantes,Enock Kwateng,64,0,8,0,0,7.30
Amiens,Jean-Christophe Bouet,42,0,0,0,0,7.30
Strasbourg,Dimitri Liénard,80,5,77,34,5,7.29
Saint Etienne,Mathieu Debuchy,75,0,34,6,4,7.27
Olympique Lyonnais,Bertrand Traoré,83,4,32,52,13,7.27
As Monaco,Seydou Sy,61,0,0,0,0,7.27
Paris Saint Germain,Thiago Silva,96,0,31,1,1,7.25
Saint Etienne,Rémy Cabella,82,6,65,66,8,7.23
Ogc Nice,Alassane Pléa,80,5,15,68,16,7.23
Montpellier,Nordi Mukiele,79,1,69,41,0,7.23
Stade Rennais,Benjamin Bourigeaud,80,7,55,23,10,7.22
Caen,Ronny Rodelin,73,6,33,57,5,7.22
Fc Nantes,Léo Dubois,75,4,50,38,3,7.21
Fc Nantes,Anthony Walongwa,68,0,2,0,0,7.20
Olympique Lyonnais,Tanguy Ndombélé,89,6,68,94,0,7.19
Ogc Nice,Wesley Sneijder,84,0,0,7,0,7.18
Olympique Lyonnais,Marcelo,88,1,28,5,3,7.18
As Monaco,João Moutinho,86,6,65,21,1,7.17
As Monaco,Radamel Falcao,79,4,11,19,18,7.17
Olympique De Marseille,Luiz Gustavo,90,1,89,38,5,7.17
As Monaco,Terence Kongolo,77,0,6,1,0,7.17
Paris Saint Germain,Giovani Lo Celso,90,3,77,47,4,7.15
Ogc Nice,Jean-Michaël Seri,90,6,25,37,2,7.15
Dijon,Júlio Tavares,60,2,3,10,12,7.15
Olympique Lyonnais,Houssem Aouar,86,5,67,82,6,7.15
Paris Saint Germain,Marquinhos,94,2,28,2,0,7.14
Fc Nantes,Diego Carlos,76,0,70,4,1,7.14
Montpellier,Ellyes Skhiri,86,1,91,40,4,7.13
Saint Etienne,Loïc Perrin,88,1,39,10,0,7.13
Paris Saint Germain,Javier Pastore,82,5,33,27,4,7.12
Paris Saint Germain,Yuri Berchiche,89,4,39,12,2,7.11
Saint Etienne,Neven Subotić,86,1,23,2,2,7.11
Stade Rennais,Wahbi Khazri,78,2,26,45,9,7.10
Paris Saint Germain,Adrien Rabiot,92,5,59,39,1,7.09
Guingamp,Clément Grenier,74,4,24,22,5,7.09
Lille Osc,Yassine Benzia,82,5,62,54,1,7.09
Bordeaux,Pablo Nascimento Castro,87,3,16,4,0,7.09
Montpellier,Vitorino Hilton,79,0,44,8,0,7.08
Montpellier,Jérôme Roussillon,79,3,39,37,3,7.08
Montpellier,Ruben Aguilar,80,2,91,28,0,7.08
Ogc Nice,Pierre Lees Melou,85,6,78,33,5,7.08
Stade Rennais,Hamari Traore,80,1,79,24,0,7.07
Metz,Matthieu Dossevi,78,11,35,73,1,7.07
Ogc Nice,Arnaud Souquet,88,2,89,22,0,7.07
As Monaco,Jorge,78,2,69,21,1,7.07
Olympique Lyonnais,Mariano Díaz,72,4,16,29,18,7.06
Ogc Nice,Wylan Cyprien,90,2,9,5,2,7.06
As Monaco,Kamil Glik,81,3,36,3,3,7.06
Bordeaux,Youssouf Sabaly,82,5,93,51,0,7.06
Caen,Damien Da Silva,82,0,52,9,4,7.05
Toulouse,Max Gradel,66,1,63,79,8,7.05
Lille Osc,Yves Bissouma,85,1,67,55,2,7.05
Paris Saint Germain,Thomas Meunier,85,4,38,19,4,7.05
Caen,Brice Samba,60,0,0,1,0,7.05
As Monaco,Thomas Lemar,85,8,33,46,2,7.04
Fc Nantes,Lucas Lima,70,3,73,24,2,7.04
Olympique De Marseille,Bouna Sarr,88,3,65,44,0,7.04
As Monaco,Moussa Sylla,58,0,0,5,2,7.04
As Monaco,Diego Benaglio,70,0,0,0,0,7.03
Ogc Nice,Dante,92,0,43,8,1,7.03
Dijon,Wesley Saïd,78,2,33,32,9,7.03
Paris Saint Germain,Julian Draxler,93,5,20,45,4,7.03
Paris Saint Germain,Presnel Kimpembe,95,0,39,19,0,7.03
Paris Saint Germain,Kevin Trapp,90,0,0,0,0,7.03
Angers,Karl Toko Ekambi,78,6,17,66,17,7.02
Montpellier,Pedro Mendes,82,1,62,13,1,7.02
Strasbourg,Kenny Lala,79,4,87,62,3,7.02
Caen,Frédéric Guilbert,75,2,137,23,1,7.01
Angers,Flavien Tait,76,3,51,69,4,7.01
Ogc Nice,Allan Saint-Maximin,78,7,18,108,3,7.01
Olympique De Marseille,Adil Rami,87,2,39,7,1,7.01
Montpellier,Paul Lasne,82,2,68,26,1,7.01
As Monaco,Stevan Jovetić,68,1,4,6,8,7.01
Saint Etienne,Yann M'Vila,88,0,26,5,0,7.01
Olympique Lyonnais,Fernando Marçal,84,3,34,2,0,7.01
Bordeaux,Maxime Poundjé,79,1,53,35,0,7.01
Guingamp,Yannis Salibur,83,3,11,51,3,7.00
As Monaco,Almamy Touré,74,6,51,13,1,7.00
Amiens,Jean-Luc Dompe,50,0,0,3,0,7.00
Olympique De Marseille,Konstantinos Mitroglou,68,0,3,1,9,6.99
Bordeaux,Jules Kounde,84,0,26,4,2,6.99
Metz,Nolan Roux,69,1,25,21,15,6.99
Saint Etienne,Jonathan Bamba,80,8,30,43,7,6.98
Saint Etienne,Ole Selnæs,84,2,73,8,0,6.98
Guingamp,Christophe Kerbrat,83,0,62,4,1,6.98
Dijon,Papy Djilobodji,79,1,47,15,0,6.97
Amiens,Regis Gurtner,48,0,1,2,0,6.97
Montpellier,Giovanni Sio,69,3,14,21,10,6.97
Troyes,Erwin Zelazny,52,0,1,0,0,6.97
Guingamp,Jonathan Martins Pereira,83,0,34,9,0,6.97
Fc Nantes,Koffi Djidji,76,0,55,12,0,6.97
Olympique Lyonnais,Jérémy Morel,91,0,39,5,0,6.97
Caen,Alexander Djiku,81,0,65,6,0,6.97
Olympique Lyonnais,Anthony Lopes,76,0,0,0,0,6.97
Olympique Lyonnais,Rafael,82,2,54,25,1,6.97
Montpellier,Ambroise Oyongo,82,0,2,6,0,6.97
As Monaco,Djibril Sidibé,85,7,59,21,2,6.97
Metz,Renaud Cohade,78,3,143,30,1,6.97
Dijon,Chang-Hoon Kwon,72,3,39,30,11,6.96
Lille Osc,Nicolas Pépé,82,5,31,74,13,6.96
Stade Rennais,Joris Gnagnon,91,2,42,7,2,6.96
Amiens,Prince Gouano,80,0,42,6,0,6.96
Olympique De Marseille,André Zambo Anguissa,88,0,88,60,0,6.96
Paris Saint Germain,Alphonse Aréola,91,0,0,0,0,6.96
Dijon,Cédric Varrault,85,0,13,3,1,6.95
Troyes,Christophe Herelle,84,0,38,1,0,6.95
Ogc Nice,Adrien Tameze,91,1,58,36,0,6.95
Toulouse,Giannelli Imbula,88,1,29,65,1,6.95
Strasbourg,Martin Terrier,76,3,42,19,3,6.95
Amiens,Bakaye Dibassy,79,1,71,37,1,6.95
