Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Ajax,Hakim Ziyech,14,111,76,3,16,8.34
Feyenoord,Steven Berghuis,13,93,66,17,12,8.09
Ajax,Dušan Tadić,46,61,48,7,28,7.97
Fc Utrecht,Maarten Paes,0,0,0,0,0,7.80
Psv Eindhoven,Luuk de Jong,23,123,16,24,28,7.73
Psv Eindhoven,Hirving Lozano,24,70,66,12,17,7.73
Vitesse,Martin Ødegaard,15,52,87,2,8,7.68
Ado Den Haag,Abdenasser El Khayati,27,63,39,5,17,7.51
Nec Nijmegen,Mattijs Branderhorst,0,0,0,0,0,7.50
Willem Ii Tilburg,Alexander Isak,30,44,32,11,13,7.49
Psv Eindhoven,Angeliño,4,23,49,2,1,7.47
Psv Eindhoven,Steven Bergwijn,19,72,105,13,14,7.46
Feyenoord,Joris Delle,0,0,0,0,0,7.45
Feyenoord,Robin van Persie,21,80,34,11,17,7.42
Feyenoord,Jean-Paul Boëtius,0,3,2,0,0,7.40
Feyenoord,Sam Larsson,17,46,76,6,8,7.38
Fc Utrecht,Oussama Tannane,3,35,13,2,1,7.37
Ajax,Frenkie de Jong,15,20,61,1,3,7.33
Pec Zwolle,Younes Namli,8,51,88,2,4,7.31
Az Alkmaar,Adam Maher,6,16,29,0,1,7.31
Fortuna Sittard,Mark Diemers,15,46,49,1,7,7.31
Vitesse,Richie Musaba,100,1,0,0,1,7.30
Ajax,Daley Blind,19,26,26,2,5,7.28
Ajax,Nicolás Tagliafico,8,24,14,2,2,7.28
Vitesse,Bryan Linssen,14,88,11,12,12,7.26
Psv Eindhoven,Gastón Pereiro,23,44,19,7,10,7.24
Heerenveen,Sam Lammers,24,66,47,12,16,7.24
Ajax,Matthijs De Ligt,7,45,8,2,3,7.23
Fc Emmen,Anco Jansen,10,48,60,1,5,7.22
Az Alkmaar,Oussama Idrissi,11,72,96,13,8,7.21
Nac Breda,Arijanet Murić,0,0,0,0,0,7.20
Feyenoord,Eric Botteghin,7,29,5,7,2,7.19
Heracles Almelo,Brandley Kuwas,19,53,94,5,10,7.18
Az Alkmaar,Mats Seuntjens,11,55,65,4,6,7.18
Ado Den Haag,Sheraldo Becker,15,47,36,7,7,7.17
Vitesse,Roy Beerens,6,16,9,2,1,7.17
Feyenoord,Jordy Clasie,6,16,12,0,1,7.16
Heerenveen,Arbër Zeneli,10,29,40,5,3,7.16
Az Alkmaar,Teun Koopmeiners,31,26,16,1,8,7.15
Az Alkmaar,Calvin Stengs,8,37,31,6,3,7.15
Psv Eindhoven,Donyell Malen,33,30,35,3,10,7.14
Willem Ii Tilburg,Fran Sol,33,40,3,10,13,7.14
Vvv Venlo,Peniel Mlapa,19,80,11,9,15,7.13
Feyenoord,Jens Toornstra,29,28,22,5,8,7.13
Pec Zwolle,Lennart Thy,38,24,10,4,9,7.12
Ajax,Donny van de Beek,24,38,21,9,9,7.11
Psv Eindhoven,Pablo Rosario,0,15,26,0,0,7.10
Fortuna Sittard,Wessel Dammers,8,12,2,2,1,7.09
Fortuna Sittard,Lazaros Lamprou,15,48,29,3,7,7.09
Psv Eindhoven,Mohammed Ihattaren,0,3,10,0,0,7.08
Psv Eindhoven,Denzel Dumfries,13,30,42,8,4,7.08
Vvv Venlo,Patrick Joosten,13,48,41,5,6,7.08
Ajax,Klaas-Jan Huntelaar,36,44,6,17,16,7.08
Psv Eindhoven,Trent Sainsbury,0,2,0,1,0,7.08
Ajax,Noussair Mazraoui,5,22,48,1,1,7.07
Ajax,Lasse Schöne,22,23,20,0,5,7.06
Excelsior,Luigi Bruins,35,17,27,0,6,7.06
Willem Ii Tilburg,Renato Tapia,4,24,27,2,1,7.04
Psv Eindhoven,Erick Gutierrez,27,11,3,1,3,7.04
Fc Utrecht,Nicolas Gavory,7,15,11,0,1,7.04
Feyenoord,Tyrell Malacia,38,8,24,0,3,7.04
Ado Den Haag,Robert Zwinkels,0,0,2,0,0,7.04
Groningen,Deyovaisio Zeefuik,14,7,27,3,1,7.04
Feyenoord,Orkun Kökçü,23,13,8,2,3,7.04
Fc Emmen,Caner Cavlan,8,51,27,1,4,7.04
Ajax,Noa Lang,0,1,2,0,0,7.03
Willem Ii Tilburg,Marios Vrushai,15,26,21,4,4,7.03
Ajax,David Neres,22,36,51,13,8,7.02
Psv Eindhoven,Daniel Schwaab,9,11,3,1,1,7.02
Ajax,Kasper Dolberg,21,52,14,13,11,7.02
Groningen,Mimoun Mahi,17,42,40,6,7,7.02
Fc Utrecht,Joris van Overeem,29,7,15,1,2,7.01
Fc Utrecht,Willem Janssen,25,24,1,4,6,7.01
Fc Utrecht,Riechedly Bazoer,14,21,11,0,3,7.01
Fc Emmen,Nicklas Pedersen,31,13,1,2,4,7.01
Heracles Almelo,Mohammed Osman,12,42,19,1,5,7.00
Psv Eindhoven,Nick Viergever,27,11,6,3,3,7.00
Vitesse,Oussama Darfalou,16,44,8,4,7,7.00
Psv Eindhoven,Jorrit Hendrix,7,15,22,1,1,7.00
Feyenoord,Calvin Verdonk,50,2,4,0,1,7.00
Nac Breda,Yassine Azzagari,0,0,0,0,0,7.00
Nac Breda,Ramon-Pascal Lundqvist,0,15,32,2,0,6.99
Az Alkmaar,Jonas Svensson,8,13,18,4,1,6.99
Excelsior,Marcus Edwards,8,24,83,3,2,6.99
Feyenoord,Tonny Vilhena,13,52,30,7,7,6.99
Psv Eindhoven,Cody Gakpo,14,7,9,1,1,6.98
Az Alkmaar,Thomas Ouwejan,9,22,10,2,2,6.98
Fc Utrecht,Timo Letschert,22,9,7,2,2,6.98
Fc Utrecht,Simon Gustafsson,35,23,18,3,8,6.98
Fc Utrecht,Jean-Christophe Bahebeck,17,18,7,2,3,6.98
