Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Palermo,Josip Posavec,0,2,0,1,5,7.90
Empoli,Alberto Pelagotti,2,13,0,3,27,7.38
Chievoverona,Andrea Seculin,0,9,0,1,14,7.30
Milan,Christian Abbiati,2,3,0,0,5,7.30
Frosinone,Francesco Bardi,0,5,1,0,10,7.20
Inter,Samir Handanovič,28,69,1,15,111,7.05
Genoa,Mattia Perin,33,49,1,8,84,7.01
Sampdoria,Emiliano Viviano,17,88,4,7,144,6.95
Roma,Wojciech Szczęsny,37,50,0,8,100,6.94
Juventus,Gianluigi Buffon,10,28,1,21,73,6.91
Palermo,Stefano Sorrentino,16,75,0,9,125,6.90
Empoli,Maurizio Pugliesi,0,2,0,0,4,6.90
Genoa,Eugenio Lamanna,14,25,0,4,40,6.90
Bologna,Antonio Mirante,22,57,1,12,99,6.89
Milan,Gianluigi Donnarumma,33,50,0,10,82,6.89
Chievoverona,Albano Bizzarri,16,63,2,11,119,6.88
Sassuolo,Gianluca Pegolo,1,1,0,1,4,6.85
Carpi,Simone Colombi,2,3,0,0,7,6.85
Bologna,Angelo Da Costa,4,8,0,1,12,6.84
Atalanta,Marco Sportiello,15,54,3,11,106,6.84
Empoli,Łukasz Skorupski,19,46,0,9,87,6.83
Sassuolo,Andrea Consigli,15,60,2,10,100,6.82
Sampdoria,Alberto Brignoli,0,3,0,0,7,6.80
Carpi,Vid Belec,7,52,1,6,83,6.79
Lazio,Federico Marchetti,15,34,2,9,76,6.77
Fiorentina,Ciprian Tătărușanu,32,46,0,14,68,6.76
Carpi,Francesco Benussi,4,4,0,1,9,6.75
Frosinone,Nicola Leali,18,71,1,7,122,6.73
Lazio,Etrit Berisha,7,18,1,2,29,6.73
Napoli,Pepe Reina,28,26,0,15,52,6.73
Udinese,Orestis Karnezis,25,63,1,8,109,6.70
Juventus,Neto,0,1,0,1,3,6.70
Roma,Morgan De Sanctis,4,7,1,0,10,6.70
Torino,Daniele Padelli,7,41,0,6,88,6.65
Hellas Verona,Pierluigi Gollini,12,45,0,2,72,6.62
Fiorentina,Luca Lezzerini,2,2,0,0,4,6.60
Frosinone,Massimo Zappino,5,11,0,0,20,6.58
Palermo,Fabrizio Alastra,0,4,0,0,5,6.55
Hellas Verona,Rafael,2,25,0,1,44,6.51
Inter,Andrei Radu,0,0,0,0,0,6.50
Torino,Salvador Ichazo,3,4,0,0,6,6.43
Milan,Diego López,3,9,0,0,15,6.43
Atalanta,Boris Radunović,0,1,0,0,1,6.40
Hellas Verona,Ferdinando Coppola,0,2,0,0,2,6.40
Atalanta,Davide Bassi,2,2,0,0,2,6.40
Napoli,Gabriel,0,2,1,0,3,6.30
Inter,Juan Pablo Carrizo,2,1,0,0,3,6.25
Carpi,Željko Brkić,6,10,0,0,13,6.20
