Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Stade Rennais,Clément Grenier,82,5,44,23,2,6.96
Olympique De Marseille,Hiroki Sakai,82,4,58,12,1,6.96
Stade De Reims,Björn Engels,84,1,11,6,1,6.95
Lille Osc,Mike Maignan,57,0,0,1,0,6.95
Saint Etienne,Yann M'Vila,86,1,72,11,0,6.95
Olympique Lyonnais,Maxwel Cornet,77,5,14,23,7,6.95
Saint Etienne,Youssef Aït Bennasser,87,2,58,23,0,6.95
Lille Osc,Adama Soumaoro,94,1,14,6,0,6.95
Paris Saint Germain,Alphonse Aréola,83,0,1,0,0,6.95
Strasbourg,Anthony Gonçalves,76,2,22,7,5,6.95
Bordeaux,Benoît Costil,67,0,2,1,0,6.95
Fc Nantes,Nicolas Pallois,77,0,77,22,2,6.95
Angers,Vincent Manceau,82,1,98,13,1,6.95
Olympique Lyonnais,Jérémy Morel,89,0,16,0,0,6.94
Paris Saint Germain,Gianluigi Buffon,90,0,0,1,0,6.94
Montpellier,Gaëtan Laborde,67,4,40,44,11,6.94
Strasbourg,Ismaël Aaneba,64,0,12,2,0,6.93
Olympique De Marseille,Valère Germain,78,2,38,3,8,6.93
Olympique Lyonnais,Jason Denayer,94,0,33,11,2,6.93
Nimes Olympique,Renaud Ripart,73,4,77,17,8,6.93
Olympique De Marseille,Maxime López,91,3,47,13,1,6.93
As Monaco,Stevan Jovetić,68,0,2,1,2,6.93
Saint Etienne,William Saliba,86,0,32,9,0,6.93
Ogc Nice,Pierre Lees Melou,86,1,74,15,2,6.92
Saint Etienne,Robert Berić,69,1,12,5,9,6.92
Angers,Ludovic Butelle,57,0,1,0,0,6.92
Olympique Lyonnais,Martin Terrier,84,0,23,14,10,6.92
Lille Osc,Jonathan Bamba,80,3,29,34,13,6.91
Montpellier,Benjamin Lecomte,64,0,1,1,0,6.91
Nimes Olympique,Rachid Alioui,72,0,15,7,5,6.91
Amiens,Saman Ghoddos,73,4,33,10,4,6.91
Stade Rennais,Edson Mexer,89,0,23,12,0,6.91
Guingamp,Félix Eboa Eboa,77,0,47,9,3,6.90
Caen,Brice Samba,58,0,1,0,0,6.90
Lille Osc,Rafael Leão,73,3,5,9,8,6.90
Bordeaux,Samuel Kalu,72,2,27,46,3,6.90
As Monaco,Almamy Touré,86,0,13,3,0,6.90
Montpellier,Giovanni Sio,76,0,0,0,0,6.90
Fc Nantes,Thomas Basila,85,0,2,0,0,6.90
Fc Nantes,Gabriel Boschilia,81,4,33,15,4,6.90
Bordeaux,François Kamano,81,1,30,39,10,6.89
Olympique De Marseille,Boubacar Kamara,86,0,67,10,1,6.89
Olympique De Marseille,Mario Balotelli,69,1,6,13,8,6.89
Dijon,Júlio Tavares,59,4,15,11,5,6.89
Montpellier,Souleymane Camara,75,0,0,3,3,6.89
Stade Rennais,Ismaila Sarr,76,6,36,62,8,6.89
Stade De Reims,Mathieu Cafaro,69,3,59,25,7,6.89
Olympique De Marseille,Adil Rami,83,1,14,4,1,6.89
Caen,Paul Baysse,80,0,26,1,0,6.89
As Monaco,Cesc Fàbregas,85,0,14,3,1,6.88
Stade Rennais,Benjamin André,79,1,101,21,3,6.88
