Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Eintracht Frankfurt,Frederik Rønnow,0,5,0,1,7,7.45
Hannover 96,Samuel Radlinger-Sahin,2,3,0,0,4,7.10
Rb Leipzig,Péter Gulácsi,14,69,0,15,93,7.08
Borussia Mgladbach,Yann Sommer,3,87,0,13,114,7.06
Hannover 96,Michael Esser,10,92,1,5,149,7.02
Freiburg,Mark Flekken,0,2,0,0,4,7.00
Augsburg,Andreas Luthe,2,33,0,2,57,6.94
1 Fsv Mainz 05,Robin Zentner,2,19,0,2,37,6.94
Eintracht Frankfurt,Kevin Trapp,13,69,0,8,116,6.94
Wolfsburg,Koen Casteels,5,43,1,8,80,6.90
1899 Hoffenheim,Oliver Baumann,6,75,0,5,117,6.85
Werder Bremen,Jiří Pavlenka,8,68,0,5,106,6.85
Wolfsburg,Pavao Pervan,0,17,0,1,31,6.82
Borussia Dortmund,Roman Bürki,4,58,0,10,88,6.81
Fc Schalke 04,Ralf Fährmann,4,35,0,3,58,6.81
1 Fc Nurnberg,Christian Mathenia,4,49,0,2,81,6.80
Freiburg,Alexander Schwolow,9,63,0,5,112,6.79
Hertha Bsc,Rune Jarstein,9,66,1,8,100,6.79
Bayer 04 Leverkusen,Lukáš Hrádecký,15,53,1,9,82,6.76
Fc Schalke 04,Alexander Nübel,3,31,1,4,57,6.68
Bayer 04 Leverkusen,Ramazan Özcan,1,5,1,0,8,6.65
Vfb Stuttgart,Ron-Robert Zieler,14,77,0,6,113,6.64
Fortuna Dusseldorf,Michael Rensing,3,60,0,5,109,6.64
1 Fsv Mainz 05,Florian Müller,7,48,0,5,82,6.63
Bayern Munchen,Sven Ulreich,2,11,0,2,14,6.61
Werder Bremen,Stefanos Kapino,0,1,0,0,2,6.60
Bayern Munchen,Manuel Neuer,9,13,0,10,34,6.59
Fortuna Dusseldorf,Jaroslav Drobný,1,2,0,0,6,6.55
Augsburg,Gregor Kobel,7,35,1,3,57,6.46
Rb Leipzig,Yvon Mvogo,1,2,0,0,2,6.45
1 Fc Nurnberg,Fabian Bredlow,3,23,1,2,34,6.35
Werder Bremen,Luca Plogmann,0,0,0,0,0,6.20
Hertha Bsc,Thomas Kraft,0,6,0,1,7,6.18
Augsburg,Fabian Giefer,0,6,0,0,12,6.15
Borussia Dortmund,Marwin Hitz,0,2,0,0,2,5.70
Hannover 96,Philipp Tschauner,0,1,0,0,3,5.20
