Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Saint Etienne,Anthony Maisonnial,3,7,0,1,10,7.45
Toulouse,Mauro Goicoechea,0,7,0,2,8,7.35
Bastia,Thomas Vincensini,1,12,0,0,21,7.33
Guingamp,Romain Salin,1,1,0,1,2,7.30
Dijon,Benjamin Leroy,0,1,0,1,2,7.30
Paris Saint Germain,Kevin Trapp,9,25,1,15,47,7.03
Olympique De Marseille,Yohann Pelé,29,74,0,18,121,7.01
Saint Etienne,Stéphane Ruffier,15,62,2,11,96,6.99
Lille Osc,Mike Maignan,3,18,0,3,21,6.96
Ogc Nice,Walter Benítez,2,3,0,1,5,6.93
Metz,Eiji Kawashima,4,12,1,1,16,6.92
As Monaco,Danijel Subašić,16,55,2,17,84,6.92
Ogc Nice,Yoan Cardinale,13,66,0,11,112,6.91
Caen,Matthieu Dreyer,0,3,0,1,7,6.90
Dijon,Baptiste Reynet,24,78,1,9,129,6.88
Olympique Lyonnais,Anthony Lopes,42,58,1,13,92,6.87
Bordeaux,Cédric Carrasso,5,42,0,9,69,6.87
Stade Rennais,Benoît Costil,34,59,2,12,96,6.84
Nancy,Sergey Chernik,4,27,0,5,46,6.82
Nancy,Guy N'Dy Assembé,13,42,1,6,73,6.81
Lorient,Benjamin Lecomte,34,68,1,4,105,6.80
Toulouse,Alban Lafont,50,61,1,10,106,6.78
Bastia,Jean-Louis Leca,8,64,3,9,96,6.77
Lille Osc,Vincent Enyeama,11,47,1,8,83,6.76
Metz,Thomas Didillon,20,63,1,10,116,6.74
Montpellier,Laurent Pionnier,35,37,0,6,65,6.73
Fc Nantes,Maxime Dupé,9,28,0,5,40,6.73
Paris Saint Germain,Alphonse Aréola,10,11,0,6,23,6.71
Guingamp,Karl-Johan Johnsson,11,52,2,8,94,6.71
Angers,Mathieu Michel,9,25,0,8,45,6.69
Bordeaux,Jérôme Prior,3,22,0,4,46,6.66
Caen,Rémy Vercoutre,16,45,0,8,81,6.63
As Monaco,Seydou Sy,0,0,0,0,0,6.60
Bastia,Paul Charruau,1,1,0,0,1,6.60
Fc Nantes,Rémy Riou,21,21,0,5,49,6.58
Saint Etienne,Jessy Moulin,5,12,0,2,21,6.50
Montpellier,Geoffrey Jourdren,7,21,0,1,35,6.50
Olympique Lyonnais,Mathieu Gorgelin,0,1,0,0,1,6.40
As Monaco,Loïc Badiashile,0,2,0,0,3,6.40
Angers,Denis Petrić,5,10,0,0,24,6.39
Lorient,Paul Delecroix,2,10,0,0,23,6.37
Angers,Alexandre Letellier,4,9,0,1,15,6.32
Metz,David Oberhauser,0,1,0,0,2,6.30
Guingamp,Théo Guivarch,0,2,0,0,2,6.30
As Monaco,Morgan De Sanctis,1,1,0,0,1,6.10
Caen,Paul Reulet,2,2,0,0,6,6.03
Bastia,Alexis Thébaux,0,1,0,0,3,5.60
