Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Bayern Munchen,James Rodríguez,65,90,1289,11,14,7.80
Borussia Dortmund,Marco Reus,18,80,279,0,5,7.43
1 Fsv Mainz 05,Alexander Hack,5,77,498,0,0,7.40
Eintracht Frankfurt,Alexander Meier,0,67,2,0,0,7.40
Bayern Munchen,Robert Lewandowski,23,79,472,2,5,7.38
Fc Schalke 04,Naldo,15,86,1453,2,3,7.38
Bayern Munchen,Joshua Kimmich,55,90,1617,10,8,7.38
Bayern Munchen,Arturo Vidal,26,88,1028,2,4,7.37
Bayern Munchen,Thiago Alcántara,30,92,1178,2,2,7.35
Bayern Munchen,Thomas Müller,58,77,714,14,18,7.31
Bayern Munchen,Jérôme Boateng,15,87,1226,2,4,7.31
Fc Schalke 04,Daniel Caligiuri,50,72,915,10,10,7.31
Augsburg,Philipp Max,80,70,735,12,13,7.29
Bayer 04 Leverkusen,Leon Bailey,61,75,634,6,9,7.29
Hertha Bsc,Thomas Kraft,0,60,78,0,0,7.27
1899 Hoffenheim,Serge Gnabry,27,77,374,5,5,7.26
Bayern Munchen,Mats Hummels,8,87,1761,1,1,7.26
Bayern Munchen,Tom Starke,0,63,30,0,0,7.25
Bayern Munchen,Arjen Robben,34,85,650,5,9,7.25
Bayern Munchen,Corentin Tolisso,22,90,1138,4,7,7.23
Bayer 04 Leverkusen,Lars Bender,19,79,653,4,3,7.22
Werder Bremen,Max Kruse,58,80,986,6,6,7.21
1899 Hoffenheim,Benjamin Hübner,11,84,1216,2,0,7.20
Borussia Dortmund,Maximilian Philipp,15,73,215,1,4,7.20
Hannover 96,Salif Sané,11,81,1451,1,1,7.19
1899 Hoffenheim,Andrej Kramarić,52,80,628,6,9,7.18
Borussia Mgladbach,Lars Stindl,55,83,1311,3,9,7.16
Borussia Mgladbach,Jannik Vestergaard,4,85,1633,0,3,7.16
Hannover 96,Niclas Füllkrug,37,63,471,3,3,7.16
Fc Schalke 04,Thilo Kehrer,11,83,996,0,0,7.15
Vfb Stuttgart,Benjamin Pavard,9,84,1556,0,2,7.15
Rb Leipzig,Naby Keïta,39,81,985,5,8,7.14
Borussia Dortmund,Pierre-Emerick Aubameyang,16,77,241,3,4,7.14
Borussia Mgladbach,Raffael,34,84,655,2,7,7.14
1 Fc Koln,Dominic Maroh,2,88,429,0,0,7.14
Fc Schalke 04,Bastian Oczipka,58,76,766,1,3,7.14
Vfb Stuttgart,Timo Baumgartl,6,82,1217,0,0,7.13
Borussia Dortmund,Łukasz Piszczek,17,81,1063,3,4,7.13
Bayern Munchen,Franck Ribéry,34,87,658,1,4,7.12
Wolfsburg,Ignacio Camacho,4,76,400,0,1,7.12
Rb Leipzig,Marcel Sabitzer,35,74,601,5,3,7.12
Bayer 04 Leverkusen,Sven Bender,4,86,1373,0,0,7.12
Borussia Dortmund,Marc Bartra,5,80,520,1,3,7.12
Bayern Munchen,David Alaba,23,89,970,2,5,7.11
Hannover 96,Pirmin Schwegler,47,79,974,6,2,7.11
Borussia Mgladbach,Thorgan Hazard,66,76,900,5,8,7.11
Borussia Mgladbach,Matthias Ginter,7,87,1782,2,2,7.11
Eintracht Frankfurt,Jetro Willems,36,73,419,2,2,7.10
Bayern Munchen,Rafinha,24,90,1420,2,1,7.10
Borussia Dortmund,Ömer Toprak,5,90,1663,1,1,7.10
Bayern Munchen,Niklas Dorsch,1,82,32,0,0,7.10
Hannover 96,Linton Maina,3,90,18,1,2,7.10
Freiburg,Nils Petersen,35,65,402,1,2,7.10
Bayern Munchen,Javi Martínez,12,88,1045,2,5,7.10
Bayer 04 Leverkusen,Lucas Alario,14,75,302,4,3,7.09
Bayern Munchen,Kingsley Coman,22,86,470,3,5,7.09
Bayern Munchen,Niklas Süle,6,93,1494,1,1,7.09
Hertha Bsc,Niklas Stark,5,81,858,1,1,7.09
Augsburg,Alfreð Finnbogason,33,72,315,3,4,7.09
1899 Hoffenheim,Mark Uth,29,75,401,8,7,7.08
Werder Bremen,Zlatko Junuzović,40,75,508,4,6,7.08
Bayern Munchen,Sandro Wagner,22,72,339,3,3,7.08
Rb Leipzig,Marcel Halstenberg,15,78,463,2,1,7.08
Wolfsburg,John Brooks,0,86,317,0,0,7.08
Borussia Dortmund,Nuri Şahin,22,85,913,2,5,7.08
Hamburger Sv,Aaron Hunt,60,80,823,2,5,7.06
Rb Leipzig,Ademola Lookman,17,77,167,3,4,7.05
Werder Bremen,Thomas Delaney,30,72,898,4,5,7.05
Eintracht Frankfurt,David Abraham,7,83,1081,2,2,7.05
Rb Leipzig,Kevin Kampl,53,87,1021,3,1,7.05
Bayern Munchen,Lars Lukas Mai,0,90,102,0,0,7.05
1899 Hoffenheim,Robin Hack,1,60,9,0,0,7.05
Bayer 04 Leverkusen,Julian Brandt,61,79,919,3,10,7.05
Augsburg,Michael Gregoritsch,21,68,512,2,1,7.04
Werder Bremen,Lamine Sané,0,82,323,0,0,7.04
Hannover 96,Timo Hübers,3,76,129,1,0,7.04
Rb Leipzig,Dayot Upamecano,9,84,1224,0,2,7.04
Fc Schalke 04,Matija Nastasić,3,85,990,0,0,7.03
Eintracht Frankfurt,Omar Mascarell,8,83,400,0,0,7.03
Borussia Dortmund,Shinji Kagawa,22,87,636,1,4,7.03
Bayer 04 Leverkusen,Charles Aránguiz,23,86,1478,3,1,7.03
1 Fc Koln,Jonas Hector,21,82,782,2,3,7.03
Hertha Bsc,Marvin Plattenhardt,35,82,1022,7,4,7.02
Augsburg,Martin Hinteregger,8,79,1046,0,0,7.02
Bayer 04 Leverkusen,Jonathan Tah,11,86,1267,2,1,7.02
Rb Leipzig,Diego Demme,32,84,1744,3,4,7.02
1899 Hoffenheim,Florian Grillitsch,27,83,871,2,1,7.02
Fc Schalke 04,Leon Goretzka,18,80,678,2,0,7.02
Bayer 04 Leverkusen,Kai Havertz,31,81,880,8,9,7.01
1899 Hoffenheim,Kevin Vogt,10,89,1976,1,2,7.01
Borussia Dortmund,Sokratis,6,87,1653,0,0,7.01
1 Fc Koln,Miloš Jojić,33,78,470,5,12,7.01
Wolfsburg,Daniel Didavi,31,79,680,5,3,7.01
Werder Bremen,Jiří Pavlenka,0,62,615,0,0,7.01
Borussia Mgladbach,Tobias Strobl,2,87,60,1,1,7.00
Freiburg,Nicolas Höfler,18,87,1104,3,2,7.00
Hannover 96,Waldemar Anton,2,80,964,0,0,7.00
Fc Schalke 04,Yevhen Konoplyanka,31,78,306,4,9,7.00
Hamburger Sv,Lewis Holtby,14,80,431,0,0,6.99
Hannover 96,Felix Klaus,33,72,438,2,1,6.99
Bayer 04 Leverkusen,Julian Baumgartlinger,11,91,861,0,1,6.99
Hamburger Sv,Douglas Santos,22,72,782,1,1,6.99
Freiburg,Pascal Stenzel,17,78,659,0,0,6.99
Rb Leipzig,Timo Werner,24,75,490,7,5,6.98
Bayern Munchen,Sebastian Rudy,20,90,933,4,2,6.98
Hannover 96,Felipe,2,77,207,0,1,6.98
Bayer 04 Leverkusen,Wendell,26,83,950,3,5,6.98
Augsburg,Raphael Framberger,10,69,166,0,2,6.98
Freiburg,Christian Günter,54,72,867,3,3,6.98
Eintracht Frankfurt,Marius Wolf,35,71,538,8,10,6.98
Fc Schalke 04,Benjamin Stambouli,9,79,1071,2,1,6.98
Vfb Stuttgart,Ron-Robert Zieler,1,53,641,0,0,6.97
Hamburger Sv,Kyriakos Papadopoulos,9,74,893,1,1,6.97
Eintracht Frankfurt,Ante Rebić,28,57,253,2,7,6.97
Werder Bremen,Niklas Moisander,8,84,1231,0,1,6.97
Borussia Dortmund,Michy Batshuayi,4,69,122,1,0,6.97
1 Fsv Mainz 05,Danny Latza,35,79,968,1,2,6.97
Vfb Stuttgart,Erik Thommy,27,75,245,4,4,6.97
Fc Schalke 04,Max Meyer,10,89,938,0,0,6.97
Bayer 04 Leverkusen,Kevin Volland,34,76,554,2,7,6.97
Wolfsburg,Josuha Guilavogui,22,85,1155,2,4,6.97
1 Fsv Mainz 05,Jean-Philippe Gbamin,13,79,919,3,3,6.96
1 Fc Koln,Marcel Risse,21,67,316,3,4,6.96
Hannover 96,Miiko Albornoz,8,77,236,2,2,6.96
Hertha Bsc,Fabian Lustenberger,6,83,709,0,1,6.96
Werder Bremen,Florian Kainz,37,77,487,3,5,6.96
Wolfsburg,Robin Knoche,3,85,1212,2,0,6.95
Hertha Bsc,Davie Selke,15,60,256,0,3,6.95
Eintracht Frankfurt,Sébastien Haller,30,66,451,4,7,6.95
1 Fsv Mainz 05,Pablo De Blasis,29,74,520,2,3,6.95
Rb Leipzig,Emil Forsberg,40,80,429,2,1,6.95
1899 Hoffenheim,Kerem Demirbay,31,83,536,2,3,6.95
Augsburg,Daniel Baier,29,74,1172,2,4,6.94
Wolfsburg,William,18,75,600,2,2,6.94
Borussia Dortmund,Jadon Sancho,19,84,300,4,6,6.94
1 Fsv Mainz 05,Daniel Brosinski,42,72,712,5,3,6.94
Wolfsburg,Admir Mehmedi,26,80,357,3,4,6.94
Wolfsburg,Koen Casteels,1,61,680,0,0,6.94
Hamburger Sv,Dennis Diekmeier,19,64,352,3,3,6.94
Borussia Dortmund,Mario Götze,40,81,790,3,10,6.94
Borussia Mgladbach,Vincenzo Grifo,20,77,291,3,3,6.94
Augsburg,Daniel Opare,6,66,259,0,1,6.94
Augsburg,Jeffrey Gouweleeuw,7,78,911,0,0,6.93
Bayern Munchen,Manuel Neuer,0,85,71,0,0,6.93
Borussia Dortmund,Andriy Yarmolenko,29,79,314,2,4,6.93
Vfb Stuttgart,Holger Badstuber,1,83,909,0,0,6.93
1 Fsv Mainz 05,Ridle Baku,1,81,66,0,1,6.93
Wolfsburg,Paul Jäckel,2,76,109,0,1,6.93
Fc Schalke 04,Amine Harit,38,84,603,3,5,6.93
Werder Bremen,Philipp Bargfrede,8,80,763,1,1,6.93
Eintracht Frankfurt,Makoto Hasebe,4,88,1012,0,0,6.93
Vfb Stuttgart,Santiago Ascacibar,9,84,938,1,1,6.93
Vfb Stuttgart,Anastasios Donis,11,74,126,2,5,6.92
Vfb Stuttgart,Christian Gentner,26,72,852,1,5,6.92
Vfb Stuttgart,Mario Gómez,25,63,352,3,4,6.92
Augsburg,Caiuby,33,67,660,7,8,6.92
Vfb Stuttgart,Dennis Aogo,24,87,865,6,6,6.92
Hannover 96,Jonathas,12,64,100,3,2,6.92
Eintracht Frankfurt,Carlos Salcedo,1,80,760,0,0,6.92
Rb Leipzig,Lukas Klostermann,15,76,714,0,2,6.92
Bayer 04 Leverkusen,Panagiotis Retsos,8,84,895,3,2,6.91
Vfb Stuttgart,Berkay Özcan,14,82,338,2,3,6.91
Hertha Bsc,Peter Pekarík,12,76,466,2,2,6.91
Rb Leipzig,Willi Orbán,7,83,1137,0,2,6.91
Hertha Bsc,Maximilian Mittelstädt,4,69,106,0,0,6.91
Augsburg,Marwin Hitz,1,69,690,0,0,6.91
Bayer 04 Leverkusen,Karim Bellarabi,28,80,366,3,6,6.91
Hannover 96,Matthias Ostrzolek,22,68,601,1,2,6.91
Hannover 96,Ihlas Bebou,43,75,434,2,8,6.91
Eintracht Frankfurt,Timothy Chandler,25,69,430,4,2,6.90
1 Fsv Mainz 05,Abdou Diallo,5,75,841,1,0,6.90
Werder Bremen,Ludwig Augustinsson,30,78,843,0,2,6.90
Augsburg,Kevin Danso,3,72,362,0,0,6.90
Fc Schalke 04,Baba Rahman,0,63,10,0,0,6.90
Borussia Dortmund,Manuel Akanji,2,86,512,0,0,6.90
Hamburger Sv,Nicolai Müller,1,82,9,0,0,6.90
Hertha Bsc,Per Ciljan Skjelbred,6,85,966,0,2,6.90
Rb Leipzig,Benno Schmitz,2,81,39,0,0,6.90
Augsburg,Simon Asta,0,75,3,0,0,6.90
Borussia Dortmund,Neven Subotić,0,85,219,0,0,6.90
Borussia Mgladbach,Reece Oxford,2,75,177,0,0,6.90
Wolfsburg,Paul Verhaegh,20,79,1085,2,2,6.90
1 Fc Koln,Frederik Sørensen,6,75,670,1,1,6.90
Vfb Stuttgart,Andreas Beck,15,73,614,1,3,6.90
Eintracht Frankfurt,Marco Russ,3,81,478,0,0,6.89
1899 Hoffenheim,Håvard Nordtveit,1,87,496,0,0,6.89
Werder Bremen,Fin Bartels,23,73,272,3,7,6.89
Vfb Stuttgart,Emiliano Insúa,23,75,577,2,2,6.89
Eintracht Frankfurt,Simon Falette,6,76,935,0,1,6.89
Borussia Dortmund,Julian Weigl,8,86,1091,0,1,6.89
Werder Bremen,Ishak Belfodil,18,65,268,1,3,6.89
Wolfsburg,Maximilian Arnold,39,84,1111,0,1,6.89
Eintracht Frankfurt,Marco Fabián,8,87,152,0,1,6.89
Werder Bremen,Sebastian Langkamp,2,86,672,0,0,6.88
Rb Leipzig,Bernardo,7,74,519,1,1,6.88
Wolfsburg,Yannick Gerhardt,12,78,426,1,1,6.88
1 Fsv Mainz 05,Fabian Frei,8,82,347,0,1,6.88
Wolfsburg,Josip Brekalo,32,74,427,2,2,6.88
Borussia Mgladbach,Christoph Kramer,13,88,1333,0,0,6.88
1899 Hoffenheim,Ádám Szalai,12,74,157,1,0,6.88
1 Fsv Mainz 05,Stefan Bell,9,74,694,0,0,6.88
Borussia Dortmund,Mahmoud Dahoud,22,84,553,4,6,6.87
Wolfsburg,Felix Uduokhai,1,86,790,0,0,6.87
Hannover 96,Martin Harnik,18,67,377,2,3,6.87
1 Fc Koln,Jorge Meré,1,85,821,1,1,6.87
Fc Schalke 04,Marko Pjaca,0,69,41,0,0,6.87
Hertha Bsc,Vladimír Darida,15,80,762,3,4,6.87
1899 Hoffenheim,Steven Zuber,13,83,588,2,2,6.87
Borussia Mgladbach,Yann Sommer,0,70,777,0,0,6.87
Rb Leipzig,Bruma,25,81,630,2,3,6.87
Augsburg,Gojko Kačar,0,76,56,0,0,6.87
Borussia Dortmund,Raphaël Guerreiro,10,84,295,1,1,6.87
Borussia Mgladbach,Oscar Wendt,25,80,879,1,2,6.86
Borussia Mgladbach,Nico Elvedi,21,84,1261,2,2,6.86
1 Fc Koln,Simon Terodde,23,66,352,1,1,6.86
Borussia Dortmund,Jeremy Toljan,13,83,632,2,2,6.86
1 Fsv Mainz 05,René Adler,1,60,231,0,1,6.86
