Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Chelsea,Antonio Rüdiger,91,0,34,4,1,6.97
Southampton,Matt Targett,70,3,27,1,1,6.97
Bournemouth,Joshua King,72,3,30,65,12,6.97
Watford,José Holebas,69,6,69,21,3,6.96
Manchester United,Ander Herrera,88,3,54,12,2,6.96
Huddersfield Town,Aaron Mooy,80,1,62,22,3,6.96
Liverpool,Joe Gomez,88,0,17,4,0,6.96
Newcastle United,Jamaal Lascelles,77,1,32,1,0,6.96
Leicester City,Ricardo Pereira,78,6,118,68,2,6.95
Liverpool,Xherdan Shaqiri,81,3,14,6,6,6.95
Southampton,Pierre-Emile Højbjerg,83,3,71,22,4,6.95
West Ham United,Jack Wilshere,89,1,7,15,0,6.95
Fulham,Jean-Michaël Seri,87,2,41,16,1,6.95
Wolverhampton,Rúben Neves,81,3,75,11,4,6.95
Southampton,James Ward-Prowse,77,0,36,5,7,6.95
West Ham United,Łukasz Fabiański,50,0,1,2,0,6.94
Wolverhampton,Diogo Jota,76,5,28,57,9,6.94
Burnley,Ben Mee,75,2,54,8,0,6.94
West Ham United,Declan Rice,86,0,98,26,2,6.94
Bournemouth,Nathan Aké,86,0,66,3,4,6.94
Bournemouth,David Brooks,73,5,37,24,7,6.94
Crystal Palace,Patrick van Aanholt,80,2,48,22,3,6.94
Manchester United,Antonio Valencia,84,0,8,3,0,6.93
Manchester United,Juan Mata,86,2,9,10,3,6.93
Brighton Hove Albion,Bernardo,73,1,62,14,0,6.93
Manchester United,Luke Shaw,83,4,55,27,1,6.93
Crystal Palace,Michy Batshuayi,65,0,2,9,5,6.93
Liverpool,Jordan Henderson,87,3,46,7,1,6.93
Crystal Palace,Vicente Guaita,42,0,0,0,0,6.93
Chelsea,Gonzalo Higuaín,77,0,10,9,5,6.92
Newcastle United,Isaac Hayden,79,4,73,12,1,6.92
Watford,Daryl Janmaat,76,2,36,14,0,6.91
Everton,Kurt Zouma,84,2,32,7,2,6.91
Chelsea,Callum Hudson-Odoi,86,1,8,12,0,6.91
Chelsea,Ruben Loftus-Cheek,88,2,18,41,6,6.91
Leicester City,Wes Morgan,81,0,27,2,3,6.90
Liverpool,Fabinho,85,2,59,10,1,6.90
Manchester City,Fabian Delph,91,1,23,8,0,6.90
Arsenal,Konstantinos Mavropanos,93,0,1,2,0,6.90
Brighton Hove Albion,Solly March,71,5,56,49,1,6.90
Cardiff City,Nathaniel Mendez-Laing,62,1,34,29,4,6.90
Burnley,Ashley Barnes,59,2,28,7,12,6.89
Manchester United,Romelu Lukaku,66,0,8,21,12,6.89
Bournemouth,Jefferson Lerma,83,0,45,20,2,6.89
Newcastle United,Ayoze Pérez,76,2,60,46,12,6.89
Brighton Hove Albion,Lewis Dunk,83,1,42,0,2,6.89
Tottenham,Érik Lamela,83,2,17,20,4,6.89
Newcastle United,Sean Longstaff,81,0,17,5,1,6.89
Southampton,Mario Lemina,86,1,49,23,1,6.89
Southampton,Jan Bednarek,71,1,41,1,0,6.88
Arsenal,Lucas Torreira,87,2,65,13,2,6.88
Southampton,Maya Yoshida,76,1,16,2,0,6.88
Chelsea,Ross Barkley,91,5,15,15,3,6.88
Arsenal,Sokratis,89,2,42,6,1,6.88
Manchester City,Phil Foden,87,0,7,8,1,6.88
Manchester City,Ederson,83,1,3,1,0,6.88
Southampton,Nathan Redmond,75,4,45,92,6,6.88
Burnley,Dwight McNeil,76,5,36,31,3,6.88
Liverpool,Daniel Sturridge,80,1,3,5,2,6.87
West Ham United,Robert Snodgrass,82,5,44,33,2,6.87
Chelsea,N'Golo Kanté,88,4,74,32,4,6.87
Wolverhampton,Adama Traoré,72,1,16,65,1,6.87
Fulham,Tom Cairney,90,1,37,43,1,6.87
Manchester United,Alexis Sánchez,75,3,17,14,1,6.87
West Ham United,Javier Hernández,71,1,3,13,7,6.87
Leicester City,Christian Fuchs,83,0,4,1,0,6.87
Leicester City,Jonny Evans,85,0,24,0,1,6.87
Burnley,Kevin Long,81,1,18,1,0,6.87
Crystal Palace,James Tomkins,83,1,33,2,1,6.87
Cardiff City,Sean Morrison,63,3,35,8,1,6.86
Cardiff City,Neil Etheridge,32,0,1,0,0,6.86
Crystal Palace,Mamadou Sakho,89,0,25,9,0,6.86
Leicester City,Hamza Choudhury,85,0,24,2,0,6.86
Leicester City,Harvey Barnes,77,2,10,30,1,6.86
Newcastle United,Sung-Yueng Ki,85,1,14,5,0,6.86
Burnley,Jóhann Guðmundsson,73,6,26,16,3,6.86
West Ham United,Samir Nasri,88,2,0,2,0,6.86
Everton,Morgan Schneiderlin,89,1,24,2,0,6.86
Arsenal,Aaron Ramsey,82,6,34,12,4,6.86
Crystal Palace,Scott Dann,73,1,6,3,0,6.86
Burnley,Chris Wood,65,2,13,8,10,6.86
Liverpool,Georginio Wijnaldum,91,0,40,29,3,6.85
West Ham United,Fabián Balbuena,79,0,40,1,1,6.85
Manchester United,Jesse Lingard,86,2,29,13,4,6.85
Arsenal,Bernd Leno,69,0,0,0,0,6.85
West Ham United,Angelo Ogbonna,84,1,31,1,1,6.85
Manchester United,Chris Smalling,86,0,30,1,1,6.85
Wolverhampton,Leander Dendoncker,79,0,53,12,2,6.84
Chelsea,Kepa Arrizabalaga,85,0,1,1,0,6.84
Crystal Palace,Christian Benteke,56,1,5,5,1,6.84
Tottenham,Lucas Moura,76,0,34,45,10,6.84
West Ham United,Mark Noble,85,5,47,14,5,6.84
Manchester City,Gabriel Jesus,82,3,10,22,7,6.83
Leicester City,Marc Albrighton,66,2,36,20,2,6.83
Huddersfield Town,Zanka,82,1,49,3,3,6.83
Tottenham,Danny Rose,74,3,49,35,0,6.83
Liverpool,Divock Origi,70,1,6,6,3,6.83
Manchester United,Victor Lindelöf,89,1,40,8,1,6.83
Tottenham,Davinson Sánchez,90,1,37,1,1,6.83
Arsenal,Mohamed Elneny,91,0,13,1,0,6.83
Chelsea,Andreas Christensen,93,0,10,1,0,6.83
Cardiff City,Víctor Camarasa,75,4,28,34,5,6.83
Arsenal,Rob Holding,87,0,11,3,0,6.82
Wolverhampton,Ryan Bennett,80,0,58,3,1,6.82
Everton,Séamus Coleman,78,2,44,21,2,6.81
Bournemouth,Junior Stanislas,77,3,12,12,2,6.81
Tottenham,Fernando Llorente,66,4,4,5,1,6.81
Watford,Abdoulaye Doucouré,83,6,71,32,5,6.81
Brighton Hove Albion,Anthony Knockaert,77,6,33,32,2,6.81
Fulham,André Schürrle,78,0,29,19,6,6.81
Southampton,Wesley Hoedt,79,0,28,5,0,6.81
Watford,Adam Masina,81,1,30,7,0,6.81
Arsenal,Héctor Bellerín,84,5,15,15,0,6.81
Tottenham,Eric Dier,85,0,27,2,3,6.81
West Ham United,Aaron Cresswell,81,1,29,6,0,6.81
Newcastle United,Paul Dummett,71,0,34,2,0,6.80
Chelsea,Mateo Kovačić,92,2,45,42,0,6.80
Huddersfield Town,Steve Mounié,65,3,9,13,2,6.80
Everton,Richarlison,69,1,50,38,13,6.80
Liverpool,Alex Oxlade-Chamberlain,77,0,1,1,0,6.80
Bournemouth,Artur Boruc,57,0,1,0,0,6.80
Manchester United,Mason Greenwood,85,0,3,3,0,6.80
Burnley,Sam Vokes,51,0,4,3,3,6.80
Everton,James McCarthy,100,0,2,0,0,6.80
Burnley,Ben Gibson,67,0,1,0,1,6.80
Brighton Hove Albion,Dale Stephens,84,1,84,7,1,6.80
Huddersfield Town,Jonathan Hogg,83,1,78,9,0,6.80
Manchester United,Nemanja Matić,87,0,50,18,1,6.80
Fulham,Joe Bryan,75,1,61,15,0,6.80
Cardiff City,Callum Paterson,48,1,21,5,4,6.80
Brighton Hove Albion,Glenn Murray,58,1,17,8,13,6.79
Newcastle United,Federico Fernández,79,1,16,0,0,6.79
Crystal Palace,Jordan Ayew,78,2,38,11,1,6.79
Wolverhampton,Conor Coady,84,0,31,3,0,6.79
West Ham United,Michail Antonio,68,4,23,58,6,6.79
Tottenham,Ben Davies,83,0,56,4,0,6.79
Arsenal,Mattéo Guendouzi,88,0,44,23,0,6.79
Manchester United,Diogo Dalot,71,2,24,11,0,6.79
Chelsea,Olivier Giroud,68,4,3,2,2,6.78
Huddersfield Town,Jon Gorenc Stanković,76,0,26,1,1,6.78
Leicester City,Daniel Amartey,85,0,18,2,0,6.78
Watford,Craig Cathcart,82,0,49,2,3,6.78
Brighton Hove Albion,David Button,37,0,0,0,0,6.78
Crystal Palace,Connor Wickham,45,1,0,0,0,6.78
West Ham United,Lucas Pérez,71,0,6,5,3,6.77
Cardiff City,Bobby Reid,71,2,16,16,5,6.77
Huddersfield Town,Christopher Schindler,83,0,61,1,1,6.77
Chelsea,Emerson Palmieri,90,0,14,10,0,6.77
Huddersfield Town,Alex Pritchard,75,0,36,29,2,6.77
Wolverhampton,Jonny Castro,78,1,79,30,1,6.77
Leicester City,Ben Chilwell,72,4,55,50,0,6.77
Crystal Palace,Max Meyer,84,2,33,13,1,6.77
Fulham,Calum Chambers,79,0,63,23,2,6.76
Everton,Dominic Calvert-Lewin,61,2,13,21,6,6.76
Crystal Palace,James McArthur,79,6,84,20,3,6.76
Everton,Cenk Tosun,71,3,13,2,3,6.76
Crystal Palace,Martin Kelly,75,0,21,0,0,6.76
Arsenal,Alex Iwobi,78,6,28,46,3,6.76
Southampton,Michael Obafemi,67,1,1,3,1,6.76
Manchester United,Fred,86,1,29,10,1,6.76
Tottenham,Moussa Sissoko,87,3,36,36,0,6.76
West Ham United,Arthur Masuaku,83,1,57,36,0,6.76
Wolverhampton,Ivan Cavaleiro,76,1,5,15,3,6.75
Everton,Yerry Mina,84,0,14,0,1,6.75
Watford,Isaac Success,72,1,14,14,1,6.75
Southampton,Mohamed Elyounoussi,73,0,16,10,0,6.75
Southampton,Oriol Romeu,79,0,81,17,1,6.75
Burnley,Tom Heaton,46,0,0,1,0,6.75
Bournemouth,Dominic Solanke,72,1,8,10,0,6.75
Leicester City,Danny Simpson,71,0,11,0,0,6.75
Bournemouth,Tyrone Mings,84,0,4,2,0,6.75
Cardiff City,Joe Bennett,72,1,50,24,0,6.75
West Ham United,Pedro Obiang,80,1,41,7,0,6.75
Cardiff City,Harry Arter,81,1,62,3,0,6.75
Manchester United,Matteo Darmian,85,0,14,1,0,6.74
Bournemouth,Dan Gosling,80,1,58,12,2,6.74
Watford,Ben Foster,45,0,2,0,0,6.74
Tottenham,Harry Winks,92,0,22,17,1,6.74
Cardiff City,Aron Gunnarsson,72,1,51,11,1,6.74
Burnley,Phil Bardsley,69,0,32,4,0,6.74
Liverpool,Naby Keïta,88,1,37,24,2,6.73
Burnley,Stephen Ward,74,0,4,2,0,6.73
Huddersfield Town,Terence Kongolo,78,1,74,10,1,6.73
Fulham,Sergio Rico,54,0,1,0,0,6.73
Liverpool,Adam Lallana,82,0,16,8,0,6.73
West Ham United,Manuel Lanzini,90,1,12,13,1,6.73
