Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Valencia,Jaume Doménech,13,38,2,5,64,7.16
Real Madrid,Keylor Navas,42,53,3,13,95,7.13
Las Palmas,Raúl Lizoain,10,20,0,2,35,7.11
Sporting Gijon,Alberto Garcia,5,16,2,0,28,7.08
Villarreal,Alphonse Aréola,34,57,1,15,81,7.06
Barcelona,Claudio Bravo,28,49,0,15,86,7.00
Real Madrid,Kiko Casilla,2,11,0,1,14,7.00
Atletico Madrid,Jan Oblak,18,44,0,24,82,6.97
Sevilla,Sergio Rico,21,66,0,10,112,6.93
Real Betis,Antonio Adán,31,94,0,12,129,6.91
Malaga,Carlos Kameni,28,50,1,9,77,6.91
Malaga,Guillermo Ochoa,7,22,0,3,29,6.91
Granada,Jesús Fernández,2,3,0,0,4,6.90
Real Sociedad,Gerónimo Rulli,42,67,1,12,106,6.89
Valencia,Mathew Ryan,12,15,0,1,23,6.86
Sporting Gijon,Iván Cuéllar,35,61,1,7,115,6.85
Las Palmas,Javi Varas,39,62,0,9,96,6.85
Villarreal,Sergio Asenjo,3,5,0,2,13,6.83
Valencia,Diego Alves,5,38,0,1,48,6.82
Levante,Diego Mariño,12,60,0,3,79,6.81
Rayo Vallecano,Juan Carlos,34,51,1,3,67,6.80
Athletic Bilbao,Gorka Iraizoz,65,61,1,13,93,6.77
Getafe,Vicente Guaita,30,85,2,8,124,6.76
Barcelona,Marc-André ter Stegen,2,6,0,2,14,6.75
Celta Vigo,Sergio Álvarez,30,50,1,7,82,6.74
Deportivo La Coruna,Germán Lux,25,40,1,6,73,6.72
Eibar,Asier Riesgo,59,56,1,7,81,6.71
Granada,Andrés Fernández,60,77,0,4,103,6.69
Eibar,Xabier Irureta,8,7,0,0,13,6.68
Rayo Vallecano,Yoel Rodríguez,26,21,0,0,28,6.66
Espanyol,Pau López,40,55,0,7,96,6.65
Rayo Vallecano,Toño,24,19,1,3,25,6.64
Real Betis,Dani Giménez,3,4,0,0,5,6.63
Sevilla,Beto,2,6,0,1,14,6.63
Celta Vigo,Rubén Blanco,7,7,0,3,18,6.59
Levante,Rubén Martínez,9,23,1,3,41,6.54
Villarreal,Mariano Barbosa,1,3,0,0,6,6.40
Deportivo La Coruna,Stipe Pletikosa,2,3,0,0,5,6.40
Deportivo La Coruna,Manu,6,10,0,1,15,6.31
Real Sociedad,Oier Olazábal,4,2,0,1,4,6.23
Espanyol,Giedrius Arlauskis,6,3,0,0,7,6.07
Athletic Bilbao,Iago Herrerín,3,1,0,0,1,5.80
Celta Vigo,Nestor Díaz,0,0,0,0,0,0.00
