Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
As Monaco,Jorge,0,0,2,4,2,8.00
Paris Saint Germain,Thiago Silva,24,0,112,52,31,7.58
Paris Saint Germain,Marco Verratti,4,0,10,23,88,7.57
Olympique De Marseille,Dimitri Payet,0,0,0,12,18,7.55
Saint Etienne,Loïc Perrin,20,0,154,56,59,7.50
Olympique Lyonnais,Alexandre Lacazette,0,0,2,2,32,7.49
Saint Etienne,Anthony Maisonnial,0,0,5,0,0,7.45
Paris Saint Germain,Ángel Di María,0,0,0,15,21,7.43
Stade Rennais,Sylvain Armand,0,0,9,5,0,7.40
Olympique Lyonnais,Maxime Gonalons,11,1,52,68,128,7.38
Olympique Lyonnais,Corentin Tolisso,9,0,37,31,54,7.37
Toulouse,Mauro Goicoechea,0,0,0,0,0,7.35
Ogc Nice,Jean-Michaël Seri,7,1,17,34,36,7.34
Ogc Nice,Paul Baysse,13,0,132,33,37,7.34
Bastia,Thomas Vincensini,0,0,1,0,0,7.33
As Monaco,Gabriel Boschilia,0,0,2,4,10,7.32
Ogc Nice,Wylan Cyprien,6,0,23,11,33,7.31
Paris Saint Germain,Lucas Moura,1,0,11,32,44,7.31
Montpellier,Ryad Boudebouz,0,0,6,16,38,7.30
Guingamp,Romain Salin,0,0,2,0,0,7.30
Dijon,Benjamin Leroy,0,0,0,0,0,7.30
Olympique Lyonnais,Christophe Jallet,5,0,29,10,33,7.29
As Monaco,Fabinho,11,0,65,53,113,7.29
As Monaco,Radamel Falcao,2,0,26,7,15,7.28
Paris Saint Germain,Adrien Rabiot,15,1,33,37,61,7.27
Olympique De Marseille,Florian Thauvin,1,0,14,22,38,7.27
Paris Saint Germain,Edinson Cavani,3,0,15,12,21,7.26
Guingamp,Yannis Salibur,1,0,4,21,33,7.25
As Monaco,Kylian Mbappé,0,0,6,4,8,7.25
Angers,Billy Ketkeophomphone,0,0,1,7,13,7.24
Paris Saint Germain,Marquinhos,13,0,101,37,47,7.23
Paris Saint Germain,Julian Draxler,0,0,3,12,11,7.21
As Monaco,Thomas Lemar,0,0,12,28,51,7.21
