Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Ado Den Haag,Robert Zwinkels,51,0,0,0,0,7.90
Heracles Almelo,Oussama Tannane,76,3,26,18,7,7.67
Psv Eindhoven,Luuk de Jong,71,8,26,16,26,7.65
Ajax,Joël Veltman,79,5,114,18,2,7.56
Az Alkmaar,Vincent Janssen,74,4,28,36,27,7.51
Psv Eindhoven,Andrés Guardado,83,9,38,20,1,7.49
Vitesse,Guram Kashia,83,4,71,6,5,7.47
Heracles Almelo,Gino Bosz,86,0,4,2,1,7.47
Feyenoord,Dirk Kuyt,72,3,33,18,19,7.46
Ajax,Nemanja Gudelj,83,8,64,29,4,7.44
Psv Eindhoven,Davy Pröpper,77,6,55,27,10,7.41
Ajax,Diederik Boer,35,0,0,0,0,7.40
Fc Twente,Hakim Ziyech,71,10,63,92,17,7.38
Ado Den Haag,Edouard Duplan,76,11,27,58,3,7.38
Psv Eindhoven,Jürgen Locadia,83,10,19,18,8,7.36
Fc Utrecht,Sébastien Haller,60,4,20,34,17,7.31
Heerenveen,Sam Larsson,78,8,36,77,6,7.31
Groningen,Rasmus Lindgren,86,1,34,3,4,7.28
Ajax,Arkadiusz Milik,72,7,10,11,21,7.26
Ado Den Haag,Wilfried Kanon,85,1,44,12,0,7.25
Psv Eindhoven,Jetro Willems,81,4,23,11,2,7.25
Ajax,Davy Klaassen,79,8,43,13,13,7.25
Nec Nijmegen,Christian Santos,60,1,34,12,16,7.24
Psv Eindhoven,Marco van Ginkel,79,1,19,8,8,7.24
Vitesse,Maikel Van der Werff,84,2,49,10,0,7.23
Pec Zwolle,Bart Van Hintum,76,2,66,4,1,7.23
Psv Eindhoven,Santiago Arias,86,2,61,31,3,7.23
Az Alkmaar,Stijn Wuytens,80,5,90,9,1,7.22
Az Alkmaar,Jop Van der Linden,82,1,27,10,1,7.22
Willem Ii Tilburg,Bartholomew Ogbeche,68,2,14,25,10,7.22
Az Alkmaar,Alireza Jahanbakhsh,70,5,46,38,3,7.20
Heracles Almelo,Justin Hoogma,76,0,2,0,0,7.20
Az Alkmaar,Fernando Lewis,83,0,0,3,0,7.20
Sc Cambuur,Noureddine Boutzamar,80,0,1,1,0,7.20
Fc Utrecht,Ruud Boymans,66,0,6,2,10,7.19
Pec Zwolle,Lars Veldwijk,62,10,11,21,14,7.19
Pec Zwolle,Ouasim Bouy,73,7,54,18,4,7.18
Vitesse,Lewis Baker,83,4,23,6,5,7.17
Psv Eindhoven,Jeffrey Bruma,89,1,30,10,0,7.17
Fc Twente,Jerson Cabral,82,5,38,72,6,7.17
Feyenoord,Eric Botteghin,86,0,43,6,0,7.17
Vitesse,Marvelous Nakamba,85,2,125,43,1,7.17
Pec Zwolle,Dirk Marcellis,77,3,95,17,4,7.17
Feyenoord,Tonny Vilhena,78,4,43,18,5,7.17
Fc Utrecht,Timo Letschert,85,0,51,27,3,7.16
Ajax,Riechedly Bazoer,85,4,41,33,5,7.16
Feyenoord,Terence Kongolo,82,1,89,18,0,7.15
Az Alkmaar,Thomas Ouwejan,65,0,9,2,0,7.15
Feyenoord,Eljero Elia,78,4,64,77,8,7.15
Ajax,Jaïro Riedewald,89,1,36,25,0,7.14
Fc Twente,Kamohelo Mokotjo,87,4,52,24,1,7.14
Psv Eindhoven,Héctor Moreno,88,0,29,7,4,7.14
Ajax,Mike Van der Hoorn,79,1,13,4,1,7.14
Fc Twente,Stefan Thesker,74,1,17,1,2,7.14
Ajax,Mitchell Dijks,81,6,59,47,0,7.14
Willem Ii Tilburg,Lucas Andersen,78,4,42,49,6,7.13
Nec Nijmegen,Rens Van Eijden,85,1,49,8,0,7.13
Feyenoord,Marko Vejinović,80,1,41,20,0,7.12
Pec Zwolle,Stefan Nijland,74,2,19,5,6,7.12
Vitesse,Arnold Kruiswijk,90,0,39,3,0,7.12
Az Alkmaar,Ridgeciano Haps,70,2,67,45,3,7.11
Nec Nijmegen,Gregor Breinburg,84,3,101,17,0,7.11
Ajax,Amin Younes,82,5,29,70,8,7.11
Willem Ii Tilburg,Rochdi Achenteh,81,3,36,12,0,7.11
Fc Utrecht,Nacer Barazite,78,6,15,38,8,7.10
Nec Nijmegen,Hannes Þór Halldórsson,66,0,0,0,0,7.10
Nec Nijmegen,Brad Jones,62,0,0,0,0,7.10
Excelsior,Danilho Doekhi,33,0,0,0,0,7.10
Ajax,Kenny Tete,85,1,62,15,0,7.10
Willem Ii Tilburg,Jordens Peters,79,0,43,6,1,7.09
Ajax,Nick Viergever,87,2,22,10,0,7.09
Feyenoord,Bart Nieuwkoop,71,1,9,2,0,7.08
Az Alkmaar,Markus Henriksen,71,6,46,9,12,7.07
Heracles Almelo,Iliass Bel Hassani,74,4,54,62,8,7.07
De Graafschap,Karim Tarfi,68,0,41,9,2,7.07
Fc Utrecht,Sean Klaiber,75,4,45,15,0,7.07
Feyenoord,Rick Karsdorp,82,10,55,19,0,7.07
Nec Nijmegen,Anthony Limbombe,82,2,15,31,7,7.06
Roda Jc Kerkrade,Hicham Faik,73,2,46,10,3,7.06
Az Alkmaar,Jeffrey Gouweleeuw,79,0,21,4,2,7.06
Vitesse,Kelvin Leerdam,82,1,31,6,1,7.05
Excelsior,Jurgen Matheij,80,0,31,5,0,7.05
Feyenoord,Sven van Beek,86,0,44,9,2,7.05
Feyenoord,Michiel Kramer,67,4,5,2,14,7.05
Pec Zwolle,Ryan Thomas,76,1,13,20,2,7.05
Heracles Almelo,Mike te Wierik,81,0,60,1,0,7.05
Excelsior,Tom Van Weert,71,2,25,20,11,7.05
Willem Ii Tilburg,Funso Ojo,80,2,79,26,0,7.05
Heracles Almelo,Wout Droste,73,2,84,8,0,7.04
Excelsior,Adil Auassar,61,4,64,31,2,7.04
Groningen,Johan Kappelhof,81,1,36,10,1,7.04
Ado Den Haag,Mike Havenaar,62,3,12,9,16,7.04
Roda Jc Kerkrade,Rydell Poepon,70,1,17,13,4,7.04
Fc Twente,Felipe Gutiérrez,78,3,71,22,2,7.03
Feyenoord,Simon Gustafsson,76,5,7,1,3,7.03
De Graafschap,Ted Van de Pavert,80,1,53,6,2,7.03
