Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Az Alkmaar,Alireza Jahanbakhsh,74,12,68,111,21,8.15
Ajax,Hakim Ziyech,75,15,56,114,9,8.06
Feyenoord,Steven Berghuis,78,12,30,77,18,7.95
Az Alkmaar,Marko Vejinović,86,4,26,5,0,7.81
Psv Eindhoven,Hirving Lozano,75,8,31,61,17,7.79
Heracles Almelo,Brandley Kuwas,77,13,29,109,5,7.73
Psv Eindhoven,Jürgen Locadia,77,2,8,8,9,7.55
Ajax,David Neres,83,11,43,114,14,7.53
Fc Utrecht,Zakaria Labyad,73,8,22,22,12,7.51
Feyenoord,Sam Larsson,75,5,19,36,4,7.46
Pec Zwolle,Younes Namli,77,4,36,86,5,7.43
Heerenveen,Martin Ødegaard,81,1,36,68,2,7.43
Vitesse,Mason Mount,77,8,32,45,9,7.41
Ajax,Frenkie de Jong,91,7,37,54,0,7.40
Psv Eindhoven,Luuk de Jong,67,5,24,9,12,7.38
Excelsior,Hicham Faik,82,3,66,19,5,7.37
Ajax,Lasse Schöne,87,3,63,32,10,7.36
Az Alkmaar,Wout Weghorst,74,6,22,13,18,7.35
Psv Eindhoven,Steven Bergwijn,84,7,29,73,8,7.35
Fc Utrecht,Jean-Christophe Bahebeck,53,0,5,10,3,7.33
Psv Eindhoven,Gastón Pereiro,75,4,16,34,11,7.33
Ajax,Justin Kluivert,87,5,33,81,10,7.33
Heerenveen,Arbër Zeneli,81,7,17,59,4,7.31
Fc Twente,Adam Maher,78,4,36,12,1,7.31
Ajax,Donny van de Beek,83,6,60,45,11,7.31
Psv Eindhoven,Marco van Ginkel,79,4,37,17,14,7.29
Feyenoord,Jean-Paul Boëtius,81,7,41,35,6,7.29
Ado Den Haag,Abdenasser El Khayati,77,11,24,31,8,7.28
Vitesse,Milot Rashica,69,3,30,45,3,7.27
Fc Utrecht,Yassin Ayoub,81,6,76,48,6,7.26
Vitesse,Roy Beerens,83,4,6,20,1,7.25
Psv Eindhoven,Santiago Arias,82,6,45,23,3,7.25
Ajax,Nicolás Tagliafico,84,2,44,7,1,7.24
Feyenoord,Eric Botteghin,86,0,27,8,0,7.24
Az Alkmaar,Teun Koopmeiners,82,4,71,19,1,7.23
Vitesse,Bryan Linssen,67,5,51,13,15,7.23
Feyenoord,Renato Tapia,86,0,31,14,1,7.22
Pec Zwolle,Youness Mokhtar,74,5,30,76,8,7.21
Vvv Venlo,Clint Leemans,78,4,48,12,10,7.21
Nac Breda,Angeliño,76,6,27,56,3,7.21
Ajax,Azor Matusiwa,86,0,2,2,0,7.20
Vvv Venlo,Delano van Crooy,53,0,0,0,0,7.20
Ado Den Haag,Tim Coremans,58,0,0,0,0,7.20
Ajax,Nick Viergever,86,1,16,8,2,7.19
Heerenveen,Stijn Schaars,80,3,52,18,3,7.19
Nac Breda,Manu García,79,2,54,117,1,7.18
Ajax,Joël Veltman,85,1,85,2,1,7.17
Excelsior,Luigi Bruins,80,2,54,39,5,7.17
Feyenoord,Karim El Ahmadi,90,4,101,24,2,7.16
Ajax,Noussair Mazraoui,85,0,13,12,0,7.16
Roda Jc Kerkrade,Simon Gustafsson,82,6,37,42,10,7.16
Willem Ii Tilburg,Bartholomew Ogbeche,70,1,22,10,10,7.15
Fc Twente,Joachim Andersen,86,0,6,0,0,7.15
Feyenoord,Dylan Vente,80,4,1,1,3,7.15
Psv Eindhoven,Joshua Brenet,80,4,75,45,1,7.15
Feyenoord,Jeremiah St. Juste,86,0,38,8,2,7.15
Groningen,Sergio Padt,50,0,2,3,0,7.13
Pec Zwolle,Ryan Thomas,84,3,70,39,1,7.12
Az Alkmaar,Jonas Svensson,85,5,93,19,3,7.12
Feyenoord,Jens Toornstra,80,10,23,15,8,7.11
Ado Den Haag,Bjorn Johnsen,59,0,31,17,19,7.11
Fc Utrecht,Willem Janssen,83,0,35,4,4,7.11
Ajax,Klaas-Jan Huntelaar,75,5,8,11,13,7.11
Psv Eindhoven,Jorrit Hendrix,79,4,61,53,2,7.10
Az Alkmaar,Fredrik Midtsjø,85,0,66,56,2,7.10
Ajax,Luis Orejuela,83,0,4,0,0,7.10
Psv Eindhoven,Kenneth Paal,79,0,21,1,0,7.10
Excelsior,Jurgen Matheij,77,2,39,4,0,7.10
Roda Jc Kerkrade,Dani Schahin,65,2,8,25,10,7.10
Nac Breda,Umar Sadiq,77,1,6,17,5,7.10
Ajax,Matthijs De Ligt,89,2,34,15,3,7.10
Feyenoord,Nicolai Jørgensen,76,3,14,29,10,7.09
Fc Twente,Oussama Assaidi,88,3,23,80,6,7.09
Sparta Rotterdam,Soufyan Ahannach,72,0,15,22,1,7.09
Vitesse,Guram Kashia,81,1,55,10,3,7.09
Groningen,Amir Absalem,76,0,23,5,0,7.09
Ajax,Amin Younes,79,2,18,41,1,7.08
Willem Ii Tilburg,Fran Sol,73,5,6,15,16,7.08
Pec Zwolle,Philippe Sandler,85,0,35,13,0,7.08
Willem Ii Tilburg,Etien Velikonja,74,0,1,2,3,7.08
Psv Eindhoven,Daniel Schwaab,82,2,39,9,2,7.08
Fc Twente,Danny Holla,76,4,46,5,2,7.07
Vvv Venlo,Vito van Crooy,70,5,50,14,5,7.07
Az Alkmaar,Oussama Idrissi,79,7,20,48,7,7.07
Feyenoord,Sven van Beek,88,1,31,5,0,7.07
Groningen,Mimoun Mahi,74,5,25,33,7,7.07
Az Alkmaar,Thomas Ouwejan,85,1,68,15,0,7.06
Roda Jc Kerkrade,Adil Auassar,71,3,39,13,2,7.06
Heracles Almelo,Brahim Darri,82,3,15,29,1,7.05
Ajax,Václav Černý,88,2,2,2,0,7.05
Az Alkmaar,Stijn Wuytens,90,1,36,5,0,7.05
Feyenoord,Bilal Başaçıkoğlu,78,3,11,15,3,7.05
Vitesse,Alexander Büttner,78,6,20,19,0,7.04
Heerenveen,Daniel Høegh,87,1,50,6,2,7.04
Ado Den Haag,Sheraldo Becker,72,7,10,24,2,7.04
Fc Utrecht,Mateusz Klich,84,2,21,9,1,7.04
Feyenoord,Kevin Diks,85,4,58,15,0,7.03
Vitesse,Matthew Miazga,84,0,22,6,3,7.03
Heracles Almelo,Robin Propper,83,1,39,9,3,7.03
Heracles Almelo,Kristoffer Peterson,80,3,28,43,7,7.02
Psv Eindhoven,Albert Guðmundsson,94,2,4,8,0,7.02
Groningen,Ritsu Doan,81,3,63,62,9,7.02
Vvv Venlo,Lars Unnerstall,50,0,0,0,0,7.01
Nac Breda,Mounir El Allouchi,84,3,53,14,3,7.01
Ajax,Maximilian Wöber,88,0,24,10,1,7.01
Ado Den Haag,Robert Zwinkels,60,0,3,1,0,7.01
Pec Zwolle,Bram Van Polen,84,1,58,11,3,7.01
Nac Breda,Nigel Bertrams,70,0,1,0,0,7.01
Feyenoord,Tonny Vilhena,82,4,44,34,11,7.01
Groningen,Deyovaisio Zeefuik,80,1,46,19,0,7.01
Vvv Venlo,Lennart Thy,68,5,27,26,7,7.00
Feyenoord,Justin Bijlow,70,0,0,0,0,7.00
Nac Breda,Pablo Mari,81,0,35,12,3,7.00
Groningen,Etienne Reijnen,87,0,10,2,0,7.00
Feyenoord,Jan-Arie van der Heijden,89,0,30,16,0,6.99
Fc Utrecht,Mark van der Maarel,78,0,68,5,4,6.99
Psv Eindhoven,Jeroen Zoet,59,0,0,1,0,6.98
Roda Jc Kerkrade,Tsiy-William Ndenge,80,2,30,66,2,6.98
Willem Ii Tilburg,Konstantinos Tsimikas,70,3,97,56,3,6.98
Nac Breda,Menno Koch,86,1,14,2,1,6.98
Vitesse,Thulani Serero,89,0,53,28,2,6.98
Heerenveen,Jordy Bruijn,81,0,4,2,1,6.98
Heracles Almelo,Bram Castro,60,0,3,1,0,6.97
Psv Eindhoven,Mauro Junior,82,3,26,20,1,6.97
Ado Den Haag,Lex Immers,76,5,67,12,4,6.97
Sparta Rotterdam,Loris Brogno,80,3,12,28,2,6.97
Az Alkmaar,Pantelis Hatzidiakos,90,1,43,6,1,6.97
Vitesse,Tim Matavz,51,1,9,12,14,6.97
Sparta Rotterdam,Fred Friday,75,2,14,38,6,6.97
Az Alkmaar,Mats Seuntjens,84,4,26,52,3,6.97
Fc Twente,Stefan Thesker,78,0,34,3,3,6.97
Heracles Almelo,Jamiro Monteiro,88,3,73,82,4,6.96
Groningen,Mike te Wierik,81,0,70,10,1,6.96
Sparta Rotterdam,Nick Proschwitz,57,0,2,0,3,6.96
Sparta Rotterdam,Robert Muhren,61,4,29,9,7,6.96
Vitesse,Thomas Bruns,76,3,55,15,3,6.96
Excelsior,Jordy de Wijs,77,0,21,4,0,6.95
Ajax,André Onana,73,0,0,3,0,6.95
Az Alkmaar,Marco Bizot,66,1,0,0,0,6.95
Heerenveen,Nemanja Mihajlović,76,1,4,6,2,6.95
Fc Utrecht,Urby Emanuelson,79,3,48,15,0,6.94
Az Alkmaar,Guus Til,83,3,46,26,9,6.94
Heerenveen,Kik Pierie,85,1,60,11,0,6.94
Sparta Rotterdam,Thomas Verhaar,67,3,10,7,0,6.94
Fc Twente,Haris Vučkić,78,0,19,11,3,6.93
Sparta Rotterdam,Julian Chabot,74,1,40,19,2,6.93
Ajax,Rasmus Kristensen,82,0,20,3,0,6.93
Pec Zwolle,Mustafa Saymak,76,2,29,11,11,6.93
