Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Barcelona,Lionel Messi,28,131,126,9,37,8.36
Deportivo La Coruna,Lucas Pérez,33,3,0,0,1,8.20
Barcelona,Neymar,16,82,168,9,13,8.04
Real Madrid,Toni Kroos,14,22,28,0,3,7.68
Deportivo La Coruna,Davy Roef,0,0,0,0,0,7.60
Real Madrid,Cristiano Ronaldo,20,128,25,16,25,7.54
Barcelona,Luis Suárez,29,99,34,22,29,7.51
Villarreal,José Ángel,0,7,12,0,0,7.44
Real Madrid,James Rodríguez,29,28,13,2,8,7.36
Las Palmas,Jonathan Viera,13,53,61,2,7,7.34
Atletico Madrid,Antoine Griezmann,23,69,26,6,16,7.33
Villarreal,Bruno Soriano,33,15,17,2,5,7.31
Real Sociedad,Asier Illarramendi,8,12,30,1,1,7.30
Atletico Madrid,Filipe Luís,17,18,74,1,3,7.30
Deportivo Alaves,Marcos Llorente,0,10,27,0,0,7.29
Atletico Madrid,Diego Godín,12,26,13,1,3,7.29
Barcelona,Aleix Vidal,29,7,5,0,2,7.28
Barcelona,Gerard Piqué,11,18,10,5,2,7.26
Real Madrid,Gareth Bale,14,50,26,2,7,7.26
Athletic Bilbao,Beñat Etxebarria,4,23,18,1,1,7.23
Real Madrid,Sergio Ramos,24,29,7,4,7,7.23
Barcelona,Javier Mascherano,13,8,3,1,1,7.22
Real Madrid,Luka Modrić,7,14,42,0,1,7.20
Celta Vigo,Iago Aspas,29,65,36,8,19,7.19
Real Madrid,Pepe,40,5,3,0,2,7.18
Espanyol,David López,21,14,11,0,3,7.18
Malaga,Luis Hernández,33,3,4,0,1,7.18
Atletico Madrid,José Giménez,0,12,11,0,0,7.18
Sevilla,Steven N'Zonzi,7,28,30,4,2,7.18
Real Madrid,Danilo,14,7,13,0,1,7.18
Real Madrid,Isco,45,22,53,1,10,7.17
Villarreal,Roberto Soldado,29,14,2,2,4,7.17
Real Betis,Dani Ceballos,6,31,81,1,2,7.16
Atletico Madrid,Koke,21,19,14,1,4,7.16
Malaga,Sandro Ramírez,21,68,25,5,14,7.15
Real Madrid,Mateo Kovačić,9,11,60,0,1,7.15
Barcelona,Marlon,0,0,1,0,0,7.15
Real Madrid,Casemiro,36,11,7,2,4,7.15
Athletic Bilbao,Yeray Álvarez,0,11,14,2,0,7.15
Real Madrid,Álvaro Morata,31,49,22,8,15,7.14
Valencia,Dani Parejo,13,39,32,3,5,7.14
Las Palmas,Mauricio Lemos,29,17,9,0,5,7.13
Barcelona,Andrés Iniesta,0,14,33,1,0,7.13
Barcelona,Samuel Umtiti,17,6,8,0,1,7.12
Espanyol,Gerard Moreno,19,70,47,3,13,7.12
Eibar,Iván Ramis,33,9,1,0,3,7.11
Atletico Madrid,Stefan Savić,33,3,0,0,1,7.11
Real Madrid,Raphaël Varane,8,12,4,0,1,7.11
Real Sociedad,Carlos Vela,18,49,59,4,9,7.11
Villarreal,Manu Trigueros,13,40,35,1,5,7.11
Athletic Bilbao,Aritz Aduriz,20,79,23,11,16,7.11
Barcelona,Ivan Rakitić,23,35,23,1,8,7.10
Athletic Bilbao,Aymeric Laporte,14,14,7,1,2,7.10
Athletic Bilbao,Gorka Elustondo,0,1,0,1,0,7.10
Real Madrid,Karim Benzema,20,54,18,9,11,7.10
Deportivo Alaves,Zouhair Feddal,18,11,4,0,2,7.09
Valencia,Enzo Pérez,0,8,28,0,0,7.09
Eibar,Dani García,5,19,9,0,1,7.07
Malaga,Ignacio Camacho,12,34,7,0,4,7.07
Real Sociedad,Willian José,22,54,12,1,12,7.07
Barcelona,Rafinha Alcántara,29,21,12,0,6,7.07
Eibar,Florian Lejeune,4,23,13,1,1,7.06
Atletico Madrid,Gabi,0,15,15,1,0,7.05
Celta Vigo,Carles Planas,0,1,3,0,0,7.05
Deportivo Alaves,Rodrigo Ely,13,8,1,0,1,7.04
Barcelona,Arda Turan,27,11,21,3,3,7.04
Sevilla,Vicente Iborra,27,26,10,7,7,7.03
Sevilla,Franco Vázquez,15,47,28,2,7,7.03
Deportivo La Coruna,Celso Borges,21,29,10,2,6,7.03
Real Sociedad,Iñigo Martínez,8,36,13,0,3,7.03
Villarreal,Sergio Asenjo,0,0,0,0,0,7.03
Deportivo La Coruna,Pedro Mosquera,38,8,8,1,3,7.03
Villarreal,Mario Gaspar,0,24,16,0,0,7.03
Sevilla,Sergio Escudero,0,26,28,1,0,7.03
Deportivo Alaves,Víctor Laguardia,20,10,2,1,2,7.03
Villarreal,Jaume Costa,25,4,21,0,1,7.03
Atletico Madrid,Saúl Ñíguez,11,37,33,2,4,7.02
Leganes,Dimitrios Siovas,14,7,7,0,1,7.02
Villarreal,Daniele Bonera,0,0,0,0,0,7.02
Barcelona,Sergio Busquets,0,2,18,0,0,7.02
Barcelona,Marc-André ter Stegen,0,0,1,0,0,7.01
Las Palmas,Pedro Bigas,24,17,16,0,4,7.01
Deportivo Alaves,Manu García,18,17,8,0,3,7.01
Barcelona,Jérémy Mathieu,20,5,2,1,1,7.01
Real Betis,Petros,13,8,18,0,1,7.01
Sevilla,Clément Lenglet,0,1,3,0,0,7.00
Deportivo Alaves,Deyverson,13,52,14,12,7,7.00
Sevilla,David Soria,0,0,0,0,0,7.00
Real Betis,Rubén Castro,16,82,19,7,13,7.00
Eibar,David Juncà,0,2,3,0,0,7.00
Espanyol,Diego Reyes,13,8,10,1,1,7.00
Eibar,Alejandro Gálvez,0,3,1,0,0,7.00
Real Sociedad,Raúl Navas,5,20,11,0,1,7.00
Valencia,Ezequiel Garay,44,9,4,0,4,7.00
Barcelona,Sergi Roberto,0,12,39,0,0,6.99
Real Madrid,Marcelo,11,19,43,1,2,6.99
