Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Bayern Munchen,Joshua Kimmich,90,13,46,38,2,7.66
Bayern Munchen,Thiago Alcántara,92,6,87,57,2,7.54
Borussia Mgladbach,Thorgan Hazard,77,10,51,71,10,7.52
Fc Schalke 04,George Timotheou,80,0,3,0,0,7.50
Bayern Munchen,James Rodríguez,87,3,12,16,7,7.49
Bayern Munchen,Robert Lewandowski,77,7,12,51,22,7.46
Eintracht Frankfurt,Frederik Rønnow,60,0,0,0,0,7.45
1899 Hoffenheim,Kerem Demirbay,81,9,57,58,4,7.43
Rb Leipzig,Marcel Halstenberg,74,6,68,28,3,7.41
Werder Bremen,Max Kruse,79,9,17,37,11,7.41
Eintracht Frankfurt,Sébastien Haller,63,9,24,28,15,7.37
Hannover 96,Edgar Prib,80,1,10,4,0,7.37
Fortuna Dusseldorf,Kevin Stöger,85,7,63,27,1,7.35
1899 Hoffenheim,Ishak Belfodil,72,3,13,38,16,7.31
Borussia Dortmund,Jadon Sancho,85,14,19,113,12,7.28
Freiburg,Vincenzo Grifo,79,5,32,33,7,7.27
Bayern Munchen,Thomas Müller,75,9,42,23,6,7.26
Wolfsburg,Ignacio Camacho,78,0,15,1,0,7.25
Bayer 04 Leverkusen,Julian Brandt,81,11,27,55,7,7.24
Bayer 04 Leverkusen,Kevin Volland,75,9,33,31,14,7.23
Borussia Dortmund,Marco Reus,82,8,33,25,17,7.23
Rb Leipzig,Kevin Kampl,84,5,41,25,2,7.23
Bayern Munchen,Mats Hummels,89,1,26,10,1,7.23
Wolfsburg,Wout Weghorst,70,7,30,15,17,7.22
Rb Leipzig,Timo Werner,74,7,18,29,16,7.20
Bayern Munchen,Kingsley Coman,85,4,11,60,6,7.20
Rb Leipzig,Tyler Adams,80,2,28,14,0,7.19
Rb Leipzig,Willi Orbán,78,0,49,3,4,7.19
Rb Leipzig,Yussuf Poulsen,61,3,20,24,15,7.18
Bayer 04 Leverkusen,Kai Havertz,87,3,26,48,17,7.18
Wolfsburg,Maximilian Arnold,81,6,51,25,2,7.18
