Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Bayern Munchen,Thiago Alcántara,90,5,76,60,6,7.96
Augsburg,Andreas Luthe,41,0,0,0,0,7.75
Bayern Munchen,Arjen Robben,81,9,13,67,13,7.60
1 Fc Koln,Sven Müller,41,0,0,0,0,7.50
Werder Bremen,Max Kruse,76,7,15,17,15,7.47
Bayern Munchen,Robert Lewandowski,75,5,9,33,30,7.41
Bayer 04 Leverkusen,Hakan Çalhanoğlu,78,5,24,12,6,7.40
Rb Leipzig,Emil Forsberg,76,19,28,71,8,7.40
Fc Schalke 04,Johannes Geis,79,0,31,6,0,7.39
1899 Hoffenheim,Benjamin Hübner,88,3,73,6,2,7.38
Bayer 04 Leverkusen,Joel Pohjanpalo,63,0,0,2,6,7.37
Bayern Munchen,Arturo Vidal,88,2,78,10,4,7.36
Bayern Munchen,Mats Hummels,89,1,57,4,1,7.35
Borussia Dortmund,Ousmane Dembélé,67,12,30,103,6,7.34
Rb Leipzig,Naby Keïta,82,7,81,83,8,7.34
1899 Hoffenheim,Sebastian Rudy,81,7,92,21,2,7.33
Bayern Munchen,Tom Starke,80,0,0,1,0,7.33
Bayern Munchen,Xabi Alonso,89,2,55,5,3,7.33
Bayern Munchen,Javi Martínez,92,1,43,4,1,7.33
1 Fc Koln,Frederik Sørensen,72,2,97,8,0,7.30
Wolfsburg,Philipp Wollscheid,81,0,16,0,0,7.30
Augsburg,Raphael Framberger,73,1,6,1,0,7.30
Borussia Dortmund,Pierre-Emerick Aubameyang,70,2,16,20,31,7.29
Bayern Munchen,Franck Ribéry,84,11,10,38,5,7.25
Ingolstadt,Pascal Groß,69,4,67,9,5,7.25
Borussia Dortmund,Sokratis,88,0,59,11,2,7.23
Bayern Munchen,Philipp Lahm,90,2,41,14,1,7.22
Hamburger Sv,Kyriakos Papadopoulos,64,0,35,0,2,7.22
Bayern Munchen,Joshua Kimmich,90,1,38,5,6,7.21
Rb Leipzig,Willi Orbán,81,1,67,1,3,7.21
Fc Schalke 04,Thilo Kehrer,82,1,35,8,1,7.20
Augsburg,Konstantinos Stafylidis,71,0,58,8,4,7.20
Bayer 04 Leverkusen,Vladlen Yurchenko,81,0,1,1,0,7.20
