Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Wolverhampton,John Ruddy,0,3,0,1,3,7.40
Tottenham,Paulo Gazzaniga,1,7,0,1,11,7.27
Chelsea,Willy Caballero,0,1,0,2,3,7.20
Fulham,Fabri,3,12,0,0,16,7.20
Tottenham,Hugo Lloris,18,70,2,12,101,7.12
Arsenal,Petr Čech,3,16,0,1,28,7.10
Bournemouth,Mark Travers,2,6,0,1,9,7.05
Tottenham,Michel Vorm,1,6,0,0,9,7.00
Liverpool,Alisson,18,50,0,21,76,6.99
West Ham United,Łukasz Fabiański,6,100,1,7,148,6.94
Crystal Palace,Vicente Guaita,3,41,0,7,64,6.93
Manchester City,Ederson,17,37,0,20,58,6.88
Cardiff City,Neil Etheridge,19,98,3,10,141,6.86
Arsenal,Bernd Leno,12,67,0,6,105,6.85
Chelsea,Kepa Arrizabalaga,9,44,1,14,82,6.84
Bournemouth,Artur Boruc,4,23,0,4,41,6.80
Brighton Hove Albion,David Button,1,7,0,1,14,6.78
Burnley,Tom Heaton,14,37,0,4,63,6.75
Watford,Ben Foster,32,83,1,7,127,6.74
Fulham,Sergio Rico,9,82,0,5,111,6.73
Everton,Jordan Pickford,15,55,3,14,94,6.73
Burnley,Joe Hart,5,51,1,4,77,6.72
Leicester City,Kasper Schmeichel,7,61,0,10,90,6.72
Newcastle United,Martin Dúbravka,16,65,0,11,95,6.69
Manchester United,David De Gea,5,63,0,7,122,6.66
Southampton,Alex McCarthy,6,56,0,4,78,6.65
Crystal Palace,Wayne Hennessey,5,29,1,5,44,6.64
Huddersfield Town,Jonas Lössl,9,61,1,4,88,6.62
Wolverhampton,Rui Patrício,2,57,0,7,97,6.60
Brighton Hove Albion,Mathew Ryan,2,56,0,6,97,6.60
Huddersfield Town,Joel Coleman,1,1,0,0,2,6.50
Southampton,Angus Gunn,6,17,1,3,33,6.49
Fulham,Marcus Bettinelli,5,16,1,0,20,6.41
Southampton,Fraser Forster,0,2,0,0,3,6.30
Bournemouth,Asmir Begović,8,36,0,5,60,6.30
Huddersfield Town,Ben Hamer,1,15,0,0,24,6.03
Crystal Palace,Julián Speroni,0,4,0,0,5,5.60
Wolverhampton,Will Norris,0,0,0,0,0,0.00
