Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Bayern Munchen,James Rodríguez,90,11,35,20,7,7.80
Borussia Dortmund,Marco Reus,80,0,16,13,7,7.43
1 Fsv Mainz 05,Alexander Hack,77,0,46,5,1,7.40
Eintracht Frankfurt,Alexander Meier,67,0,0,0,1,7.40
Bayern Munchen,Robert Lewandowski,79,2,5,19,29,7.38
Fc Schalke 04,Naldo,86,2,51,9,7,7.38
Bayern Munchen,Joshua Kimmich,90,10,32,21,1,7.38
Bayern Munchen,Arturo Vidal,88,2,69,9,6,7.37
Bayern Munchen,Thiago Alcántara,92,2,45,24,2,7.35
Bayern Munchen,Thomas Müller,77,14,35,12,8,7.31
Bayern Munchen,Jérôme Boateng,87,2,26,1,1,7.31
Fc Schalke 04,Daniel Caligiuri,72,10,100,56,6,7.31
Augsburg,Philipp Max,70,12,65,5,2,7.29
Bayer 04 Leverkusen,Leon Bailey,75,6,16,57,9,7.29
Hertha Bsc,Thomas Kraft,60,0,0,0,0,7.27
1899 Hoffenheim,Serge Gnabry,77,5,32,45,10,7.26
Bayern Munchen,Mats Hummels,87,1,61,12,1,7.26
Bayern Munchen,Tom Starke,63,0,0,0,0,7.25
Bayern Munchen,Arjen Robben,85,5,14,26,5,7.25
Bayern Munchen,Corentin Tolisso,90,4,33,5,6,7.23
Bayer 04 Leverkusen,Lars Bender,79,4,63,9,2,7.22
Werder Bremen,Max Kruse,80,6,17,28,6,7.21
1899 Hoffenheim,Benjamin Hübner,84,2,71,5,3,7.20
Borussia Dortmund,Maximilian Philipp,73,1,24,16,9,7.20
Hannover 96,Salif Sané,81,1,57,15,4,7.19
1899 Hoffenheim,Andrej Kramarić,80,6,8,20,13,7.18
Borussia Mgladbach,Lars Stindl,83,3,52,23,6,7.16
Borussia Mgladbach,Jannik Vestergaard,85,0,58,6,3,7.16
Hannover 96,Niclas Füllkrug,63,3,16,20,14,7.16
Fc Schalke 04,Thilo Kehrer,83,0,81,15,3,7.15
Vfb Stuttgart,Benjamin Pavard,84,0,55,10,1,7.15
Rb Leipzig,Naby Keïta,81,5,65,67,6,7.14
Borussia Dortmund,Pierre-Emerick Aubameyang,77,3,5,5,13,7.14
Borussia Mgladbach,Raffael,84,2,40,45,9,7.14
1 Fc Koln,Dominic Maroh,88,0,22,0,0,7.14
Fc Schalke 04,Bastian Oczipka,76,1,60,38,0,7.14
Vfb Stuttgart,Timo Baumgartl,82,0,87,0,0,7.13
Borussia Dortmund,Łukasz Piszczek,81,3,51,17,0,7.13
Bayern Munchen,Franck Ribéry,87,1,19,22,5,7.12
Wolfsburg,Ignacio Camacho,76,0,27,2,0,7.12
Rb Leipzig,Marcel Sabitzer,74,5,38,18,3,7.12
Bayer 04 Leverkusen,Sven Bender,86,0,51,6,2,7.12
Borussia Dortmund,Marc Bartra,80,1,28,5,2,7.12
Bayern Munchen,David Alaba,89,2,23,12,2,7.11
Hannover 96,Pirmin Schwegler,79,6,81,10,0,7.11
Borussia Mgladbach,Thorgan Hazard,76,5,49,52,10,7.11
Borussia Mgladbach,Matthias Ginter,87,2,48,10,5,7.11
Eintracht Frankfurt,Jetro Willems,73,2,55,22,0,7.10
Bayern Munchen,Rafinha,90,2,39,8,1,7.10
Borussia Dortmund,Ömer Toprak,90,1,36,2,0,7.10
Bayern Munchen,Niklas Dorsch,82,0,1,1,1,7.10
Hannover 96,Linton Maina,90,1,1,3,0,7.10
Freiburg,Nils Petersen,65,1,27,28,15,7.10
Bayern Munchen,Javi Martínez,88,2,31,3,1,7.10
Bayer 04 Leverkusen,Lucas Alario,75,4,16,22,9,7.09
Bayern Munchen,Kingsley Coman,86,3,11,54,3,7.09
Bayern Munchen,Niklas Süle,93,1,34,3,2,7.09
Hertha Bsc,Niklas Stark,81,1,50,5,1,7.09
Augsburg,Alfreð Finnbogason,72,3,18,20,12,7.09
1899 Hoffenheim,Mark Uth,75,8,32,20,14,7.08
Werder Bremen,Zlatko Junuzović,75,4,35,10,2,7.08
Bayern Munchen,Sandro Wagner,72,3,17,5,12,7.08
Rb Leipzig,Marcel Halstenberg,78,2,29,11,2,7.08
Wolfsburg,John Brooks,86,0,20,2,0,7.08
Borussia Dortmund,Nuri Şahin,85,2,40,5,2,7.08
Hamburger Sv,Aaron Hunt,80,2,36,19,3,7.06
Rb Leipzig,Ademola Lookman,77,3,5,12,5,7.05
Werder Bremen,Thomas Delaney,72,4,79,8,3,7.05
Eintracht Frankfurt,David Abraham,83,2,40,8,0,7.05
Rb Leipzig,Kevin Kampl,87,3,43,21,1,7.05
Bayern Munchen,Lars Lukas Mai,90,0,4,1,0,7.05
1899 Hoffenheim,Robin Hack,60,0,2,0,1,7.05
Bayer 04 Leverkusen,Julian Brandt,79,3,24,43,9,7.05
Augsburg,Michael Gregoritsch,68,2,35,12,13,7.04
Werder Bremen,Lamine Sané,82,0,19,2,1,7.04
Hannover 96,Timo Hübers,76,1,11,1,0,7.04
Rb Leipzig,Dayot Upamecano,84,0,57,13,3,7.04
Fc Schalke 04,Matija Nastasić,85,0,48,1,0,7.03
Eintracht Frankfurt,Omar Mascarell,83,0,20,10,1,7.03
Borussia Dortmund,Shinji Kagawa,87,1,32,9,5,7.03
Bayer 04 Leverkusen,Charles Aránguiz,86,3,75,17,1,7.03
1 Fc Koln,Jonas Hector,82,2,47,16,2,7.03
Hertha Bsc,Marvin Plattenhardt,82,7,57,20,0,7.02
Augsburg,Martin Hinteregger,79,0,79,2,0,7.02
Bayer 04 Leverkusen,Jonathan Tah,86,2,47,11,0,7.02
Rb Leipzig,Diego Demme,84,3,81,14,0,7.02
1899 Hoffenheim,Florian Grillitsch,83,2,68,16,1,7.02
Fc Schalke 04,Leon Goretzka,80,2,50,13,4,7.02
Bayer 04 Leverkusen,Kai Havertz,81,8,34,27,3,7.01
1899 Hoffenheim,Kevin Vogt,89,1,38,2,0,7.01
Borussia Dortmund,Sokratis,87,0,65,7,2,7.01
1 Fc Koln,Miloš Jojić,78,5,36,13,2,7.01
Wolfsburg,Daniel Didavi,79,5,34,15,9,7.01
Werder Bremen,Jiří Pavlenka,62,0,1,0,0,7.01
Borussia Mgladbach,Tobias Strobl,87,1,3,1,0,7.00
Freiburg,Nicolas Höfler,87,3,57,17,1,7.00
Hannover 96,Waldemar Anton,80,0,65,19,1,7.00
Fc Schalke 04,Yevhen Konoplyanka,78,4,11,18,4,7.00
Hamburger Sv,Lewis Holtby,80,0,44,10,6,6.99
Hannover 96,Felix Klaus,72,2,48,14,4,6.99
Bayer 04 Leverkusen,Julian Baumgartlinger,91,0,47,6,1,6.99
Hamburger Sv,Douglas Santos,72,1,90,41,1,6.99
Freiburg,Pascal Stenzel,78,0,62,18,1,6.99
Rb Leipzig,Timo Werner,75,7,16,25,13,6.98
Bayern Munchen,Sebastian Rudy,90,4,49,6,1,6.98
Hannover 96,Felipe,77,0,8,2,0,6.98
Bayer 04 Leverkusen,Wendell,83,3,54,21,2,6.98
Augsburg,Raphael Framberger,69,0,22,6,0,6.98
