Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Psv Eindhoven,Andrés Guardado,8,25,34,2,2,7.73
Ajax,Hakim Ziyech,8,114,56,3,9,7.59
Ajax,Joël Veltman,0,8,31,0,0,7.54
Feyenoord,Nicolai Jørgensen,23,91,28,16,21,7.53
Feyenoord,Eric Botteghin,13,32,9,2,4,7.52
Ajax,Nemanja Gudelj,13,16,8,0,2,7.52
Heracles Almelo,Renze Fij,0,0,0,0,0,7.50
Ajax,Lasse Schöne,19,36,26,2,7,7.50
Heerenveen,Sam Larsson,14,64,92,3,9,7.48
Feyenoord,Steven Berghuis,14,49,36,2,7,7.39
Ajax,Heiko Westermann,0,1,0,0,0,7.37
Ajax,Kasper Dolberg,24,67,51,6,16,7.36
Feyenoord,Jan-Arie van der Heijden,33,6,28,0,2,7.35
Fc Twente,Mateusz Klich,23,26,27,0,6,7.35
Psv Eindhoven,Luuk de Jong,8,102,8,17,8,7.33
Psv Eindhoven,Héctor Moreno,24,29,7,3,7,7.33
Ajax,Davy Klaassen,31,45,13,4,14,7.33
Az Alkmaar,Alireza Jahanbakhsh,18,55,59,2,10,7.32
Feyenoord,Eljero Elia,23,40,57,5,9,7.31
Ajax,Frenkie de Jong,20,5,5,1,1,7.30
Feyenoord,Jens Toornstra,25,55,22,5,14,7.30
Psv Eindhoven,Davy Pröpper,10,58,19,1,6,7.29
Psv Eindhoven,Santiago Arias,5,19,23,2,1,7.28
Psv Eindhoven,Sam Lammers,22,9,0,0,2,7.27
Ajax,Bertrand Traoré,13,68,72,10,9,7.25
Ajax,Davinson Sánchez,21,29,13,4,6,7.25
Fc Utrecht,Sébastien Haller,18,74,37,13,13,7.25
Fc Utrecht,Yassin Ayoub,10,41,63,3,4,7.24
Psv Eindhoven,Marco van Ginkel,26,27,12,4,7,7.23
Ajax,Nick Viergever,12,17,13,4,2,7.22
Heerenveen,Joost van Aken,20,5,6,0,1,7.22
Az Alkmaar,Stijn Wuytens,6,18,8,1,1,7.22
Vitesse,Ricky van Wolfswinkel,29,69,6,8,20,7.22
Willem Ii Tilburg,Kostas Lamprou,0,0,0,0,0,7.21
Feyenoord,Tonny Vilhena,10,41,31,1,4,7.21
Vitesse,Guram Kashia,4,24,20,1,1,7.21
Heerenveen,Stijn Schaars,8,13,7,0,1,7.21
Feyenoord,Karim El Ahmadi,23,22,19,0,5,7.19
Ajax,Amin Younes,7,44,99,7,3,7.17
Roda Jc Kerkrade,Christian Kum,25,12,17,0,3,7.17
Psv Eindhoven,Gastón Pereiro,14,69,41,6,10,7.16
Nec Nijmegen,Dario Đumić,14,28,13,2,4,7.16
Ajax,Matthijs De Ligt,22,9,1,1,2,7.15
Fc Twente,Kamohelo Mokotjo,10,10,33,0,1,7.15
Groningen,Mimoun Mahi,22,79,36,10,17,7.14
Ajax,David Neres,18,17,22,5,3,7.14
Psv Eindhoven,Nicolas Isimat-Mirin,25,8,4,1,2,7.14
Feyenoord,Terence Kongolo,20,5,10,0,1,7.13
Ajax,Justin Kluivert,13,15,39,0,2,7.13
Vitesse,Lewis Baker,15,68,16,0,10,7.12
Pec Zwolle,Danny Holla,9,35,4,2,3,7.12
Feyenoord,Dirk Kuyt,18,65,9,3,12,7.12
Fc Twente,Enes Ünal,24,75,43,13,18,7.12
Fc Utrecht,Willem Janssen,14,14,6,0,2,7.11
Feyenoord,Miquel Nelom,0,2,8,0,0,7.11
Heracles Almelo,Kristoffer Peterson,20,25,41,0,5,7.11
Fc Twente,Joachim Andersen,14,14,7,2,2,7.10
Psv Eindhoven,Oleksandr Zinchenko,0,11,9,2,0,7.10
Feyenoord,Marko Vejinović,0,1,1,0,0,7.10
Psv Eindhoven,Remko Pasveer,0,0,0,0,0,7.10
Willem Ii Tilburg,Jordens Peters,0,8,3,0,0,7.10
Fc Twente,Stefan Thesker,0,6,4,0,0,7.10
Groningen,Kasper Larsen,0,10,3,3,0,7.10
Psv Eindhoven,Jorrit Hendrix,7,15,16,0,1,7.08
Groningen,Sergio Padt,0,1,2,0,0,7.08
Ajax,Jaïro Riedewald,0,2,13,0,0,7.08
Feyenoord,Rick Karsdorp,7,14,25,0,1,7.08
Psv Eindhoven,Jetro Willems,22,9,19,0,2,7.08
Heerenveen,Jeremiah St. Juste,50,4,14,0,2,7.08
Az Alkmaar,Ridgeciano Haps,0,21,55,2,0,7.08
Vitesse,Matthew Miazga,0,7,5,0,0,7.07
Az Alkmaar,Derrick Luckassen,8,38,20,2,3,7.06
Willem Ii Tilburg,Obbi Oulare,19,16,10,2,3,7.06
Fc Utrecht,Sofyan Amrabat,0,39,51,0,0,7.06
Fc Utrecht,Robin Van der Meer,0,4,17,0,0,7.06
Fc Utrecht,Kevin Conboy,8,12,3,0,1,7.06
Heerenveen,Reza Ghoochannejhad,29,65,12,10,19,7.06
Roda Jc Kerkrade,Benjamin van Leer,0,0,0,0,0,7.06
Heracles Almelo,Samuel Armenteros,34,56,48,10,19,7.06
Fc Twente,Hidde ter Avest,8,13,16,1,1,7.05
Az Alkmaar,Ron Vlaar,0,10,8,1,0,7.05
Fc Utrecht,Rico Strieder,25,4,7,0,1,7.05
Az Alkmaar,Fernando Lewis,0,0,0,0,0,7.05
Ajax,Daley Sinkgraven,14,7,32,1,1,7.05
Psv Eindhoven,Jürgen Locadia,13,23,10,1,3,7.04
Vitesse,Maikel Van der Werff,0,7,4,1,0,7.04
Fc Twente,Jeroen van der Lely,0,1,6,0,0,7.04
Heracles Almelo,Justin Hoogma,0,8,10,0,0,7.04
Heracles Almelo,Brahim Darri,5,41,63,1,2,7.04
Heracles Almelo,Mike te Wierik,14,7,5,0,1,7.04
Heerenveen,Doke Schmidt,33,3,3,1,1,7.04
Willem Ii Tilburg,Anouar Kali,0,10,23,0,0,7.04
Vitesse,Marvelous Nakamba,7,14,27,0,1,7.04
Roda Jc Kerkrade,Adil Auassar,7,27,13,0,2,7.03
Groningen,Samir Memisevic,0,7,29,0,0,7.03
Excelsior,Ryan Koolwijk,11,19,17,2,2,7.03
Heracles Almelo,Thomas Bruns,10,42,14,2,4,7.03
Pec Zwolle,Django Warmerdam,20,20,51,0,4,7.03
Willem Ii Tilburg,Darryl Lachman,14,7,24,0,1,7.03
Heracles Almelo,Brandley Kuwas,15,39,61,3,6,7.02
Go Ahead Eagles,Dan Crowley,67,3,44,0,2,7.02
Sparta Rotterdam,Loris Brogno,30,23,19,2,7,7.02
Az Alkmaar,Iliass Bel Hassani,5,44,44,0,2,7.01
Excelsior,Luigi Bruins,11,19,23,2,2,7.00
Groningen,Ruben Jenssen,20,10,17,2,2,7.00
Excelsior,Hicham Faik,21,19,14,2,4,7.00
Ajax,André Onana,0,0,5,0,0,7.00
Vitesse,Arnold Kruiswijk,100,1,14,0,1,7.00
Az Alkmaar,Rens Van Eijden,0,5,8,0,0,7.00
Fc Utrecht,Mark van der Maarel,25,4,4,1,1,7.00
Fc Twente,Bersant Celina,11,45,51,5,5,6.99
Go Ahead Eagles,Sander Fischer,6,17,7,0,1,6.99
Fc Utrecht,Sean Klaiber,0,5,15,0,0,6.99
Excelsior,Jordy de Wijs,0,2,4,0,0,6.99
Fc Utrecht,David Jensen,0,0,0,0,0,6.99
Heracles Almelo,Robin Gosens,9,22,5,0,2,6.98
Heracles Almelo,Joey Pelupessy,6,16,7,0,1,6.98
Roda Jc Kerkrade,Marcos Gullon,0,6,4,0,0,6.98
Pec Zwolle,Bram Van Polen,18,11,9,1,2,6.97
Fc Utrecht,Nacer Barazite,19,32,22,3,6,6.97
Sparta Rotterdam,Finn Stokkers,0,1,0,0,0,6.97
Psv Eindhoven,Joshua Brenet,13,8,28,3,1,6.97
Psv Eindhoven,Bart Ramselaar,24,25,36,4,6,6.96
Fc Twente,Peet Bijen,0,8,19,1,0,6.96
Az Alkmaar,Mats Seuntjens,0,11,49,1,0,6.96
Ado Den Haag,Tom Beugelsdijk,25,12,9,0,3,6.96
Groningen,Tom Hiariej,0,6,13,1,0,6.96
Feyenoord,Brad Jones,0,0,0,0,0,6.96
Groningen,Oussama Idrissi,19,26,28,1,5,6.96
Groningen,Etienne Reijnen,0,4,1,1,0,6.95
Vitesse,Eloy Room,0,0,0,0,0,6.95
Sparta Rotterdam,Ryan Sanusi,4,23,13,0,1,6.95
Groningen,Hans Hateboer,11,9,5,1,1,6.95
Ajax,Anwar El Ghazi,0,17,27,2,0,6.95
Vitesse,Milot Rashica,5,39,61,4,2,6.94
Pec Zwolle,Ted Van de Pavert,18,11,0,0,2,6.94
Ajax,Kenny Tete,0,1,3,0,0,6.94
Ado Den Haag,Aaron Meijers,0,8,11,0,0,6.94
Feyenoord,Bart Nieuwkoop,0,8,5,2,0,6.94
Psv Eindhoven,Daniel Schwaab,0,8,11,0,0,6.93
Excelsior,Milan Massop,100,1,5,0,1,6.93
Groningen,Bryan Linssen,22,46,10,4,10,6.93
Az Alkmaar,Wout Weghorst,28,46,12,14,13,6.93
Heerenveen,Stefano Marzo,8,12,11,3,1,6.93
Heracles Almelo,Lerin Duarte,6,18,40,0,1,6.93
Go Ahead Eagles,Marcel Ritzmaier,5,40,7,1,2,6.93
Nec Nijmegen,Mohamed Rayhi,4,51,27,2,2,6.92
Go Ahead Eagles,Sander Duits,17,18,12,1,3,6.92
Fc Utrecht,Zakaria Labyad,17,18,7,0,3,6.92
Roda Jc Kerkrade,Mohamed El Makrini,14,7,4,0,1,6.92
Fc Utrecht,Ramon Leeuwin,0,11,1,1,0,6.92
Az Alkmaar,Muamer Tanković,15,13,13,1,2,6.92
Groningen,Simon Tibbling,5,22,42,1,1,6.91
Heerenveen,Lucas Bijker,0,8,19,1,0,6.91
Pec Zwolle,Nicolai Brock-Madsen,21,34,13,4,7,6.91
Sparta Rotterdam,Martin Pusic,23,26,4,3,6,6.91
Heerenveen,Arbër Zeneli,10,62,77,7,6,6.91
Roda Jc Kerkrade,Daryl Werker,6,17,2,1,1,6.90
Az Alkmaar,Guus Til,50,4,2,0,2,6.90
Feyenoord,Pär Hansson,0,0,0,0,0,6.90
Vitesse,Kosuke Ota,0,0,2,0,0,6.90
Heerenveen,Martin Ødegaard,0,12,14,0,0,6.90
Roda Jc Kerkrade,Dani Schahin,9,23,9,2,2,6.90
Willem Ii Tilburg,Katuku Derrick Tshimanga,0,3,19,0,0,6.90
Vitesse,Nathan,15,26,26,1,4,6.90
Groningen,Yoell Van Nieff,0,12,13,1,0,6.90
Roda Jc Kerkrade,Frederic Ananou,0,2,10,0,0,6.89
Psv Eindhoven,Luciano Narsingh,5,22,24,7,1,6.89
Heracles Almelo,Reuven Niemeijer,19,16,2,3,3,6.89
Sparta Rotterdam,Michel Breuer,9,11,3,0,1,6.89
Heerenveen,Yuki Kobayashi,6,17,20,1,1,6.89
Ado Den Haag,Ernestas Šetkus,0,0,1,0,0,6.89
Heerenveen,Henk Veerman,29,17,4,0,5,6.89
Heracles Almelo,Robin Propper,0,6,3,0,0,6.88
Willem Ii Tilburg,Dico Koppers,33,6,14,0,2,6.88
Nec Nijmegen,Joris Delle,0,0,2,0,0,6.88
Willem Ii Tilburg,Funso Ojo,0,16,17,0,0,6.88
Willem Ii Tilburg,Thom Haye,7,43,21,2,3,6.88
Fc Twente,Oussama Assaidi,13,8,9,0,1,6.88
Ado Den Haag,Edouard Duplan,8,26,38,1,2,6.88
Ajax,Donny van de Beek,0,14,5,3,0,6.88
Ado Den Haag,Dion Malone,43,7,12,0,3,6.88
Feyenoord,Bilal Başaçıkoğlu,0,17,26,4,0,6.88
Feyenoord,Lucas Woudenberg,0,1,0,0,0,6.87
Groningen,Danny Hoesen,40,10,1,1,4,6.87
Ado Den Haag,Mike Havenaar,19,47,4,11,9,6.87
Fc Utrecht,Robbin Ruiter,0,0,0,0,0,6.87
Fc Utrecht,Giovanni Troupee,27,11,0,1,3,6.87
Ado Den Haag,Gervane Kastaneer,18,22,19,2,4,6.86
Pec Zwolle,Mustafa Saymak,7,30,13,0,2,6.86
Sparta Rotterdam,Roy Kortsmit,0,0,0,0,0,6.86
Nec Nijmegen,Quincy Owusu-Abeyie,0,7,16,0,0,6.86
Ado Den Haag,Danny Bakker,11,9,2,1,1,6.86
Groningen,Tom Van Weert,14,36,2,5,5,6.86
Sparta Rotterdam,Kenneth Dougall,10,10,12,0,1,6.86
Groningen,Desevio Payne,50,2,1,0,1,6.86
Willem Ii Tilburg,Branco Van den Boomen,0,4,0,0,0,6.86
Nec Nijmegen,Jay-Roy Grot,21,24,22,3,5,6.86
Pec Zwolle,Calvin Verdonk,0,4,0,0,0,6.85
Pec Zwolle,Queensy Menig,15,62,45,7,9,6.85
Az Alkmaar,Robert Muhren,35,17,0,3,6,6.85
Go Ahead Eagles,Sinan Bytyqi,0,3,5,0,0,6.85
Groningen,Martijn Van der Laan,0,0,1,0,0,6.85
Heerenveen,Younes Namli,0,9,18,0,0,6.85
Az Alkmaar,Dabney dos Santos,14,28,19,6,4,6.84
Go Ahead Eagles,Pedro Chirivella,29,7,12,1,2,6.84
Fc Twente,Nick Marsman,0,0,0,0,0,6.84
Feyenoord,Michiel Kramer,27,15,0,2,4,6.84
Vitesse,Sheran Yeini,0,2,3,0,0,6.84
Heracles Almelo,Bram Castro,0,0,0,0,0,6.84
Vitesse,Kevin Diks,0,4,4,1,0,6.84
Nec Nijmegen,Wojciech Golla,0,12,1,2,0,6.84
Heracles Almelo,Tim Breukers,0,8,6,0,0,6.84
Az Alkmaar,Markus Henriksen,67,3,1,0,2,6.83
Heracles Almelo,Paul Gladon,29,7,0,3,2,6.83
Ado Den Haag,Robert Zwinkels,0,0,0,0,0,6.83
Groningen,Alexander Sørloth,12,26,24,5,3,6.83
Psv Eindhoven,Steven Bergwijn,6,33,27,8,2,6.83
Roda Jc Kerkrade,Tom van Hyfte,9,22,7,1,2,6.83
Roda Jc Kerkrade,Farshad Noor,0,9,10,0,0,6.83
Groningen,Jason Davidson,0,8,8,0,0,6.83
Ajax,Abdelhak Nouri,0,7,6,1,0,6.83
Roda Jc Kerkrade,Beni Badibanga,0,7,10,0,0,6.82
Willem Ii Tilburg,Erik Falkenburg,8,61,10,3,5,6.82
Psv Eindhoven,Siem de Jong,27,22,10,2,6,6.82
Roda Jc Kerkrade,Ard Van Peppen,0,5,8,0,0,6.82
Roda Jc Kerkrade,Daniel De Silva,0,10,4,0,0,6.81
Nec Nijmegen,Julian von Haacke,13,16,25,1,2,6.81
Psv Eindhoven,Jeroen Zoet,0,0,8,0,0,6.81
Excelsior,Jurgen Matheij,17,18,3,1,3,6.81
Roda Jc Kerkrade,Martin Milec,0,12,9,0,0,6.81
Sparta Rotterdam,Craig Goodwin,22,18,16,0,4,6.81
Fc Utrecht,Wout Brama,20,5,4,0,1,6.81
Heerenveen,Morten Thorsby,0,6,13,0,0,6.81
Sparta Rotterdam,Jerson Cabral,0,15,11,1,0,6.81
Excelsior,Fredy,9,22,35,3,2,6.81
Sparta Rotterdam,David Mendes,0,1,4,0,0,6.80
Feyenoord,Mohammed El Hankouri,0,2,0,0,0,6.80
Ajax,Deyovaisio Zeefuik,0,1,1,0,0,6.80
Vitesse,Navarone Foor,25,24,23,0,6,6.80
Vitesse,Kelvin Leerdam,7,14,7,1,1,6.80
Feyenoord,Gustavo Hamer,0,0,0,0,0,6.80
Sparta Rotterdam,Michael Verrips,0,0,0,0,0,6.80
Willem Ii Tilburg,Guus Joppen,0,2,2,0,0,6.80
Go Ahead Eagles,Xandro Schenk,0,8,5,0,0,6.80
Excelsior,Tom Muyters,0,0,1,0,0,6.79
Ajax,Mateo Cassierra,11,19,4,1,2,6.79
Go Ahead Eagles,Theo Zwarthoed,0,0,0,0,0,6.79
Excelsior,Jeffrey Fortes,17,6,6,0,1,6.79
Excelsior,Stanley Elbers,21,39,10,1,8,6.79
Willem Ii Tilburg,Jordy Croux,6,18,18,1,1,6.79
Ado Den Haag,Wilfried Kanon,17,6,13,2,1,6.79
Az Alkmaar,Ben Rienstra,0,16,7,3,0,6.79
Pec Zwolle,Dirk Marcellis,0,5,9,0,0,6.79
Az Alkmaar,Fred Friday,26,19,13,3,5,6.79
Excelsior,Khalid Karami,11,19,39,0,2,6.78
Groningen,Albert Rusnák,6,16,8,1,1,6.78
Excelsior,Nigel Hasselbaink,31,32,29,7,10,6.78
Sparta Rotterdam,Thomas Verhaar,17,30,17,1,5,6.78
Roda Jc Kerkrade,Nathan Rutjes,0,1,6,0,0,6.78
Roda Jc Kerkrade,Abdul Ajagun,11,44,14,5,5,6.78
Vitesse,Adnane Tighadouini,8,36,45,0,3,6.78
Az Alkmaar,Mattias Johansson,0,10,14,0,0,6.77
Sparta Rotterdam,Mathias Pogba,44,9,1,0,4,6.77
Sparta Rotterdam,Mart Dijkstra,0,21,9,0,0,6.77
Go Ahead Eagles,Darren Maatsen,22,18,53,0,4,6.77
Heerenveen,Erwin Mulder,0,0,1,0,0,6.77
Ado Den Haag,Sheraldo Becker,12,26,15,2,3,6.77
Willem Ii Tilburg,Jari Schuurman,30,10,0,3,3,6.77
Fc Twente,Yaw Yeboah,6,33,32,1,2,6.77
Pec Zwolle,Kingsley Ehizibue,10,21,27,5,2,6.77
Excelsior,Henrico Drost,0,2,1,1,0,6.77
Pec Zwolle,Gustavo,0,2,1,0,0,6.77
Go Ahead Eagles,Jarchinio Antonia,24,21,23,1,5,6.77
Az Alkmaar,Sergio Rochet,0,0,1,0,0,6.77
Go Ahead Eagles,Joey Suk,0,9,2,1,0,6.76
Roda Jc Kerkrade,David Boysen,33,3,3,0,1,6.76
