Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Arsenal,David Ospina,3,8,0,2,17,7.23
Stoke City,Jack Butland,36,68,0,10,103,7.02
Arsenal,Petr Čech,33,53,0,16,101,7.01
Sunderland,Vito Mannone,18,42,0,4,74,6.99
Watford,Heurelho Gomes,24,67,3,11,121,6.98
Newcastle United,Karl Darlow,8,17,1,3,23,6.96
West Ham United,Adrián,31,63,2,9,99,6.90
Leicester City,Kasper Schmeichel,46,61,0,15,99,6.90
Tottenham,Hugo Lloris,40,48,0,13,88,6.90
Manchester United,David De Gea,18,57,0,15,83,6.85
Sunderland,Jordan Pickford,2,3,0,0,11,6.85
Everton,Tim Howard,14,45,0,7,82,6.84
Manchester City,Joe Hart,26,42,0,15,71,6.84
Southampton,Fraser Forster,3,35,0,6,51,6.83
Chelsea,Asmir Begović,6,39,0,4,55,6.82
West Bromwich Albion,Ben Foster,9,25,0,4,44,6.82
Swansea City,Łukasz Fabiański,20,61,0,9,115,6.81
Manchester City,Willy Caballero,0,11,0,1,15,6.80
Swansea City,Kristoffer Nordfeldt,0,4,0,0,4,6.80
Southampton,Kelvin Davis,0,3,0,0,5,6.80
Everton,Joel Robles,8,25,0,3,46,6.79
Newcastle United,Tim Krul,4,18,0,1,33,6.79
Manchester United,Sergio Romero,3,4,0,3,7,6.75
Southampton,Paulo Gazzaniga,2,5,0,0,7,6.75
Chelsea,Thibaut Courtois,14,36,1,5,66,6.74
Newcastle United,Robert Elliot,10,36,0,4,59,6.73
Watford,Costel Pantilimon,22,32,0,3,72,6.72
West Bromwich Albion,Boaz Myhill,12,29,0,7,65,6.71
Crystal Palace,Julián Speroni,1,7,0,0,10,6.70
Liverpool,Simon Mignolet,32,40,1,11,70,6.70
Southampton,Maarten Stekelenburg,7,17,0,6,31,6.69
Crystal Palace,Wayne Hennessey,17,42,0,8,80,6.67
Crystal Palace,Alex McCarthy,2,19,0,0,32,6.67
Aston Villa,Brad Guzan,18,54,0,2,89,6.65
Norwich City,Declan Rudd,5,24,0,2,34,6.61
Tottenham,Michel Vorm,0,1,0,0,1,6.60
Aston Villa,Mark Bunn,4,13,1,4,27,6.59
Norwich City,John Ruddy,22,40,0,3,69,6.59
Bournemouth,Artur Boruc,24,53,2,7,76,6.58
Stoke City,Shay Given,2,7,0,0,7,6.53
West Ham United,Darren Randolph,4,7,0,2,12,6.47
Bournemouth,Ryan Allsop,0,0,0,0,0,6.30
Stoke City,Jakob Haugaard,5,4,0,0,11,6.28
Bournemouth,Adam Federici,2,9,0,0,13,6.23
Watford,Giedrius Arlauskis,1,0,0,0,0,6.20
Liverpool,Ádám Bogdán,1,2,0,0,2,6.10
