Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Augsburg,Andreas Luthe,0,5,0,1,12,7.75
1 Fc Koln,Sven Müller,0,2,0,1,4,7.50
Bayern Munchen,Tom Starke,1,9,1,1,12,7.33
Rb Leipzig,Fabio Coltorti,1,0,0,1,1,7.10
1899 Hoffenheim,Oliver Baumann,15,72,1,12,115,7.04
1 Fc Koln,Timo Horn,8,40,0,6,67,6.93
Darmstadt 98,Daniel Fernandes,4,22,0,0,29,6.90
Fc Schalke 04,Ralf Fährmann,20,52,4,8,80,6.89
Borussia Dortmund,Roman Bürki,8,48,0,9,71,6.88
1 Fc Koln,Thomas Kessler,1,24,0,3,45,6.86
Bayern Munchen,Manuel Neuer,7,24,0,14,51,6.85
Hertha Bsc,Rune Jarstein,10,69,1,11,100,6.82
Hamburger Sv,Christian Mathenia,8,26,0,3,39,6.80
1 Fsv Mainz 05,Jannik Huth,6,10,0,2,18,6.80
Borussia Mgladbach,Yann Sommer,3,61,1,10,104,6.78
Wolfsburg,Koen Casteels,7,33,0,8,64,6.77
Werder Bremen,Felix Wiedwald,8,60,2,5,96,6.75
Bayer 04 Leverkusen,Bernd Leno,13,78,0,6,104,6.74
Darmstadt 98,Michael Esser,6,62,2,3,97,6.74
Freiburg,Alexander Schwolow,8,65,2,6,103,6.74
Wolfsburg,Diego Benaglio,3,26,1,3,47,6.71
Hamburger Sv,Tom Mickel,2,1,0,0,6,6.70
Augsburg,Marwin Hitz,2,63,0,7,110,6.69
Rb Leipzig,Péter Gulácsi,15,41,2,9,58,6.68
1 Fsv Mainz 05,Jonas Lössl,10,41,1,5,87,6.68
Eintracht Frankfurt,Lukáš Hrádecký,14,45,0,10,74,6.65
Bayern Munchen,Sven Ulreich,1,7,0,2,11,6.62
Ingolstadt,Martin Hansen,12,36,1,3,59,6.61
Ingolstadt,Ørjan Nyland,5,17,0,0,40,6.58
Hamburger Sv,René Adler,9,35,1,5,47,6.56
Eintracht Frankfurt,Heinz Lindner,0,6,0,1,7,6.55
Werder Bremen,Jaroslav Drobný,3,19,0,1,31,6.47
Borussia Dortmund,Roman Weidenfeller,1,8,0,0,16,6.37
