Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Lille Osc,José Fonte,8,87,1934,1,0,6.96
Stade Rennais,Clément Grenier,56,82,1390,5,7,6.96
Olympique De Marseille,Hiroki Sakai,26,82,951,4,4,6.96
Stade De Reims,Björn Engels,11,84,1099,1,2,6.95
Lille Osc,Mike Maignan,1,57,528,0,0,6.95
Saint Etienne,Yann M'Vila,25,86,1972,1,1,6.95
Olympique Lyonnais,Maxwel Cornet,24,77,320,5,6,6.95
Saint Etienne,Youssef Aït Bennasser,19,87,1194,2,2,6.95
Lille Osc,Adama Soumaoro,3,94,873,1,1,6.95
Paris Saint Germain,Alphonse Aréola,0,83,346,0,0,6.95
Strasbourg,Anthony Gonçalves,14,76,302,2,2,6.95
Bordeaux,Benoît Costil,2,67,690,0,0,6.95
Fc Nantes,Nicolas Pallois,5,77,805,0,0,6.95
Angers,Vincent Manceau,18,82,1033,1,1,6.95
Olympique Lyonnais,Jérémy Morel,3,89,627,0,0,6.94
Paris Saint Germain,Gianluigi Buffon,0,90,297,0,0,6.94
Montpellier,Gaëtan Laborde,38,67,596,4,9,6.94
Strasbourg,Ismaël Aaneba,2,64,54,0,1,6.93
Olympique De Marseille,Valère Germain,20,78,454,2,6,6.93
Olympique Lyonnais,Jason Denayer,6,94,1862,0,0,6.93
Nimes Olympique,Renaud Ripart,30,73,722,4,6,6.93
Olympique De Marseille,Maxime López,49,91,2026,3,4,6.93
As Monaco,Stevan Jovetić,7,68,83,0,1,6.93
Saint Etienne,William Saliba,1,86,552,0,0,6.93
Ogc Nice,Pierre Lees Melou,30,86,1206,1,2,6.92
Saint Etienne,Robert Berić,8,69,135,1,2,6.92
Angers,Ludovic Butelle,1,57,462,0,0,6.92
Olympique Lyonnais,Martin Terrier,30,84,432,0,3,6.92
Lille Osc,Jonathan Bamba,43,80,911,3,11,6.91
Montpellier,Benjamin Lecomte,1,64,704,0,0,6.91
Nimes Olympique,Rachid Alioui,20,72,258,0,1,6.91
Amiens,Saman Ghoddos,36,73,354,4,2,6.91
Stade Rennais,Edson Mexer,4,89,1127,0,0,6.91
Guingamp,Félix Eboa Eboa,5,77,736,0,0,6.90
Caen,Brice Samba,0,58,614,0,0,6.90
Lille Osc,Rafael Leão,14,73,175,3,2,6.90
Bordeaux,Samuel Kalu,29,72,332,2,6,6.90
As Monaco,Almamy Touré,2,86,197,0,0,6.90
Montpellier,Giovanni Sio,2,76,16,0,0,6.90
Fc Nantes,Thomas Basila,0,85,22,0,0,6.90
Fc Nantes,Gabriel Boschilia,26,81,390,4,1,6.90
Bordeaux,François Kamano,34,81,720,1,3,6.89
Olympique De Marseille,Boubacar Kamara,7,86,1196,0,1,6.89
Olympique De Marseille,Mario Balotelli,17,69,316,1,4,6.89
Dijon,Júlio Tavares,27,59,416,4,4,6.89
Montpellier,Souleymane Camara,2,75,39,0,0,6.89
Stade Rennais,Ismaila Sarr,39,76,530,6,11,6.89
Stade De Reims,Mathieu Cafaro,37,69,417,3,2,6.89
Olympique De Marseille,Adil Rami,6,83,703,1,2,6.89
Caen,Paul Baysse,5,80,679,0,1,6.89
As Monaco,Cesc Fàbregas,18,85,609,0,0,6.88
Stade Rennais,Benjamin André,21,79,1172,1,0,6.88
Stade De Reims,Baba Rahman,4,80,362,1,1,6.88
Amiens,Moussa Konaté,11,68,257,2,4,6.88
Strasbourg,Dimitri Liénard,15,84,598,2,1,6.88
Strasbourg,Adrien Thomasson,42,78,868,8,6,6.88
