Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Bayern Munchen,James Rodríguez,1,0,3,12,35,7.80
Borussia Dortmund,Marco Reus,3,0,8,4,16,7.43
1 Fsv Mainz 05,Alexander Hack,18,0,83,26,46,7.40
Eintracht Frankfurt,Alexander Meier,0,0,0,0,0,7.40
Bayern Munchen,Robert Lewandowski,0,0,9,5,5,7.38
Fc Schalke 04,Naldo,21,1,193,55,51,7.38
Bayern Munchen,Joshua Kimmich,5,0,32,21,32,7.38
Bayern Munchen,Arturo Vidal,1,0,14,28,69,7.37
Bayern Munchen,Thiago Alcántara,3,1,6,27,45,7.35
Bayern Munchen,Thomas Müller,1,0,12,7,35,7.31
Bayern Munchen,Jérôme Boateng,12,1,49,21,26,7.31
Fc Schalke 04,Daniel Caligiuri,4,0,52,67,100,7.31
Augsburg,Philipp Max,8,1,60,33,65,7.29
Bayer 04 Leverkusen,Leon Bailey,0,0,5,15,16,7.29
Hertha Bsc,Thomas Kraft,0,0,1,0,0,7.27
1899 Hoffenheim,Serge Gnabry,1,1,5,8,32,7.26
Bayern Munchen,Mats Hummels,12,1,57,56,61,7.26
Bayern Munchen,Tom Starke,0,0,0,0,0,7.25
Bayern Munchen,Arjen Robben,0,0,3,4,14,7.25
Bayern Munchen,Corentin Tolisso,3,0,8,16,33,7.23
Bayer 04 Leverkusen,Lars Bender,7,0,36,28,63,7.22
Werder Bremen,Max Kruse,0,0,4,11,17,7.21
1899 Hoffenheim,Benjamin Hübner,18,0,101,51,71,7.20
Borussia Dortmund,Maximilian Philipp,0,0,4,6,24,7.20
Hannover 96,Salif Sané,29,2,232,57,57,7.19
1899 Hoffenheim,Andrej Kramarić,0,0,6,6,8,7.18
Borussia Mgladbach,Lars Stindl,4,0,27,31,52,7.16
Borussia Mgladbach,Jannik Vestergaard,39,1,160,40,58,7.16
Hannover 96,Niclas Füllkrug,3,0,29,8,16,7.16
Fc Schalke 04,Thilo Kehrer,12,1,94,35,81,7.15
Vfb Stuttgart,Benjamin Pavard,34,1,182,70,55,7.15
Rb Leipzig,Naby Keïta,3,0,17,36,65,7.14
Borussia Dortmund,Pierre-Emerick Aubameyang,1,0,1,3,5,7.14
Borussia Mgladbach,Raffael,0,0,2,8,40,7.14
1 Fc Koln,Dominic Maroh,9,1,67,22,22,7.14
Fc Schalke 04,Bastian Oczipka,2,0,31,40,60,7.14
Vfb Stuttgart,Timo Baumgartl,21,0,115,34,87,7.13
Borussia Dortmund,Łukasz Piszczek,11,0,61,42,51,7.13
Bayern Munchen,Franck Ribéry,0,0,2,7,19,7.12
Wolfsburg,Ignacio Camacho,5,0,40,41,27,7.12
Rb Leipzig,Marcel Sabitzer,2,0,19,24,38,7.12
Bayer 04 Leverkusen,Sven Bender,21,1,116,50,51,7.12
Borussia Dortmund,Marc Bartra,2,1,37,28,28,7.12
Bayern Munchen,David Alaba,6,0,19,10,23,7.11
Hannover 96,Pirmin Schwegler,9,0,46,49,81,7.11
Borussia Mgladbach,Thorgan Hazard,1,0,13,28,49,7.11
Borussia Mgladbach,Matthias Ginter,17,1,105,40,48,7.11
Eintracht Frankfurt,Jetro Willems,1,0,45,20,55,7.10
Bayern Munchen,Rafinha,6,0,22,32,39,7.10
Borussia Dortmund,Ömer Toprak,16,0,100,21,36,7.10
