Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
As Monaco,Jorge,2,76,39,0,0,8.00
Paris Saint Germain,Thiago Silva,12,94,2020,2,4,7.58
Paris Saint Germain,Marco Verratti,42,88,2166,5,11,7.57
Olympique De Marseille,Dimitri Payet,40,80,553,3,4,7.55
Saint Etienne,Loïc Perrin,6,88,1188,1,1,7.50
Olympique Lyonnais,Alexandre Lacazette,51,78,668,3,13,7.49
Saint Etienne,Anthony Maisonnial,0,43,20,0,0,7.45
Paris Saint Germain,Ángel Di María,81,76,937,7,21,7.43
Stade Rennais,Sylvain Armand,0,83,35,0,0,7.40
Olympique Lyonnais,Maxime Gonalons,22,90,1584,1,1,7.38
Olympique Lyonnais,Corentin Tolisso,46,84,1698,5,14,7.37
Toulouse,Mauro Goicoechea,0,55,31,0,0,7.35
Ogc Nice,Jean-Michaël Seri,76,90,2542,9,16,7.34
Ogc Nice,Paul Baysse,3,91,1256,1,1,7.34
Bastia,Thomas Vincensini,0,52,46,0,0,7.33
As Monaco,Gabriel Boschilia,10,76,124,2,2,7.32
Ogc Nice,Wylan Cyprien,26,89,1856,3,4,7.31
Paris Saint Germain,Lucas Moura,56,83,1025,5,11,7.31
Montpellier,Ryad Boudebouz,119,79,1437,9,15,7.30
Guingamp,Romain Salin,0,76,13,0,0,7.30
Dijon,Benjamin Leroy,0,57,16,0,0,7.30
Olympique Lyonnais,Christophe Jallet,20,82,652,2,4,7.29
As Monaco,Fabinho,35,84,1682,1,3,7.29
As Monaco,Radamel Falcao,23,79,388,5,4,7.28
Paris Saint Germain,Adrien Rabiot,14,90,1555,2,1,7.27
Olympique De Marseille,Florian Thauvin,62,78,1059,8,14,7.27
Paris Saint Germain,Edinson Cavani,26,82,425,4,2,7.26
Guingamp,Yannis Salibur,56,82,737,4,10,7.25
As Monaco,Kylian Mbappé,32,73,247,8,8,7.25
Angers,Billy Ketkeophomphone,13,84,123,0,1,7.24
Paris Saint Germain,Marquinhos,8,94,1907,0,0,7.23
Paris Saint Germain,Julian Draxler,23,84,450,1,2,7.21
As Monaco,Thomas Lemar,78,83,1043,10,13,7.21
Guingamp,Fernando Marçal,54,79,1094,7,10,7.20
Paris Saint Germain,Giovani Lo Celso,2,81,59,2,2,7.20
As Monaco,Marcel Tisserand,0,68,23,0,0,7.20
Olympique De Marseille,Bafétimbi Gomis,25,75,454,3,3,7.20
Ogc Nice,Mario Balotelli,10,72,368,1,1,7.19
Olympique De Marseille,William Vainqueur,17,92,1705,1,0,7.19
Saint Etienne,Florentin Pogba,8,78,553,1,1,7.18
Dijon,Mehdi Abeid,33,85,1120,2,6,7.18
Toulouse,Ibrahim Sangaré,1,70,76,0,0,7.18
Angers,Thomas Mangani,98,80,1612,8,16,7.17
Paris Saint Germain,Javier Pastore,23,82,623,4,7,7.17
Stade Rennais,Yoann Gourcuff,47,82,977,3,7,7.17
Toulouse,Christopher Jullien,4,76,981,1,2,7.17
Paris Saint Germain,Presnel Kimpembe,3,95,1305,0,0,7.16
As Monaco,Abdou Diallo,0,83,174,0,0,7.16
As Monaco,Kamil Glik,6,82,1251,2,4,7.15
Fc Nantes,Valentin Rongier,22,82,1180,1,1,7.14
As Monaco,Kévin N'Doram,1,90,179,1,0,7.14
Lorient,Sylvain Marveaux,52,80,764,6,9,7.14
Ogc Nice,Valentin Eysseric,36,82,932,7,8,7.14
Olympique Lyonnais,Emanuel Mammana,3,91,823,0,0,7.14
Guingamp,Christophe Kerbrat,8,82,1325,1,4,7.13
Paris Saint Germain,Thomas Meunier,24,86,891,4,6,7.13
Lille Osc,Marko Baša,3,91,906,0,0,7.13
Olympique De Marseille,Rolando,4,91,1386,0,0,7.13
As Monaco,Jemerson,3,86,1215,0,0,7.12
Paris Saint Germain,Thiago Motta,20,92,2529,0,1,7.12
Lille Osc,Renato Civelli,2,79,471,0,1,7.12
Montpellier,Vitorino Hilton,6,81,1200,0,1,7.11
Nancy,Clément Lenglet,2,75,539,0,1,7.11
Olympique Lyonnais,Mouctar Diakhaby,3,88,1021,0,0,7.11
Angers,Cheikh N'Doye,48,66,802,5,9,7.10
Paris Saint Germain,Maxwell,20,89,1045,6,9,7.10
Stade Rennais,Edson Mexer,3,82,675,1,0,7.09
Angers,Flavien Tait,6,80,166,2,3,7.09
Olympique De Marseille,Rod Fanni,3,86,1206,0,0,7.09
Caen,Ronny Rodelin,37,70,815,3,7,7.09
Nancy,Benoît Pedretti,50,78,955,2,4,7.09
Saint Etienne,Ronaël Pierre-Gabriel,7,80,289,0,1,7.09
Ogc Nice,Dante,6,94,2032,3,2,7.08
Caen,Julien Féret,68,79,1426,3,4,7.08
Angers,Karl Toko Ekambi,40,77,614,4,3,7.08
Olympique Lyonnais,Lucas Tousart,6,86,787,1,1,7.08
Saint Etienne,Jordan Veretout,54,82,1400,4,4,7.07
Montpellier,Steve Mounié,24,65,570,3,5,7.07
Stade Rennais,Joris Gnagnon,3,88,802,0,1,7.07
Paris Saint Germain,David Luiz,1,93,120,0,0,7.07
Bordeaux,Nicolas Pallois,7,79,1106,1,1,7.06
Bordeaux,Jérémy Toulalan,12,81,1369,0,1,7.06
Paris Saint Germain,Layvin Kurzawa,16,89,789,2,5,7.06
Ogc Nice,Ricardo Pereira,29,87,932,4,4,7.06
Lille Osc,Adama Soumaoro,4,92,1107,0,0,7.06
Olympique De Marseille,Grégory Sertic,10,84,1110,0,1,7.05
Dijon,Jordan Lotiès,3,81,739,0,0,7.05
As Monaco,Tiemoué Bakayoko,14,87,1193,1,1,7.05
Guingamp,Jimmy Briand,32,74,704,5,8,7.04
Ogc Nice,Malang Sarr,6,90,1515,1,2,7.04
As Monaco,João Moutinho,30,85,1106,4,4,7.04
Olympique Lyonnais,Mathieu Valbuena,50,88,773,5,9,7.03
Montpellier,Stéphane Sessègnon,35,86,1144,2,4,7.03
Olympique De Marseille,Maxime López,49,87,1590,7,9,7.03
Nancy,Vincent Muratori,9,68,343,0,0,7.03
Paris Saint Germain,Kevin Trapp,0,89,537,0,0,7.03
Lorient,Michael Ciani,2,84,950,0,0,7.03
Nancy,Tobias Badila,8,72,600,0,1,7.03
Bordeaux,Igor Lewczuk,2,85,745,0,1,7.02
Caen,Damien Da Silva,6,78,1177,1,3,7.02
Bordeaux,Younousse Sankharé,36,84,1389,4,3,7.02
Olympique Lyonnais,Nabil Fekir,64,85,786,4,8,7.02
