Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Palermo,Josip Posavec,47,0,0,0,0,7.90
Hellas Verona,Federico Viviani,81,6,57,10,3,7.75
Napoli,Gonzalo Higuaín,78,2,16,48,36,7.69
Juventus,Paulo Dybala,85,9,15,92,19,7.58
Juventus,Paul Pogba,83,12,76,102,8,7.55
Napoli,Lorenzo Insigne,80,10,21,45,12,7.52
Roma,Miralem Pjanić,85,12,47,26,10,7.47
Napoli,Marek Hamšík,87,11,57,38,6,7.46
Lazio,Lucas Biglia,88,3,80,26,4,7.42
Juventus,Kingsley Coman,91,0,0,0,0,7.40
Juventus,Claudio Marchisio,89,2,48,20,0,7.39
Empoli,Alberto Pelagotti,67,0,0,0,0,7.38
Juventus,Juan Cuadrado,86,5,36,71,4,7.37
Fiorentina,Josip Iličić,82,5,19,39,13,7.37
Palermo,Franco Vázquez,77,7,82,126,8,7.36
Lazio,Stefan de Vrij,90,0,8,1,0,7.35
Sampdoria,Fernando,86,2,86,21,4,7.35
Roma,Diego Perotti,84,9,47,102,4,7.34
Milan,Giacomo Bonaventura,82,8,28,76,6,7.34
Atalanta,Alejandro Gómez,79,7,39,84,7,7.33
Sassuolo,Francesco Acerbi,87,0,50,19,4,7.31
Hellas Verona,Samir,77,0,8,0,1,7.30
Chievoverona,Andrea Seculin,52,0,0,0,0,7.30
Milan,Christian Abbiati,48,0,0,0,0,7.30
Palermo,Thiago Cionek,84,1,6,3,0,7.26
Juventus,Mario Lemina,90,0,23,22,2,7.26
Juventus,Leonardo Bonucci,87,1,39,17,3,7.26
Empoli,Leandro Paredes,84,1,84,31,2,7.25
Sassuolo,Domenico Berardi,71,6,43,31,7,7.24
Roma,Stephan El Shaarawy,81,2,19,17,8,7.24
Roma,Daniele De Rossi,89,2,25,3,1,7.24
Milan,Riccardo Montolivo,82,1,59,18,0,7.24
Juventus,Alex Sandro,84,3,40,39,2,7.24
Fiorentina,Matías Vecino,88,1,74,33,2,7.22
Fiorentina,Milan Badelj,87,1,53,33,1,7.21
Milan,Luca Antonelli,79,1,79,20,3,7.21
Napoli,Jorginho,91,4,70,13,0,7.20
Frosinone,Francesco Bardi,35,0,0,0,0,7.20
Milan,Ignazio Abate,78,1,76,25,1,7.20
Genoa,Cristian Ansaldi,73,4,73,46,0,7.19
Torino,Bruno Peres,82,4,53,96,3,7.18
Milan,Philippe Mexès,85,0,9,0,1,7.18
Roma,Alessandro Florenzi,79,3,51,17,7,7.18
Fiorentina,Borja Valero,89,6,51,45,4,7.18
Juventus,Giorgio Chiellini,87,0,35,11,1,7.18
Sassuolo,Francesco Magnanelli,82,1,94,15,1,7.17
Empoli,Andrea Costa,87,0,16,8,1,7.16
Milan,Alex,88,1,46,2,3,7.16
Juventus,Andrea Barzagli,89,0,28,10,1,7.16
Empoli,Piotr Zieliński,82,4,69,89,5,7.16
Torino,Andrea Belotti,77,4,48,26,12,7.15
Inter,Marcelo Brozović,82,5,56,49,4,7.14
Fiorentina,Davide Astori,89,0,47,17,0,7.14
Lazio,Milan Biševac,86,0,11,4,1,7.13
Napoli,Kalidou Koulibaly,86,0,82,15,0,7.13
Roma,Francesco Totti,77,3,3,4,5,7.12
Roma,Gervinho,86,1,7,35,6,7.12
Roma,Radja Nainggolan,85,1,64,27,6,7.12
Juventus,Hernanes,91,1,15,20,1,7.12
Genoa,Suso,80,1,9,27,6,7.12
Atalanta,Luca Cigarini,80,2,52,13,2,7.12
Udinese,Cyril Théréau,78,3,27,51,11,7.11
Inter,Mauro Icardi,73,4,4,10,16,7.10
Napoli,Raúl Albiol,88,1,55,6,1,7.10
Bologna,Daniele Gastaldello,83,2,40,3,1,7.10
Fiorentina,Facundo Roncaglia,89,0,87,4,1,7.10
Empoli,Lorenzo Tonelli,84,0,47,5,2,7.10
Inter,Stevan Jovetić,75,2,18,41,6,7.10
Roma,Mohamed Salah,83,6,20,56,14,7.09
Genoa,Nicolás Burdisso,82,0,32,2,0,7.09
Juventus,Mario Mandžukić,71,4,36,5,10,7.09
Inter,Geoffrey Kondogbia,87,0,71,51,1,7.09
Torino,Nikola Maksimović,84,1,42,14,0,7.09
Torino,Cesare Bovo,84,0,31,5,2,7.08
Genoa,Armando Izzo,82,1,78,28,0,7.08
Genoa,Tomás Rincón,85,6,72,79,3,7.07
Palermo,Abdelhamid El Kaoutari,83,0,22,4,1,7.07
Fiorentina,Gonzalo Rodríguez,87,0,49,15,4,7.07
Atalanta,Maxi Moralez,83,4,22,12,1,7.07
Palermo,Enzo Maresca,84,0,26,8,1,7.07
Napoli,José Callejón,83,7,43,7,7,7.07
Genoa,Leonardo Pavoletti,70,3,16,5,14,7.06
Udinese,Felipe,77,1,68,7,1,7.06
Bologna,Archimede Morleo,71,0,10,2,0,7.06
Inter,Adem Ljajić,87,3,9,29,3,7.06
Lazio,Miroslav Klose,66,7,9,15,7,7.06
Torino,Pontus Jansson,93,0,5,4,1,7.06
Torino,Giuseppe Vives,84,1,98,13,1,7.06
Empoli,Uroš Ćosić,87,0,9,1,0,7.06
Inter,Éder,81,2,27,28,13,7.05
Milan,Mario Balotelli,72,1,9,18,1,7.05
Inter,Samir Handanovič,69,0,0,0,0,7.05
Roma,Konstantinos Manolas,87,2,62,11,2,7.05
Torino,Kamil Glik,89,0,47,11,0,7.04
Udinese,Bruno Fernandes,75,4,46,33,3,7.04
Inter,Gary Medel,89,1,52,8,1,7.03
Lazio,Marco Parolo,79,0,71,4,3,7.03
Bologna,Domenico Maietta,85,0,40,8,0,7.03
Inter,João Miranda,82,3,59,12,1,7.03
Fiorentina,Federico Bernardeschi,82,4,36,70,2,7.03
Inter,Jeison Murillo,87,1,65,19,2,7.03
Lazio,Keita Baldé,85,2,9,69,4,7.02
Torino,Ciro Immobile,71,2,6,16,5,7.02
Chievoverona,Alessandro Gamberini,81,1,21,2,0,7.02
Genoa,Ezequiel Muñoz,83,0,35,5,0,7.02
Chievoverona,Ivan Radovanović,81,0,44,7,0,7.02
Torino,Emiliano Moretti,87,1,53,9,1,7.01
Chievoverona,Fabrizio Cacciatore,80,3,44,6,1,7.01
Empoli,Massimo Maccarone,71,5,25,20,13,7.01
Inter,Felipe Melo,86,1,53,13,1,7.01
Carpi,Andrea Lazzari,76,0,11,1,1,7.01
Carpi,Cristian Zaccardo,73,0,67,7,1,7.01
Bologna,Emanuele Giaccherini,80,0,23,29,7,7.01
Lazio,Santiago Gentiletti,85,0,46,9,0,7.01
Atalanta,Marten de Roon,77,2,121,15,1,7.01
