Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Manchester United,Sergio Romero,0,0,2,0,0,8.00
Manchester United,Demetri Mitchell,0,0,2,3,5,8.00
Arsenal,Alexis Sánchez,1,0,4,24,53,7.71
Chelsea,Eden Hazard,0,0,4,28,18,7.68
Manchester United,Paul Pogba,4,0,42,33,53,7.66
Tottenham,Harry Kane,0,0,21,4,22,7.56
Liverpool,Philippe Coutinho,0,0,5,18,35,7.52
Crystal Palace,Mile Jedinak,0,0,0,1,6,7.50
Manchester United,Josh Harrop,0,0,1,0,6,7.50
Manchester City,Kevin De Bruyne,1,0,8,24,50,7.50
West Ham United,Dimitri Payet,0,0,5,5,9,7.48
Tottenham,Christian Eriksen,0,0,20,21,45,7.46
Southampton,Virgil van Dijk,15,0,142,54,39,7.45
Manchester City,Gabriel Jesus,0,0,1,2,5,7.40
Liverpool,Jordan Henderson,3,0,40,40,88,7.38
Chelsea,Cesc Fàbregas,2,1,16,16,30,7.37
Manchester United,Ander Herrera,7,0,51,81,84,7.36
Manchester City,Sergio Agüero,1,0,1,3,18,7.36
Everton,Romelu Lukaku,4,0,27,0,9,7.35
Manchester City,Nicolás Otamendi,15,0,189,83,68,7.34
Manchester United,Zlatan Ibrahimović,1,0,22,10,10,7.33
Tottenham,Jan Vertonghen,21,2,230,42,43,7.31
Arsenal,Mesut Özil,1,0,9,15,26,7.31
Swansea City,Gylfi Sigurðsson,2,0,23,35,45,7.30
Manchester City,Vincent Kompany,3,0,42,16,15,7.28
Manchester United,Daley Blind,9,0,108,44,45,7.25
Manchester United,Eric Bailly,16,0,126,60,60,7.25
Everton,Idrissa Gueye,9,0,39,81,136,7.25
Manchester United,Phil Jones,16,0,138,27,34,7.25
Everton,Phil Jagielka,24,0,208,41,43,7.25
Manchester City,Aleksandar Kolarov,10,0,156,46,46,7.24
Liverpool,Sadio Mané,0,0,10,8,23,7.24
Manchester City,David Silva,4,0,21,16,44,7.24
Chelsea,Pedro,1,0,11,21,48,7.23
West Ham United,Manuel Lanzini,1,0,10,45,44,7.22
Chelsea,David Luiz,14,0,171,64,42,7.22
Chelsea,Nathan Aké,8,0,76,11,22,7.22
Tottenham,Toby Alderweireld,21,1,162,26,41,7.21
Manchester City,Yaya Touré,4,0,39,16,42,7.20
Liverpool,Roberto Firmino,3,0,14,26,58,7.20
