Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
As Monaco,Jorge,33,3,3,0,1,8.00
Paris Saint Germain,Thiago Silva,18,17,2,3,3,7.58
Paris Saint Germain,Marco Verratti,38,8,60,0,3,7.57
Olympique De Marseille,Dimitri Payet,14,28,25,0,4,7.55
Saint Etienne,Loïc Perrin,21,19,10,3,4,7.50
Olympique Lyonnais,Alexandre Lacazette,39,72,49,13,28,7.49
Saint Etienne,Anthony Maisonnial,0,0,0,0,0,7.45
Paris Saint Germain,Ángel Di María,11,56,40,5,6,7.43
Stade Rennais,Sylvain Armand,0,0,0,0,0,7.40
Olympique Lyonnais,Maxime Gonalons,6,16,43,0,1,7.38
Olympique Lyonnais,Corentin Tolisso,17,46,20,6,8,7.37
Toulouse,Mauro Goicoechea,0,0,0,0,0,7.35
Ogc Nice,Jean-Michaël Seri,28,25,37,0,7,7.34
Ogc Nice,Paul Baysse,25,8,0,0,2,7.34
Bastia,Thomas Vincensini,0,0,0,0,0,7.33
As Monaco,Gabriel Boschilia,35,17,13,2,6,7.32
Ogc Nice,Wylan Cyprien,19,43,55,1,8,7.31
Paris Saint Germain,Lucas Moura,22,55,72,7,12,7.31
Montpellier,Ryad Boudebouz,26,43,88,0,11,7.30
Guingamp,Romain Salin,0,0,0,0,0,7.30
Dijon,Benjamin Leroy,0,0,0,0,0,7.30
Olympique Lyonnais,Christophe Jallet,13,8,4,0,1,7.29
As Monaco,Fabinho,36,25,38,2,9,7.29
As Monaco,Radamel Falcao,31,68,12,8,21,7.28
Paris Saint Germain,Adrien Rabiot,18,17,41,1,3,7.27
Olympique De Marseille,Florian Thauvin,21,70,91,7,15,7.27
Paris Saint Germain,Edinson Cavani,28,125,7,38,35,7.26
Guingamp,Yannis Salibur,11,71,81,4,8,7.25
As Monaco,Kylian Mbappé,33,45,32,5,15,7.25
Angers,Billy Ketkeophomphone,10,10,7,0,1,7.24
Paris Saint Germain,Marquinhos,33,9,3,1,3,7.23
Paris Saint Germain,Julian Draxler,22,18,33,1,4,7.21
As Monaco,Thomas Lemar,24,38,52,3,9,7.21
Guingamp,Fernando Marçal,0,10,25,0,0,7.20
Paris Saint Germain,Giovani Lo Celso,0,2,3,0,0,7.20
As Monaco,Marcel Tisserand,0,0,2,0,0,7.20
Olympique De Marseille,Bafétimbi Gomis,25,81,25,12,20,7.20
Ogc Nice,Mario Balotelli,25,59,15,7,15,7.19
Olympique De Marseille,William Vainqueur,0,23,44,1,0,7.19
Saint Etienne,Florentin Pogba,20,5,16,0,1,7.18
Dijon,Mehdi Abeid,9,34,43,1,3,7.18
Toulouse,Ibrahim Sangaré,0,2,4,0,0,7.18
Angers,Thomas Mangani,11,28,23,1,3,7.17
Paris Saint Germain,Javier Pastore,0,9,33,1,0,7.17
Stade Rennais,Yoann Gourcuff,15,27,20,0,4,7.17
Toulouse,Christopher Jullien,13,30,0,6,4,7.17
Paris Saint Germain,Presnel Kimpembe,0,3,15,0,0,7.16
As Monaco,Abdou Diallo,0,2,1,0,0,7.16
As Monaco,Kamil Glik,27,22,0,1,6,7.15
Fc Nantes,Valentin Rongier,10,21,28,0,2,7.14
As Monaco,Kévin N'Doram,0,1,1,0,0,7.14
Lorient,Sylvain Marveaux,20,25,41,1,5,7.14
Ogc Nice,Valentin Eysseric,10,39,42,1,4,7.14
Olympique Lyonnais,Emanuel Mammana,13,8,8,0,1,7.14
Guingamp,Christophe Kerbrat,0,4,2,0,0,7.13
Paris Saint Germain,Thomas Meunier,6,17,27,1,1,7.13
Lille Osc,Marko Baša,14,7,4,0,1,7.13
Olympique De Marseille,Rolando,31,13,1,3,4,7.13
As Monaco,Jemerson,17,12,3,2,2,7.12
Paris Saint Germain,Thiago Motta,0,9,7,1,0,7.12
Lille Osc,Renato Civelli,13,8,1,0,1,7.12
Montpellier,Vitorino Hilton,6,16,6,0,1,7.11
Nancy,Clément Lenglet,0,6,2,0,0,7.11
Olympique Lyonnais,Mouctar Diakhaby,4,23,6,4,1,7.11
Angers,Cheikh N'Doye,7,75,10,7,5,7.10
Paris Saint Germain,Maxwell,0,3,3,0,0,7.10
Stade Rennais,Edson Mexer,33,3,10,0,1,7.09
Angers,Flavien Tait,29,7,10,0,2,7.09
Olympique De Marseille,Rod Fanni,50,2,18,0,1,7.09
Caen,Ronny Rodelin,11,82,43,5,9,7.09
Nancy,Benoît Pedretti,7,14,5,0,1,7.09
Saint Etienne,Ronaël Pierre-Gabriel,0,2,21,0,0,7.09
Ogc Nice,Dante,0,3,7,1,0,7.08
Caen,Julien Féret,11,19,48,1,2,7.08
Angers,Karl Toko Ekambi,11,65,66,8,7,7.08
Olympique Lyonnais,Lucas Tousart,6,16,20,0,1,7.08
Saint Etienne,Jordan Veretout,9,32,35,1,3,7.07
Montpellier,Steve Mounié,16,85,21,11,14,7.07
Stade Rennais,Joris Gnagnon,6,18,10,6,1,7.07
Paris Saint Germain,David Luiz,0,2,4,1,0,7.07
Bordeaux,Nicolas Pallois,22,9,12,2,2,7.06
Bordeaux,Jérémy Toulalan,0,2,29,0,0,7.06
Paris Saint Germain,Layvin Kurzawa,11,18,28,3,2,7.06
Ogc Nice,Ricardo Pereira,14,14,29,1,2,7.06
Lille Osc,Adama Soumaoro,0,9,24,1,0,7.06
Olympique De Marseille,Grégory Sertic,8,12,5,0,1,7.05
Dijon,Jordan Lotiès,11,18,8,0,2,7.05
As Monaco,Tiemoué Bakayoko,12,17,57,1,2,7.05
Guingamp,Jimmy Briand,21,58,26,10,12,7.04
Ogc Nice,Malang Sarr,25,4,8,1,1,7.04
As Monaco,João Moutinho,13,16,9,0,2,7.04
