Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Torino,Vanja Milinković-Savić,0,57,24,0,0,7.00
Udinese,Bram Nuytinck,4,85,1046,1,1,7.00
Benevento,Sandro,6,89,627,0,1,7.00
Napoli,Piotr Zieliński,36,88,1131,2,4,7.00
Spal,Bartosz Salamon,3,82,694,0,1,7.00
Udinese,Ali Adnan,21,70,437,2,5,6.99
Genoa,Nicolás Spolli,2,87,550,0,0,6.99
Lazio,Marco Parolo,28,82,985,6,6,6.99
Napoli,Allan,37,88,1554,5,6,6.99
Genoa,Ervin Zukanović,13,85,1261,1,3,6.99
Chievoverona,Dario Dainelli,3,78,465,0,0,6.99
Cagliari,Leonardo Pavoletti,24,66,522,0,2,6.98
Atalanta,José Luis Palomino,2,84,922,0,1,6.98
Chievoverona,Valter Birsa,66,81,1029,6,12,6.98
Milan,Ricardo Rodríguez,23,88,1530,0,1,6.98
Atalanta,Musa Barrow,11,79,93,2,1,6.98
Crotone,Rolando Mandragora,25,81,1068,0,2,6.98
Sassuolo,Domenico Berardi,53,71,607,2,3,6.97
Inter,Samir Handanovič,0,80,700,0,0,6.97
Sassuolo,Francesco Magnanelli,37,83,1368,0,1,6.97
Lazio,Ştefan Radu,10,87,1393,2,2,6.97
Cagliari,Nicolò Barella,35,79,1204,1,1,6.96
Sampdoria,Duván Zapata,29,71,378,4,5,6.96
Benevento,Cheick Diabaté,2,74,85,0,0,6.95
Genoa,Oscar Hiljemark,36,83,481,3,8,6.95
Juventus,Andrea Barzagli,4,92,1126,1,1,6.95
Torino,Emiliano Moretti,3,85,898,0,0,6.95
Hellas Verona,Matteo Bianchetti,0,70,35,0,0,6.95
Inter,Danilo D'Ambrosio,20,82,1466,3,2,6.95
Sassuolo,Gianluca Scamacca,1,69,11,0,1,6.95
Torino,Kevin Bonifazi,0,89,161,0,0,6.95
Torino,Nicolás Burdisso,3,85,939,0,1,6.95
Roma,Juan Jesus,3,87,1012,0,0,6.95
Lazio,Nani,8,81,153,3,1,6.94
Torino,Cristian Ansaldi,19,74,554,3,9,6.94
Fiorentina,Nikola Milenković,3,84,607,0,0,6.94
Cagliari,Paolo Faragò,32,65,572,5,9,6.94
Juventus,Kwadwo Asamoah,13,89,1013,1,0,6.94
Atalanta,Timothy Castagne,15,81,642,2,4,6.94
Fiorentina,Giovanni Simeone,37,71,382,4,3,6.94
Milan,Alessio Romagnoli,7,91,1333,0,0,6.93
Torino,Lorenzo De Silvestri,16,72,946,4,2,6.93
Sampdoria,Leonardo Capezzi,10,80,109,1,1,6.93
Genoa,Raffaele Palladino,8,81,66,0,1,6.93
Sampdoria,Gianmarco Ferrari,4,88,1500,0,0,6.92
Udinese,Kevin Lasagna,11,64,260,1,0,6.92
Hellas Verona,Jagoš Vuković,3,82,419,1,1,6.92
Juventus,Gianluigi Buffon,0,78,409,0,0,6.92
Torino,Joel Obi,6,82,459,2,0,6.92
Benevento,Guilherme,22,84,298,2,3,6.92
Genoa,Mattia Perin,1,58,663,0,0,6.92
Hellas Verona,Antonio Caracciolo,4,81,782,0,1,6.92
Sampdoria,Joachim Andersen,0,87,366,0,0,6.91
Atalanta,Pierluigi Gollini,0,82,140,0,0,6.91
Crotone,Marco Tumminello,1,69,48,1,1,6.91
Genoa,Goran Pandev,32,75,431,1,6,6.91
Hellas Verona,Alessio Cerci,26,71,286,2,9,6.91
Fiorentina,Marco Benassi,40,76,956,2,5,6.91
Crotone,Andrea Nalini,18,66,336,3,3,6.90
Roma,Cengiz Ünder,23,74,285,1,2,6.90
Udinese,Danilo,3,79,1101,0,0,6.90
Bologna,Simone Romagnoli,1,81,223,0,0,6.90
Inter,João Mário,17,89,311,3,2,6.90
Fiorentina,Cyril Théréau,23,81,447,4,4,6.90
Napoli,Luigi Sepe,0,88,15,0,0,6.90
Torino,Lyanco,0,87,137,0,0,6.90
Chievoverona,Ivan Radovanović,14,81,1462,2,0,6.90
Spal,Alberto Grassi,10,84,638,0,1,6.90
Crotone,Davide Faraoni,10,71,505,4,1,6.90
Genoa,Miguel Veloso,20,83,836,0,3,6.90
Roma,Bruno Peres,15,87,540,0,1,6.89
Crotone,Marcello Trotta,27,70,502,4,2,6.89
Juventus,Claudio Marchisio,7,89,597,1,1,6.89
Udinese,Silvan Widmer,15,74,540,2,3,6.89
Chievoverona,Fabrizio Cacciatore,35,78,1208,3,3,6.89
Juventus,Mario Mandžukić,25,76,718,3,2,6.89
Bologna,Filip Helander,1,81,987,0,0,6.89
Spal,Pasquale Schiattarella,43,81,920,4,5,6.88
Inter,Roberto Gagliardini,17,85,1233,0,2,6.88
Lazio,Senad Lulić,41,77,931,6,7,6.88
Crotone,Ante Budimir,18,63,242,0,2,6.88
Spal,Alfred Gomis,1,52,357,0,0,6.88
Inter,Borja Valero,35,92,1842,0,2,6.88
Napoli,Elseid Hysaj,20,87,1998,1,3,6.88
Sampdoria,Emiliano Viviano,0,65,505,0,0,6.88
Milan,Nikola Kalinić,38,80,301,3,2,6.88
Juventus,Wojciech Szczęsny,1,75,281,0,0,6.88
Chievoverona,Stefano Sorrentino,0,59,603,0,0,6.88
Crotone,Federico Ricci,16,71,264,1,1,6.87
Lazio,Luiz Felipe,1,89,593,0,0,6.87
Lazio,Bastos,4,91,775,0,0,6.87
Fiorentina,Vincent Laurini,17,79,664,1,1,6.87
Napoli,Pepe Reina,2,81,812,0,1,6.87
Udinese,Gabriele Angella,2,83,403,0,0,6.87
Torino,Álex Berenguer,25,78,328,3,3,6.87
Benevento,Danilo Cataldi,37,85,1095,4,2,6.87
Sampdoria,Dawid Kownacki,8,75,184,1,2,6.87
Hellas Verona,Daniele Verde,24,72,395,3,2,6.86
Benevento,Massimo Coda,21,71,242,1,1,6.86
Lazio,Wallace,2,86,484,0,0,6.86
Milan,Fabio Borini,14,81,568,3,1,6.86
Genoa,Andrea Bertolacci,26,81,1291,1,1,6.86
Crotone,Stefan Simić,0,80,162,0,0,6.86
Sampdoria,Gianluca Caprari,39,78,495,2,5,6.85
Napoli,Christian Maggio,3,85,304,0,0,6.85
Spal,Lorenco Šimić,0,75,86,0,0,6.85
Genoa,Jawad El Yamiq,0,82,137,0,0,6.85
Atalanta,Luca Vido,2,89,25,0,0,6.85
Bologna,Rodrigo Palacio,35,74,467,2,5,6.85
Sassuolo,Khouma Babacar,14,80,184,2,3,6.85
Milan,Ignazio Abate,11,83,523,0,0,6.85
Benevento,Bacary Sagna,12,90,614,0,3,6.85
Torino,Cristian Molinaro,10,78,642,1,0,6.85
Atalanta,Marten de Roon,19,85,1416,2,3,6.84
Sassuolo,Timo Letschert,1,82,159,0,0,6.84
Genoa,Andrej Gălăbinov,12,65,230,1,1,6.84
Inter,Matías Vecino,24,88,1410,2,4,6.84
Atalanta,Andrea Petagna,30,74,365,5,8,6.84
Lazio,Thomas Strakosha,2,71,721,0,0,6.84
Inter,Davide Santon,2,84,390,0,0,6.84
Spal,Francesco Vicari,2,87,1011,1,1,6.84
Genoa,Davide Biraschi,10,78,688,1,2,6.83
Torino,Daniele Baselli,24,82,1065,2,0,6.83
Milan,Patrick Cutrone,14,79,252,2,0,6.83
Bologna,Ibrahima Mbaye,4,80,667,0,1,6.83
Sassuolo,Simone Missiroli,32,74,916,1,4,6.83
Bologna,Mattia Destro,13,65,191,3,1,6.83
Crotone,Simy,16,66,205,1,0,6.83
Hellas Verona,Bruno Petković,16,70,258,3,5,6.83
Milan,Franck Kessié,44,85,1460,3,4,6.82
Spal,Federico Mattiello,10,79,508,1,1,6.82
Atalanta,Leonardo Spinazzola,15,77,620,2,3,6.82
Roma,Kevin Strootman,30,85,1220,0,0,6.82
Lazio,Patric,8,88,287,1,0,6.82
Cagliari,Rafael,0,54,122,0,0,6.82
Bologna,Blerim Džemaili,11,79,373,0,0,6.82
Sampdoria,Matías Silvestre,1,89,1985,0,0,6.82
Cagliari,Marco Andreolli,2,81,691,0,0,6.82
Hellas Verona,Rômulo,50,80,1021,5,4,6.82
Fiorentina,Marco Sportiello,1,70,591,0,0,6.81
Spal,Filippo Costa,14,76,378,1,2,6.81
Chievoverona,Përparim Hetemaj,24,83,888,2,1,6.81
Benevento,Fabio Lucioni,1,79,222,0,0,6.81
Bologna,Saphir Taïder,4,92,196,1,0,6.81
Benevento,Filip Đuričić,10,81,310,2,3,6.81
Benevento,Marco D'Alessandro,18,76,193,1,1,6.81
Torino,Tomás Rincón,22,83,1239,0,1,6.81
Lazio,Martín Cáceres,9,75,507,1,1,6.81
Benevento,Berat Djimsiti,3,88,1412,1,1,6.81
Hellas Verona,Mattia Valoti,11,72,423,0,1,6.81
Sampdoria,Gastón Ramírez,48,78,750,8,7,6.81
Genoa,Luca Rossettini,3,84,842,0,0,6.80
Milan,Mateo Musacchio,7,89,856,1,1,6.80
Udinese,Antonín Barák,30,79,894,4,5,6.80
Spal,Felipe,7,82,1026,0,0,6.80
Genoa,Pietro Pellegri,4,76,35,0,0,6.80
Milan,José Mauri,0,92,12,0,0,6.80
Inter,Lisandro López,0,93,26,0,0,6.80
Udinese,Molla Wagué,0,86,24,0,0,6.80
Crotone,Niccolò Zanellato,2,71,24,0,1,6.80
Chievoverona,Gianluca Gaudino,1,80,8,0,0,6.80
Genoa,Eugenio Lamanna,0,71,15,0,0,6.80
Sassuolo,Gianluca Pegolo,0,34,11,0,0,6.80
Hellas Verona,Marco Fossati,6,84,572,0,1,6.80
Inter,Dalbert,3,84,238,0,0,6.80
Spal,Jasmin Kurtić,17,77,724,0,2,6.80
Juventus,Blaise Matuidi,17,92,1238,1,1,6.80
Sampdoria,Bartosz Bereszyński,12,81,1024,1,1,6.80
Udinese,Samir,4,84,1018,0,0,6.80
Cagliari,Fabio Pisacane,2,82,830,0,0,6.80
Crotone,Arlind Ajeti,4,78,282,1,1,6.79
Sassuolo,Andrea Consigli,1,63,580,0,0,6.79
Milan,Riccardo Montolivo,12,83,584,1,0,6.79
Chievoverona,Mattia Bani,0,83,516,0,0,6.79
Bologna,Sebastien De Maio,5,82,886,0,0,6.79
Sassuolo,Edoardo Goldaniga,1,73,255,0,0,6.79
Crotone,Andrea Barberis,34,75,781,1,3,6.79
Benevento,Luca Antei,0,87,313,0,0,6.79
Crotone,Bruno Martella,18,70,653,3,3,6.79
Cagliari,João Pedro,17,72,343,1,3,6.79
Sampdoria,Nicola Murru,11,81,507,2,3,6.79
Spal,Sergio Floccari,6,74,186,0,0,6.78
Hellas Verona,Bruno Zuculini,2,82,516,0,0,6.78
Fiorentina,Valentin Eysseric,24,79,292,1,2,6.78
Hellas Verona,Alex Ferrari,5,73,619,0,0,6.78
Bologna,Federico Di Francesco,17,79,320,2,2,6.78
Genoa,Luca Rigoni,14,81,430,2,2,6.78
Lazio,Adam Marušić,36,79,701,5,4,6.78
Chievoverona,Mariusz Stępiński,7,74,112,1,2,6.78
Genoa,Diego Laxalt,24,72,708,3,3,6.78
Roma,Gerson,12,88,458,1,2,6.78
Genoa,Gianluca Lapadula,14,63,170,1,2,6.78
Napoli,Amadou Diawara,5,93,681,1,0,6.77
Udinese,Valon Behrami,9,82,413,1,0,6.77
Bologna,Andrea Poli,14,90,1108,0,0,6.77
Milan,Gianluigi Donnarumma,1,77,837,0,0,6.77
Roma,Patrik Schick,14,78,219,0,4,6.77
Crotone,Alex Cordaz,2,42,456,0,1,6.77
Cagliari,Alessio Cragno,0,58,392,0,0,6.77
Atalanta,Andreas Cornelius,22,67,205,1,1,6.77
Udinese,Andrija Balić,14,84,437,1,1,6.77
Napoli,Arkadiusz Milik,7,78,115,0,1,6.76
Juventus,Stephan Lichtsteiner,8,82,861,2,1,6.76
Inter,Éder,15,85,199,0,2,6.76
Bologna,Antonio Mirante,1,67,748,0,0,6.76
Udinese,Albano Bizzarri,1,61,579,0,0,6.76
Chievoverona,Nenad Tomović,3,83,888,0,0,6.76
Fiorentina,Gil Dias,23,80,357,2,1,6.76
Sassuolo,Federico Peluso,13,72,643,1,2,6.75
Chievoverona,Emanuele Giaccherini,17,79,351,3,0,6.75
Atalanta,Gianluca Mancini,0,82,272,0,0,6.75
Roma,Mirko Antonucci,2,90,9,1,1,6.75
Juventus,Stefano Sturaro,6,81,222,0,0,6.74
Crotone,Federico Ceccherini,10,81,1016,1,0,6.74
Roma,Héctor Moreno,0,93,186,0,0,6.74
Cagliari,Gregory van der Wiel,1,81,108,0,0,6.74
Chievoverona,Paweł Jaroszyński,5,66,180,0,0,6.74
