Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Paris Saint Germain,Zlatan Ibrahimović,79,13,17,38,38,8.17
Paris Saint Germain,Ángel Di María,81,18,12,55,10,7.94
Olympique Lyonnais,Mathieu Gorgelin,52,0,0,0,0,7.60
Paris Saint Germain,Thiago Silva,95,1,52,16,1,7.55
Paris Saint Germain,Salvatore Sirigu,80,0,0,0,0,7.50
Angers,Aissa Laidouni,78,0,3,0,0,7.50
Paris Saint Germain,Layvin Kurzawa,88,5,52,31,4,7.49
Lille Osc,Sofiane Boufal,77,4,51,125,11,7.41
Paris Saint Germain,Nicolas Douchez,92,0,0,0,0,7.40
Olympique Lyonnais,Corentin Tolisso,85,6,87,14,5,7.39
Olympique Lyonnais,Rachid Ghezzal,76,8,36,62,8,7.38
Bordeaux,Wahbi Khazri,77,7,42,35,5,7.33
Ogc Nice,Hatem Ben Arfa,80,6,15,152,17,7.32
Olympique Lyonnais,Christophe Jallet,85,5,86,13,1,7.31
Stade Rennais,Ousmane Dembélé,72,5,21,108,12,7.31
Paris Saint Germain,Presnel Kimpembe,92,0,13,2,0,7.30
Paris Saint Germain,Hervin Ongenda,88,1,4,5,1,7.30
Paris Saint Germain,David Luiz,92,2,29,16,1,7.30
Paris Saint Germain,Serge Aurier,88,2,83,25,2,7.30
Saint Etienne,Loïc Perrin,84,1,56,6,3,7.28
Paris Saint Germain,Lucas Moura,85,4,46,98,9,7.28
Paris Saint Germain,Javier Pastore,82,6,15,27,2,7.28
Caen,Damien Da Silva,80,0,72,9,2,7.27
Olympique Lyonnais,Alexandre Lacazette,78,3,39,57,21,7.26
Bordeaux,Robin Maulun,88,0,2,4,1,7.25
Bordeaux,Henri Saivet,81,0,66,28,2,7.24
Paris Saint Germain,Edinson Cavani,85,5,20,18,19,7.24
Olympique Lyonnais,Maxime Gonalons,89,0,108,28,0,7.24
Paris Saint Germain,Gregory van der Wiel,90,3,40,14,2,7.24
Lille Osc,Mounir Obbadi,86,4,79,18,1,7.22
Olympique Lyonnais,Mathieu Valbuena,86,5,24,47,1,7.22
Fc Nantes,Guillaume Gillet,85,0,55,12,1,7.21
Lorient,Marvin Gakpa,80,0,4,2,0,7.20
Lorient,Erwin Koffi,75,0,1,1,0,7.20
Lille Osc,Marko Baša,87,0,9,5,0,7.20
Olympique Lyonnais,Samuel Umtiti,87,0,42,16,1,7.20
Fc Nantes,Olivier Veigneau,72,0,7,1,0,7.20
Olympique Lyonnais,Milan Biševac,92,0,6,2,0,7.18
Saint Etienne,Moustapha Bayal Sall,79,0,57,10,3,7.18
Olympique De Marseille,Abdelaziz Barrada,80,6,40,20,1,7.17
As Monaco,Fabinho,81,4,111,29,6,7.17
Lorient,Yrondu Musavu-King,79,0,6,3,0,7.17
As Monaco,Jérémy Toulalan,80,1,77,22,0,7.16
Montpellier,Vitorino Hilton,75,1,61,10,1,7.16
Stade De Reims,Nicolas de Préville,68,9,41,83,6,7.16
Montpellier,Ryad Boudebouz,78,11,47,69,2,7.16
Olympique De Marseille,Lassana Diarra,87,1,77,77,1,7.16
Caen,Ronny Rodelin,66,2,41,26,10,7.15
Lille Osc,Mike Maignan,65,0,0,2,0,7.15
Fc Nantes,Abdoulaye Touré,81,0,6,11,0,7.15
Paris Saint Germain,Marco Verratti,93,3,31,21,0,7.15
Ogc Nice,Jean-Michaël Seri,89,6,50,48,3,7.15
Paris Saint Germain,Maxwell,91,3,36,12,3,7.15
Lille Osc,Éder,71,4,6,8,6,7.15
Saint Etienne,Oussama Tannane,73,1,15,7,2,7.14
Lille Osc,Djibril Sidibé,79,3,118,50,4,7.14
Montpellier,Daniel Congré,84,0,73,13,2,7.14
Lorient,Denis Bouanga,86,0,3,3,1,7.13
Guingamp,Nicolas Benezet,74,4,34,28,4,7.13
Lorient,Wesley Lautoa,83,0,18,11,0,7.12
Montpellier,Ellyes Skhiri,83,0,24,5,2,7.12
Paris Saint Germain,Marquinhos,93,0,42,5,1,7.12
Olympique De Marseille,Mauricio Isla,84,1,53,13,2,7.12
Lille Osc,Stoppila Sunzu,79,0,28,1,1,7.12
Ogc Nice,Romain Genevois,87,0,35,5,1,7.12
Ogc Nice,Paul Baysse,88,0,47,4,0,7.11
Stade De Reims,Aïssa Mandi,82,1,41,8,5,7.11
Lorient,Walid Mesloub,83,4,38,38,1,7.10
Bordeaux,Nicolas Maurice-Belay,84,2,19,31,1,7.10
Ogc Nice,Ricardo Pereira,84,4,102,47,0,7.10
Olympique Lyonnais,Nabil Fekir,86,1,4,15,4,7.09
Caen,Syam Ben Youssef,72,1,49,5,3,7.09
