Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Manchester United,Sergio Romero,72,0,0,0,0,8.00
Manchester United,Demetri Mitchell,86,0,5,2,0,8.00
Arsenal,Alexis Sánchez,74,10,53,108,24,7.71
Chelsea,Eden Hazard,84,5,18,143,16,7.68
Manchester United,Paul Pogba,85,4,53,72,5,7.66
Tottenham,Harry Kane,72,7,22,38,29,7.56
Liverpool,Philippe Coutinho,84,7,35,70,13,7.52
Crystal Palace,Mile Jedinak,71,0,6,0,0,7.50
Manchester United,Josh Harrop,98,0,6,1,1,7.50
Manchester City,Kevin De Bruyne,82,18,50,52,6,7.50
West Ham United,Dimitri Payet,81,6,9,47,2,7.48
Tottenham,Christian Eriksen,80,15,45,27,8,7.46
Southampton,Virgil van Dijk,84,0,39,8,1,7.45
Manchester City,Gabriel Jesus,81,4,5,12,7,7.40
Liverpool,Jordan Henderson,86,4,88,5,1,7.38
Chelsea,Cesc Fàbregas,84,12,30,12,5,7.37
Manchester United,Ander Herrera,88,6,84,30,1,7.36
Manchester City,Sergio Agüero,82,3,18,78,20,7.36
Everton,Romelu Lukaku,65,6,9,63,25,7.35
Manchester City,Nicolás Otamendi,88,1,68,11,1,7.34
Manchester United,Zlatan Ibrahimović,74,5,10,17,17,7.33
Tottenham,Jan Vertonghen,85,0,43,26,0,7.31
Arsenal,Mesut Özil,87,9,26,32,8,7.31
Swansea City,Gylfi Sigurðsson,77,13,45,32,9,7.30
Manchester City,Vincent Kompany,88,0,15,2,3,7.28
Manchester United,Daley Blind,86,2,45,7,1,7.25
Manchester United,Eric Bailly,86,0,60,14,0,7.25
Everton,Idrissa Gueye,86,1,136,26,1,7.25
Manchester United,Phil Jones,89,0,34,5,0,7.25
Everton,Phil Jagielka,83,2,43,2,3,7.25
Manchester City,Aleksandar Kolarov,84,1,46,22,1,7.24
Liverpool,Sadio Mané,78,5,23,68,13,7.24
Manchester City,David Silva,87,7,44,46,4,7.24
Chelsea,Pedro,83,9,48,56,9,7.23
West Ham United,Manuel Lanzini,87,2,44,88,8,7.22
Chelsea,David Luiz,84,0,42,14,1,7.22
Chelsea,Nathan Aké,89,1,22,3,3,7.22
Tottenham,Toby Alderweireld,83,0,41,4,1,7.21
Manchester City,Yaya Touré,90,0,42,27,5,7.20
Liverpool,Roberto Firmino,79,7,58,69,11,7.20
Bournemouth,Steve Cook,82,0,46,19,2,7.19
West Ham United,Winston Reid,81,2,32,10,2,7.19
Chelsea,N'Golo Kanté,89,1,127,36,1,7.19
Chelsea,César Azpilicueta,87,4,84,12,1,7.17
Burnley,Ben Mee,73,0,47,1,1,7.16
Arsenal,Granit Xhaka,89,2,77,19,2,7.16
Liverpool,Joël Matip,87,0,47,10,1,7.16
Manchester City,İlkay Gündoğan,92,1,10,11,3,7.15
Tottenham,Victor Wanyama,87,1,90,51,4,7.14
Tottenham,Danny Rose,77,2,50,25,2,7.14
Arsenal,Shkodran Mustafi,83,2,54,14,2,7.14
Manchester United,Antonio Valencia,86,3,67,37,1,7.14
West Ham United,Andy Carroll,58,1,5,3,7,7.14
Chelsea,Gary Cahill,88,0,53,4,6,7.14
Crystal Palace,Christian Benteke,60,2,9,28,15,7.14
Chelsea,Diego Costa,75,7,18,56,20,7.13
Manchester United,Marcos Rojo,86,0,29,10,1,7.13
Southampton,Oriol Romeu,84,0,117,29,1,7.13
Everton,Ashley Williams,82,3,53,2,1,7.13
Arsenal,Santi Cazorla,91,2,10,9,2,7.13
Leicester City,Wilfred Ndidi,76,1,68,13,2,7.12
