Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Chelsea,Eden Hazard,27,59,138,8,16,7.84
Liverpool,Mohamed Salah,21,104,80,16,22,7.44
Manchester City,Raheem Sterling,31,55,82,8,17,7.42
Liverpool,Virgil van Dijk,17,23,9,1,4,7.41
Tottenham,Georges-Kévin N'Koudou,0,0,0,0,0,7.40
Wolverhampton,John Ruddy,0,0,0,0,0,7.40
Manchester City,Sergio Agüero,24,87,45,10,21,7.39
Liverpool,Trent Alexander-Arnold,5,21,14,1,1,7.38
Leicester City,James Maddison,12,59,50,5,7,7.36
Liverpool,Sadio Mané,29,76,51,11,22,7.36
Bournemouth,Ryan Fraser,19,36,24,2,7,7.35
Manchester City,Kevin De Bruyne,9,22,19,0,2,7.34
Everton,Lucas Digne,19,21,13,0,4,7.33
Chelsea,Willian,8,40,40,6,3,7.33
Manchester City,David Silva,20,30,31,6,6,7.32
Manchester City,Riyad Mahrez,17,41,25,5,7,7.30
Tottenham,Harry Kane,22,78,40,11,17,7.29
Chelsea,David Luiz,15,20,10,5,3,7.27
Tottenham,Paulo Gazzaniga,0,0,0,0,0,7.27
Leicester City,Youri Tielemans,13,24,12,0,3,7.25
Manchester City,İlkay Gündoğan,21,28,19,1,6,7.25
Everton,Gylfi Sigurðsson,24,54,38,10,13,7.24
Tottenham,Kieran Trippier,20,5,7,0,1,7.23
Tottenham,Christian Eriksen,15,55,18,4,8,7.22
Liverpool,Joël Matip,13,8,6,1,1,7.22
Chelsea,Pedro,16,49,44,2,8,7.22
Crystal Palace,Luka Milivojević,29,41,13,2,12,7.22
Manchester City,Nicolás Otamendi,0,14,2,1,0,7.21
Manchester United,Paul Pogba,17,76,60,7,13,7.21
Chelsea,Willy Caballero,0,0,0,0,0,7.20
Fulham,Fabri,0,0,0,0,0,7.20
Huddersfield Town,Philip Billing,8,25,20,0,2,7.19
Manchester City,Aymeric Laporte,13,23,3,3,3,7.19
Manchester City,Fernandinho,4,24,19,2,1,7.19
Manchester City,Leroy Sané,25,40,55,5,10,7.17
Liverpool,James Milner,45,11,15,0,5,7.17
Manchester City,Benjamin Mendy,0,5,9,0,0,7.16
Liverpool,Andrew Robertson,0,13,28,0,0,7.15
Wolverhampton,Raúl Jiménez,15,87,34,10,13,7.15
Manchester City,Vincent Kompany,33,3,3,0,1,7.15
Manchester City,Bernardo Silva,19,36,49,8,7,7.14
Newcastle United,Fabian Schär,17,23,14,2,4,7.14
Arsenal,Alexandre Lacazette,21,62,46,13,13,7.13
Manchester City,Danilo,11,9,8,0,1,7.13
Chelsea,César Azpilicueta,8,12,10,0,1,7.13
Manchester City,Oleksandr Zinchenko,0,3,5,0,0,7.12
Tottenham,Hugo Lloris,0,0,0,0,0,7.12
Tottenham,Kyle Walker-Peters,0,2,9,1,0,7.12
Wolverhampton,João Moutinho,8,13,13,0,1,7.11
Liverpool,Dejan Lovren,20,5,0,1,1,7.11
Arsenal,Pierre-Emerick Aubameyang,31,72,29,23,22,7.11
Arsenal,Petr Čech,0,0,0,0,0,7.10
Tottenham,Toby Alderweireld,0,15,1,1,0,7.10
Newcastle United,Jonjo Shelvey,5,19,10,0,1,7.10
Southampton,Steven Davis,0,0,0,0,0,7.10
Liverpool,Roberto Firmino,21,57,49,9,12,7.09
Everton,Idrissa Gueye,0,11,23,0,0,7.09
Manchester City,John Stones,0,5,6,0,0,7.09
West Ham United,Felipe Anderson,22,41,75,2,9,7.09
Arsenal,Granit Xhaka,20,20,7,1,4,7.08
Manchester City,Kyle Walker,8,12,18,1,1,7.08
Newcastle United,Matt Ritchie,7,28,15,3,2,7.07
Arsenal,Laurent Koscielny,60,5,1,1,3,7.07
Brighton Hove Albion,Shane Duffy,14,35,5,1,5,7.07
Chelsea,Marcos Alonso,6,31,17,4,2,7.06
Tottenham,Heung-Min Son,24,51,48,5,12,7.05
Leicester City,Jamie Vardy,26,69,12,17,18,7.05
Bournemouth,Mark Travers,0,0,0,0,0,7.05
Leicester City,Harry Maguire,12,25,16,1,3,7.05
Bournemouth,Callum Wilson,26,54,17,21,14,7.04
Burnley,James Tarkowski,15,20,7,3,3,7.04
Chelsea,Jorginho,14,14,15,0,2,7.04
Leicester City,Wilfred Ndidi,5,43,35,3,2,7.04
Southampton,Danny Ings,16,44,20,8,7,7.03
Fulham,Aleksandar Mitrović,10,105,24,15,11,7.03
Tottenham,Dele Alli,16,32,29,4,5,7.03
Crystal Palace,Aaron Wan-Bissaka,0,4,61,0,0,7.03
Watford,Étienne Capoue,7,14,32,1,1,7.02
Newcastle United,Ciaran Clark,60,5,0,0,3,7.02
Cardiff City,Sol Bamba,20,20,14,1,4,7.02
Arsenal,Henrikh Mkhitaryan,19,32,20,4,6,7.02
West Ham United,Marko Arnautović,20,49,20,7,10,7.01
Watford,Gerard Deulofeu,22,46,47,6,10,7.01
Brighton Hove Albion,Pascal Groß,19,16,4,3,3,7.01
Newcastle United,Salomón Rondón,18,60,18,7,11,7.01
Everton,Michael Keane,4,27,6,3,1,7.01
Watford,Troy Deeney,18,50,6,8,9,7.00
Crystal Palace,Andros Townsend,13,45,58,6,6,7.00
Manchester United,Anthony Martial,33,30,32,5,10,7.00
Manchester United,Ashley Young,25,8,17,0,2,7.00
Tottenham,Michel Vorm,0,0,0,0,0,7.00
Newcastle United,Florian Lejeune,0,7,3,0,0,7.00
Arsenal,Mesut Özil,63,8,21,1,5,7.00
Tottenham,Jan Vertonghen,10,10,9,0,1,7.00
Liverpool,Alisson,0,0,2,0,0,6.99
Wolverhampton,Romain Saïss,20,10,5,0,2,6.99
Manchester United,Phil Jones,0,5,3,1,0,6.99
West Ham United,Issa Diop,9,11,6,0,1,6.99
Bournemouth,Steve Cook,6,16,5,1,1,6.99
Arsenal,Nacho Monreal,17,6,7,1,1,6.99
Newcastle United,Miguel Almirón,0,14,7,2,0,6.98
Burnley,Ashley Westwood,17,12,8,3,2,6.98
