Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Paris Saint Germain,Zlatan Ibrahimović,28,135,38,19,38,8.17
Paris Saint Germain,Ángel Di María,19,54,55,6,10,7.94
Olympique Lyonnais,Mathieu Gorgelin,0,0,0,0,0,7.60
Paris Saint Germain,Thiago Silva,8,13,16,1,1,7.55
Paris Saint Germain,Salvatore Sirigu,0,0,0,0,0,7.50
Angers,Aissa Laidouni,0,0,0,0,0,7.50
Paris Saint Germain,Layvin Kurzawa,24,17,31,3,4,7.49
Lille Osc,Sofiane Boufal,30,37,125,1,11,7.41
Paris Saint Germain,Nicolas Douchez,0,0,0,0,0,7.40
Olympique Lyonnais,Corentin Tolisso,11,44,14,3,5,7.39
Olympique Lyonnais,Rachid Ghezzal,21,38,62,4,8,7.38
Bordeaux,Wahbi Khazri,17,30,35,4,5,7.33
Ogc Nice,Hatem Ben Arfa,25,69,152,4,17,7.32
Olympique Lyonnais,Christophe Jallet,7,14,13,3,1,7.31
Stade Rennais,Ousmane Dembélé,24,49,108,7,12,7.31
Paris Saint Germain,Presnel Kimpembe,0,0,2,0,0,7.30
Paris Saint Germain,Hervin Ongenda,20,5,5,0,1,7.30
Paris Saint Germain,David Luiz,8,13,16,0,1,7.30
Paris Saint Germain,Serge Aurier,11,19,25,5,2,7.30
Saint Etienne,Loïc Perrin,20,15,6,2,3,7.28
Paris Saint Germain,Lucas Moura,18,50,98,8,9,7.28
Paris Saint Germain,Javier Pastore,13,16,27,5,2,7.28
Caen,Damien Da Silva,15,13,9,2,2,7.27
Olympique Lyonnais,Alexandre Lacazette,23,90,57,19,21,7.26
Bordeaux,Robin Maulun,100,1,4,0,1,7.25
Bordeaux,Henri Saivet,11,19,28,0,2,7.24
Paris Saint Germain,Edinson Cavani,25,77,18,20,19,7.24
Olympique Lyonnais,Maxime Gonalons,0,16,28,1,0,7.24
Paris Saint Germain,Gregory van der Wiel,29,7,14,0,2,7.24
Lille Osc,Mounir Obbadi,5,20,18,1,1,7.22
Olympique Lyonnais,Mathieu Valbuena,3,32,47,0,1,7.22
Fc Nantes,Guillaume Gillet,6,16,12,1,1,7.21
Lorient,Marvin Gakpa,0,1,2,0,0,7.20
Lorient,Erwin Koffi,0,0,1,0,0,7.20
Lille Osc,Marko Baša,0,12,5,1,0,7.20
Olympique Lyonnais,Samuel Umtiti,9,11,16,2,1,7.20
Fc Nantes,Olivier Veigneau,0,0,1,0,0,7.20
Olympique Lyonnais,Milan Biševac,0,0,2,0,0,7.18
Saint Etienne,Moustapha Bayal Sall,21,14,10,5,3,7.18
Olympique De Marseille,Abdelaziz Barrada,6,18,20,5,1,7.17
As Monaco,Fabinho,26,23,29,0,6,7.17
Lorient,Yrondu Musavu-King,0,0,3,0,0,7.17
