Team,Name,Blocked shots,Errors lead to goal,Clearances,Interceptions,Tackles,Rating
Paris Saint Germain,Neymar,0,0,1,5,14,8.15
Paris Saint Germain,Kylian Mbappé,0,0,2,4,8,7.83
Saint Etienne,Jessy Moulin,0,0,4,0,1,7.80
Nimes Olympique,Teji Savanier,15,1,49,64,94,7.62
Lille Osc,Yassine Benzia,0,0,0,1,1,7.60
Paris Saint Germain,Metehan Güçlü,0,0,0,0,0,7.50
Paris Saint Germain,Ángel Di María,1,0,4,16,29,7.47
Olympique Lyonnais,Memphis Depay,2,0,1,9,12,7.42
Strasbourg,Sanjin Prcić,8,0,6,18,19,7.42
Paris Saint Germain,Edinson Cavani,2,0,14,6,11,7.40
Bordeaux,Gaetan Poussin,0,0,1,0,0,7.40
Saint Etienne,Wahbi Khazri,2,0,5,11,41,7.39
Olympique Lyonnais,Nabil Fekir,0,0,2,7,52,7.34
Montpellier,Andy Delort,7,0,6,4,36,7.30
Strasbourg,Eiji Kawashima,0,0,0,0,0,7.30
Troyes,Morgan Poaty,0,0,2,0,1,7.30
Lille Osc,Nicolas Pépé,0,0,6,13,27,7.28
Paris Saint Germain,Adrien Rabiot,2,0,18,10,35,7.28
Montpellier,Florent Mollet,1,0,4,23,36,7.27
Angers,Flavien Tait,2,0,12,28,58,7.26
Olympique De Marseille,Florian Thauvin,1,0,4,8,42,7.26
Lille Osc,Thiago Mendes,11,0,42,68,85,7.24
Olympique Lyonnais,Marcelo,22,0,150,62,48,7.23
Paris Saint Germain,Leandro Paredes,5,1,20,14,34,7.23
Fc Nantes,Valentin Rongier,6,0,16,33,86,7.23
Ogc Nice,Wylan Cyprien,5,0,15,11,40,7.22
Ogc Nice,Walter Benítez,0,1,20,2,1,7.22
Paris Saint Germain,Dani Alves,5,0,7,8,42,7.20
Montpellier,Dimitry Bertaud,0,0,0,0,0,7.20
Paris Saint Germain,Marquinhos,13,0,80,44,65,7.20
Lille Osc,Gabriel,6,0,55,19,18,7.19
Olympique De Marseille,Dimitri Payet,0,0,5,8,11,7.19
Paris Saint Germain,Thiago Silva,20,0,92,32,16,7.18
Fc Nantes,Emiliano Sala,1,0,20,2,7,7.18
Amiens,Erik Pieters,13,0,49,17,49,7.18
Caen,Fayçal Fajr,6,0,16,29,65,7.16
Paris Saint Germain,Marco Verratti,1,0,8,18,72,7.15
Paris Saint Germain,Timothy Weah,0,0,0,0,0,7.15
Ogc Nice,Christophe Herelle,16,0,153,60,72,7.14
Strasbourg,Kenny Lala,9,1,50,28,78,7.14
As Monaco,Ronaël Pierre-Gabriel,1,0,13,3,13,7.13
Bordeaux,Vukašin Jovanović,12,0,104,36,26,7.11
Olympique Lyonnais,Fernando Marçal,3,0,31,30,25,7.10
Guingamp,Djegui Koita,3,0,9,0,8,7.10
Dijon,Naïm Sliti,0,0,9,11,56,7.10
Dijon,Bobby Allain,0,0,21,0,0,7.09
Strasbourg,Pablo Martinez,23,0,126,52,51,7.09
