Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Cagliari,Luca Crosta,1,6,1,0,6,7.60
Milan,Gianluigi Donnarumma,18,86,2,12,146,7.05
Roma,Wojciech Szczęsny,18,68,2,14,116,7.03
Palermo,Andrea Fulignati,7,20,0,3,29,7.02
Fiorentina,Luca Lezzerini,3,1,0,0,2,7.00
Empoli,Łukasz Skorupski,10,95,4,10,144,6.98
Atalanta,Pierluigi Gollini,0,4,0,3,9,6.98
Cagliari,Rafael,2,49,3,3,73,6.97
Juventus,Neto,2,4,0,5,12,6.96
Crotone,Alex Cordaz,25,92,2,4,142,6.96
Inter,Samir Handanovič,18,62,1,9,110,6.90
Sassuolo,Andrea Consigli,12,79,2,7,133,6.89
Bologna,Antonio Mirante,6,43,1,8,65,6.89
Crotone,Marco Festa,0,5,0,0,9,6.87
Napoli,Pepe Reina,38,54,1,12,86,6.85
Sampdoria,Emiliano Viviano,17,34,1,3,48,6.85
Juventus,Gianluigi Buffon,9,39,0,12,67,6.85
Atalanta,Etrit Berisha,6,41,0,11,77,6.84
Chievoverona,Stefano Sorrentino,8,58,0,10,110,6.83
Bologna,Angelo Da Costa,14,41,0,1,66,6.83
Sampdoria,Christian Puggioni,17,51,1,4,77,6.82
Lazio,Federico Marchetti,8,25,2,2,53,6.81
Lazio,Thomas Strakosha,8,31,0,6,61,6.78
Genoa,Mattia Perin,6,21,1,7,41,6.76
Fiorentina,Ciprian Tătărușanu,20,65,0,12,101,6.73
Chievoverona,Andrea Seculin,0,9,0,0,21,6.73
Torino,Joe Hart,30,70,0,5,104,6.67
Udinese,Orestis Karnezis,10,51,0,7,83,6.65
Genoa,Eugenio Lamanna,5,36,2,2,64,6.64
Palermo,Josip Posavec,11,61,0,2,101,6.61
Pescara,Vincenzo Fiorillo,2,20,0,1,31,6.60
Fiorentina,Bartłomiej Drągowski,1,2,0,0,3,6.60
Empoli,Alberto Pelagotti,1,3,0,0,8,6.60
Pescara,Albano Bizzarri,8,59,0,2,101,6.57
Udinese,Simone Scuffet,1,13,0,0,17,6.57
Milan,Marco Storari,4,26,0,0,53,6.55
Torino,Daniele Padelli,2,2,0,0,3,6.55
Inter,Juan Pablo Carrizo,0,2,0,0,2,6.50
Fiorentina,Marco Sportiello,2,10,0,2,20,6.41
Juventus,Emil Audero,0,0,0,0,1,6.40
Napoli,Rafael,0,0,0,0,0,6.30
Cagliari,Gabriel,1,3,0,0,6,6.27
Lazio,Ivan Vargić,1,0,0,0,0,6.10
Sassuolo,Gianluca Pegolo,0,3,0,0,4,6.10
Genoa,Rubinho,0,5,0,0,9,6.00
Cagliari,Roberto Colombo,0,0,0,0,0,0.00
