Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Manchester United,Sergio Romero,2,3,1,2,10,8.00
Manchester United,Joel Pereira,1,0,0,1,1,7.10
Sunderland,Jordan Pickford,22,73,0,4,135,7.04
Stoke City,Lee Grant,20,50,0,9,91,7.00
Burnley,Tom Heaton,13,84,1,10,141,7.00
Tottenham,Hugo Lloris,34,53,0,15,78,6.99
Arsenal,Petr Čech,23,75,0,12,115,6.98
Everton,Joel Robles,5,40,0,10,54,6.94
Leicester City,Kasper Schmeichel,30,59,0,8,113,6.90
Manchester City,Willy Caballero,13,19,1,6,31,6.88
Tottenham,Michel Vorm,3,5,0,2,7,6.88
Stoke City,Jack Butland,2,13,0,2,17,6.86
Chelsea,Thibaut Courtois,14,43,0,16,68,6.86
West Ham United,Adrián,13,34,0,6,53,6.83
Hull City,Eldin Jakupović,10,43,2,5,74,6.83
Watford,Heurelho Gomes,30,68,1,6,115,6.83
Liverpool,Simon Mignolet,21,33,2,9,53,6.81
Middlesbrough,Víctor Valdés,22,50,0,8,80,6.80
Bournemouth,Ryan Allsop,0,3,0,0,4,6.80
Manchester United,David De Gea,10,42,0,14,74,6.78
Sunderland,Vito Mannone,5,19,0,2,41,6.76
Bournemouth,Artur Boruc,11,66,2,9,114,6.74
Crystal Palace,Wayne Hennessey,12,51,0,7,83,6.74
West Bromwich Albion,Ben Foster,28,59,0,6,116,6.73
Middlesbrough,Brad Guzan,4,18,0,3,37,6.71
Bournemouth,Adam Federici,1,3,0,1,5,6.70
Everton,Maarten Stekelenburg,9,27,2,3,42,6.69
West Ham United,Darren Randolph,10,40,1,4,64,6.68
Swansea City,Łukasz Fabiański,25,64,1,8,117,6.68
Southampton,Fraser Forster,2,42,1,14,76,6.67
Stoke City,Shay Given,8,9,1,0,19,6.66
Burnley,Paul Robinson,1,4,0,0,10,6.63
Manchester City,Claudio Bravo,27,18,1,5,33,6.62
Liverpool,Loris Karius,4,12,0,3,20,6.62
Swansea City,Kristoffer Nordfeldt,0,3,0,0,4,6.60
Watford,Costel Pantilimon,0,4,0,0,6,6.55
Hull City,David Marshall,7,35,0,0,63,6.54
Leicester City,Ron-Robert Zieler,5,11,0,1,18,6.51
Arsenal,Emiliano Martínez,0,3,0,1,5,6.50
Crystal Palace,Steve Mandanda,5,18,0,0,24,6.48
Arsenal,David Ospina,2,3,0,0,4,6.20
Chelsea,Asmir Begović,0,1,0,0,1,6.15
