Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Liverpool,Philippe Coutinho,79,6,17,39,7,8.01
Manchester City,Kevin De Bruyne,83,16,62,63,8,7.79
Chelsea,Eden Hazard,83,4,6,165,12,7.79
Southampton,Jérémy Pied,77,1,9,2,0,7.70
Manchester City,Sergio Agüero,83,6,9,56,21,7.63
Liverpool,Mohamed Salah,77,10,12,78,32,7.62
Manchester United,Alexis Sánchez,74,6,41,84,9,7.58
Arsenal,Mesut Özil,86,8,20,36,4,7.57
Manchester City,David Silva,89,11,32,38,9,7.56
Tottenham,Harry Kane,71,2,17,47,30,7.53
Manchester City,Leroy Sané,84,15,27,85,10,7.44
Tottenham,Christian Eriksen,82,10,51,29,10,7.43
Manchester United,Sergio Romero,60,0,0,0,0,7.40
Manchester United,Paul Pogba,85,10,33,75,6,7.40
Manchester City,Raheem Sterling,84,11,19,64,18,7.38
Crystal Palace,Aaron Wan-Bissaka,73,0,29,13,0,7.37
Arsenal,Pierre-Emerick Aubameyang,69,4,5,11,10,7.35
Chelsea,Cesc Fàbregas,83,4,68,18,2,7.35
Liverpool,Roberto Firmino,73,7,65,50,15,7.31
Manchester City,Fernandinho,90,3,62,22,5,7.31
Chelsea,César Azpilicueta,87,6,80,6,2,7.31
Leicester City,Yohan Benalouane,63,0,7,0,0,7.30
Newcastle United,Jesús Gámez,82,0,4,1,0,7.30
Arsenal,Aaron Ramsey,85,8,35,29,7,7.28
Liverpool,Sadio Mané,80,7,28,55,10,7.27
Chelsea,Willian,80,7,22,67,6,7.26
Tottenham,Kieran Trippier,81,5,52,13,0,7.25
Tottenham,Ben Davies,80,6,47,15,2,7.25
Stoke City,Xherdan Shaqiri,80,7,25,39,8,7.24
Tottenham,Serge Aurier,79,2,48,15,2,7.23
Liverpool,Emre Can,86,4,67,24,3,7.22
Tottenham,Jan Vertonghen,86,0,64,30,0,7.22
Arsenal,Granit Xhaka,87,7,78,18,1,7.21
Manchester United,Phil Jones,91,0,25,7,0,7.21
Arsenal,Laurent Koscielny,89,0,43,2,2,7.21
Manchester City,Nicolás Otamendi,92,0,58,5,4,7.20
Tottenham,Paulo Gazzaniga,77,0,0,0,0,7.20
Liverpool,Virgil van Dijk,88,0,25,5,0,7.19
Manchester City,Oleksandr Zinchenko,92,0,23,3,0,7.19
West Ham United,Marko Arnautović,71,6,21,56,11,7.19
Manchester United,Chris Smalling,88,0,40,3,4,7.18
Manchester United,Romelu Lukaku,68,7,7,35,16,7.18
Brighton Hove Albion,Pascal Groß,76,8,36,11,7,7.18
Manchester City,Vincent Kompany,93,1,20,3,1,7.18
Burnley,Robbie Brady,68,2,32,16,1,7.17
Crystal Palace,James Tomkins,82,0,47,6,3,7.17
West Ham United,Manuel Lanzini,88,6,20,65,5,7.17
Burnley,Ben Mee,76,0,33,3,0,7.16
Crystal Palace,Andros Townsend,79,7,60,84,2,7.16
Crystal Palace,Wilfried Zaha,75,3,30,118,9,7.16
Bournemouth,Junior Stanislas,77,2,16,20,5,7.15
West Bromwich Albion,Chris Brunt,74,7,41,15,0,7.15
Chelsea,N'Golo Kanté,89,1,113,47,1,7.14
Burnley,James Tarkowski,73,0,46,11,0,7.13
Liverpool,Andrew Robertson,87,5,31,9,1,7.13
Arsenal,Henrikh Mkhitaryan,80,9,33,30,3,7.12
Huddersfield Town,Christopher Schindler,81,1,83,2,0,7.11
Chelsea,Marcos Alonso,79,2,51,17,7,7.11
Manchester United,Nemanja Matić,88,1,70,54,1,7.11
Manchester City,Fabian Delph,93,2,46,30,1,7.10
Arsenal,Alex Iwobi,87,5,19,36,3,7.10
Arsenal,Alexandre Lacazette,77,4,24,33,14,7.10
Brighton Hove Albion,Shane Duffy,77,1,31,6,0,7.10
Brighton Hove Albion,Lewis Dunk,78,1,67,10,1,7.10
Manchester City,Danilo,90,2,43,8,3,7.10
Crystal Palace,Sullay Kaikai,67,0,1,2,0,7.10
Manchester United,Juan Mata,87,5,18,17,3,7.09
Manchester City,Aymeric Laporte,92,0,8,3,0,7.09
Arsenal,Shkodran Mustafi,86,1,64,1,3,7.08
Manchester United,Daley Blind,85,0,6,1,0,7.08
Manchester United,Antonio Valencia,85,1,57,29,3,7.08
Leicester City,Riyad Mahrez,79,10,39,80,12,7.08
Stoke City,Kurt Zouma,78,0,49,22,1,7.07
Burnley,Kevin Long,71,2,32,0,1,7.07
Arsenal,Nacho Monreal,90,2,54,6,5,7.07
Manchester United,Ashley Young,80,4,53,29,2,7.07
Liverpool,Dejan Lovren,88,1,26,0,2,7.07
Liverpool,Alex Oxlade-Chamberlain,82,7,37,57,3,7.06
Manchester United,Eric Bailly,86,0,17,4,1,7.06
Chelsea,Andreas Christensen,93,0,26,5,0,7.06
Liverpool,Joël Matip,89,0,35,3,1,7.05
West Ham United,José Fonte,81,1,11,1,0,7.05
Liverpool,Trent Alexander-Arnold,77,1,37,20,1,7.05
Leicester City,Jamie Vardy,60,1,15,24,20,7.05
Burnley,Jóhann Guðmundsson,74,8,43,36,2,7.05
Liverpool,Jordan Henderson,84,1,51,8,1,7.04
Manchester City,Kyle Walker,88,6,47,26,0,7.04
Manchester City,Gabriel Jesus,80,3,23,24,13,7.04
Huddersfield Town,Terence Kongolo,72,0,33,7,0,7.04
Leicester City,Harry Maguire,78,4,62,51,2,7.03
West Ham United,João Mário,82,1,14,17,2,7.03
Liverpool,Alberto Moreno,84,0,35,6,0,7.03
Manchester United,Luke Shaw,85,0,18,6,0,7.03
Newcastle United,Jonjo Shelvey,72,3,39,23,1,7.03
Huddersfield Town,Aaron Mooy,80,3,102,16,4,7.02
Watford,Abdoulaye Doucouré,84,3,79,41,7,7.02
Chelsea,Álvaro Morata,73,6,13,32,11,7.02
Bournemouth,Ryan Fraser,77,3,11,10,5,7.02
Liverpool,James Milner,86,3,58,12,0,7.02
Tottenham,Eric Dier,86,2,61,13,0,7.01
Newcastle United,Jamaal Lascelles,77,0,31,5,3,7.01
Bournemouth,Steve Cook,76,1,37,1,2,7.01
Crystal Palace,Luka Milivojević,80,1,86,28,10,7.01
Chelsea,Pedro,83,2,20,33,4,7.00
Tottenham,Davinson Sánchez,89,0,38,9,0,7.00
Manchester United,Jesse Lingard,88,5,30,28,8,7.00
Everton,Idrissa Gueye,85,1,117,18,2,7.00
Southampton,Dušan Tadić,75,3,45,54,6,7.00
Arsenal,David Ospina,69,0,0,0,0,7.00
Chelsea,Callum Hudson-Odoi,75,0,0,5,0,7.00
Manchester City,John Stones,96,0,15,4,0,7.00
Tottenham,Kyle Walker-Peters,82,2,5,4,0,7.00
Liverpool,Joe Gomez,84,2,56,23,0,7.00
Everton,Cenk Tosun,70,0,6,4,5,6.99
Stoke City,Jack Butland,46,0,1,0,0,6.99
Chelsea,Antonio Rüdiger,89,1,31,8,2,6.99
Liverpool,Ragnar Klavan,91,0,14,4,1,6.99
Newcastle United,Florian Lejeune,77,2,32,12,0,6.98
West Bromwich Albion,Ahmed Hegazy,73,0,58,22,2,6.98
Manchester United,David De Gea,58,0,0,1,0,6.98
Burnley,Matthew Lowton,69,3,55,11,0,6.98
Southampton,Mario Lemina,88,1,55,55,1,6.98
Crystal Palace,Patrick van Aanholt,77,1,47,25,5,6.97
Stoke City,Ryan Shawcross,67,1,36,3,1,6.97
Tottenham,Dele Alli,77,10,46,44,9,6.97
Southampton,Wesley Hoedt,79,1,60,25,0,6.96
Southampton,Steven Davis,84,0,30,9,3,6.96
Burnley,Nick Pope,39,0,0,0,0,6.96
Swansea City,Sung-Yueng Ki,88,2,25,7,2,6.96
Tottenham,Heung-Min Son,85,6,17,58,12,6.96
West Ham United,Adrián,43,0,2,0,0,6.95
Manchester United,Anthony Martial,82,5,15,43,9,6.95
Crystal Palace,Alexander Sørloth,61,0,6,11,0,6.95
Everton,Leighton Baines,80,3,25,8,2,6.95
Southampton,Matt Targett,73,0,6,3,0,6.95
Watford,Younès Kaboul,68,0,3,0,0,6.95
West Ham United,James Collins,73,0,15,1,1,6.95
Manchester City,Bernardo Silva,87,4,27,29,6,6.95
Crystal Palace,Mamadou Sakho,86,2,21,6,1,6.95
Swansea City,Alfie Mawson,81,1,32,24,2,6.95
Southampton,Maya Yoshida,84,0,27,2,2,6.95
Manchester City,Yaya Touré,94,2,2,4,0,6.94
Southampton,James Ward-Prowse,79,3,23,5,3,6.94
Chelsea,David Luiz,85,0,18,3,1,6.94
Manchester City,İlkay Gündoğan,92,1,27,26,4,6.94
Everton,Theo Walcott,76,3,28,28,3,6.94
Bournemouth,Nathan Aké,84,3,53,9,2,6.94
Chelsea,Victor Moses,77,3,37,32,3,6.94
Tottenham,Toby Alderweireld,86,0,19,6,0,6.94
Stoke City,Eric Maxim Choupo-Moting,73,5,42,61,5,6.93
Watford,Will Hughes,80,3,34,7,2,6.93
West Bromwich Albion,Daniel Sturridge,79,1,0,13,2,6.93
Huddersfield Town,Steve Mounié,62,1,11,13,7,6.93
Manchester United,Marouane Fellaini,85,0,15,5,4,6.93
Burnley,Chris Wood,60,1,7,6,10,6.93
Bournemouth,Andrew Surman,84,5,16,13,2,6.92
Stoke City,Badou Ndiaye,82,1,51,17,2,6.92
Newcastle United,Matt Ritchie,72,5,45,15,3,6.92
Everton,Gylfi Sigurðsson,75,3,38,20,4,6.92
Swansea City,Kyle Bartley,81,0,3,0,0,6.92
Everton,Cuco Martina,78,2,61,2,0,6.92
West Ham United,Javier Hernández,73,0,11,22,8,6.92
Crystal Palace,Ruben Loftus-Cheek,83,3,22,72,2,6.92
Swansea City,Federico Fernández,82,1,40,1,1,6.92
Southampton,Oriol Romeu,83,0,92,16,1,6.91
