Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Borussia Dortmund,Henrikh Mkhitaryan,18,60,80,8,11,7.59
Bayern Munchen,Robert Lewandowski,24,125,39,27,30,7.45
Bayern Munchen,Arturo Vidal,9,44,6,2,4,7.42
Borussia Dortmund,İlkay Gündoğan,3,35,54,3,1,7.40
Fc Schalke 04,Johannes Geis,6,32,8,0,2,7.40
Bayer 04 Leverkusen,Lars Bender,13,8,5,0,1,7.39
Bayern Munchen,Thiago Alcántara,7,28,49,2,2,7.39
Borussia Mgladbach,Raffael,25,51,79,10,13,7.39
Bayern Munchen,Thomas Müller,26,77,37,9,20,7.38
Borussia Mgladbach,Granit Xhaka,12,25,29,0,3,7.35
Borussia Dortmund,Mats Hummels,22,9,23,2,2,7.31
Borussia Dortmund,Pierre-Emerick Aubameyang,26,96,15,20,25,7.30
1 Fc Koln,Marcel Risse,9,35,45,0,3,7.30
Ingolstadt,Pascal Groß,2,42,19,3,1,7.30
Vfb Stuttgart,Daniel Ginczek,25,12,15,3,3,7.29
Bayern Munchen,Arjen Robben,10,42,26,4,4,7.28
Fc Schalke 04,Joël Matip,11,27,12,4,3,7.26
Darmstadt 98,Sandro Wagner,18,76,16,6,14,7.26
Bayern Munchen,Xabi Alonso,0,13,4,0,0,7.25
Werder Bremen,Papy Djilobodji,10,21,8,1,2,7.25
Werder Bremen,Zlatko Junuzović,11,37,18,1,4,7.24
Borussia Mgladbach,Ibrahima Traoré,11,28,74,2,3,7.24
Bayern Munchen,Philipp Lahm,14,7,11,1,1,7.23
Wolfsburg,Naldo,0,40,11,0,0,7.23
Bayern Munchen,Douglas Costa,8,49,90,5,4,7.23
Borussia Mgladbach,Mahmoud Dahoud,16,31,32,1,5,7.21
Bayer 04 Leverkusen,Hakan Çalhanoğlu,5,59,32,2,3,7.20
Borussia Dortmund,Roman Weidenfeller,0,0,0,0,0,7.20
Hamburger Sv,Tom Mickel,0,0,0,0,0,7.20
Borussia Mgladbach,Lars Stindl,13,56,37,11,7,7.20
Bayern Munchen,Jérôme Boateng,0,5,4,0,0,7.19
Bayer 04 Leverkusen,Benjamin Henrichs,0,0,0,0,0,7.19
Bayern Munchen,Javi Martínez,8,12,1,0,1,7.19
Borussia Dortmund,Marco Reus,23,53,32,10,12,7.18
Eintracht Frankfurt,Alexander Meier,32,37,5,5,12,7.17
Bayer 04 Leverkusen,Javier Hernández,31,54,22,8,17,7.17
Bayern Munchen,Medhi Benatia,13,8,6,0,1,7.16
1 Fsv Mainz 05,Alexander Hack,0,2,7,1,0,7.16
Wolfsburg,Ricardo Rodríguez,11,19,19,0,2,7.15
Borussia Mgladbach,Tobias Sippel,0,0,0,0,0,7.15
Fc Schalke 04,Leon Goretzka,3,30,29,3,1,7.15
Bayern Munchen,David Alaba,5,19,15,0,1,7.15
1 Fc Koln,Mërgim Mavraj,0,5,2,0,0,7.15
Hertha Bsc,John Brooks,11,9,5,1,1,7.15
Wolfsburg,Vieirinha,5,21,27,2,1,7.14
Bayern Munchen,Kingsley Coman,14,28,85,5,4,7.14
1899 Hoffenheim,Oliver Baumann,0,0,0,0,0,7.12
Borussia Dortmund,Matthias Ginter,23,13,12,0,3,7.12
Augsburg,Daniel Baier,6,16,9,1,1,7.12
Bayer 04 Leverkusen,Ömer Toprak,9,11,5,2,1,7.12
1 Fc Koln,Jonas Hector,0,7,33,0,0,7.12
Wolfsburg,Timm Klose,33,3,3,0,1,7.11
Vfb Stuttgart,Christian Gentner,15,34,22,3,5,7.11
Borussia Mgladbach,Andreas Christensen,20,15,7,2,3,7.11
1 Fsv Mainz 05,Leon Balogun,9,11,10,0,1,7.10
Wolfsburg,Ivan Perišić,50,2,1,0,1,7.10
Ingolstadt,Danilo Soares,0,1,2,0,0,7.10
Wolfsburg,Francisco Jose Rodriguez,0,0,0,0,0,7.10
Hamburger Sv,Lewis Holtby,14,22,44,2,3,7.09
Vfb Stuttgart,Daniel Didavi,18,71,36,5,13,7.09
Hannover 96,Hiroshi Kiyotake,25,20,29,0,5,7.09
Borussia Dortmund,Gonzalo Castro,17,18,17,3,3,7.08
Borussia Dortmund,Julian Weigl,0,7,24,0,0,7.08
Darmstadt 98,Aytaç Sulu,35,20,3,2,7,7.08
Wolfsburg,Julian Draxler,18,34,67,1,6,7.08
Hamburger Sv,Jaroslav Drobný,0,0,1,0,0,7.07
Augsburg,Caiuby,7,56,43,3,4,7.07
Fc Schalke 04,Eric Maxim Choupo-Moting,16,37,86,0,6,7.07
Borussia Dortmund,Shinji Kagawa,32,28,20,6,9,7.07
Fc Schalke 04,Benedikt Höwedes,14,7,0,0,1,7.06
Werder Bremen,Claudio Pizarro,36,39,29,6,14,7.06
1 Fc Koln,Anthony Modeste,16,92,11,19,15,7.06
1 Fsv Mainz 05,Stefan Bell,7,14,11,1,1,7.05
Borussia Dortmund,Neven Subotić,0,1,1,0,0,7.05
Borussia Dortmund,Łukasz Piszczek,0,9,9,0,0,7.05
Borussia Dortmund,Adrian Ramos,31,29,13,7,9,7.05
Vfb Stuttgart,Mitchell Langerak,0,0,0,0,0,7.05
Bayer 04 Leverkusen,Jonathan Tah,0,13,14,0,0,7.05
1 Fc Koln,Dominic Maroh,13,15,0,1,2,7.05
Bayern Munchen,Rafinha,0,6,12,0,0,7.04
1899 Hoffenheim,Kevin Volland,17,46,58,5,8,7.04
1 Fsv Mainz 05,Danny Latza,0,25,10,1,0,7.04
Wolfsburg,Dante,7,15,3,0,1,7.03
Bayer 04 Leverkusen,Kevin Kampl,14,21,26,1,3,7.03
1 Fsv Mainz 05,Karim Onisiwo,10,10,7,0,1,7.03
Borussia Mgladbach,Håvard Nordtveit,24,17,9,1,4,7.03
Augsburg,Ja-Cheol Koo,32,25,29,1,8,7.02
Ingolstadt,Benjamin Hübner,6,18,6,1,1,7.02
Bayer 04 Leverkusen,Charles Aránguiz,20,10,2,1,2,7.02
Bayern Munchen,Holger Badstuber,0,3,0,0,0,7.02
Bayern Munchen,Joshua Kimmich,0,6,6,0,0,7.01
Wolfsburg,Maximilian Arnold,13,24,18,1,3,7.01
Fc Schalke 04,Roman Neustädter,0,9,1,1,0,7.01
Ingolstadt,Tobias Levels,25,4,4,0,1,7.01
Hertha Bsc,Vedad Ibišević,19,53,18,6,10,7.00
Wolfsburg,Josuha Guilavogui,11,18,18,0,2,7.00
Borussia Dortmund,Sven Bender,0,3,7,1,0,7.00
Hannover 96,Salif Sané,10,21,33,1,2,7.00
Werder Bremen,Arón Johannssón,18,11,6,2,2,7.00
Werder Bremen,Clemens Fritz,6,16,42,0,1,7.00
1899 Hoffenheim,Andrej Kramarić,15,33,20,5,5,6.99
Werder Bremen,Philipp Bargfrede,0,8,4,0,0,6.99
1899 Hoffenheim,Niklas Süle,0,7,4,1,0,6.98
Werder Bremen,Jannik Vestergaard,6,33,18,0,2,6.98
Eintracht Frankfurt,Marc Stendera,8,26,46,1,2,6.98
1 Fsv Mainz 05,Julian Baumgartlinger,20,10,17,0,2,6.98
Wolfsburg,Bas Dost,22,36,5,7,8,6.98
1 Fc Koln,Frederik Sørensen,0,4,6,1,0,6.98
Darmstadt 98,Florian Jungwirth,0,7,1,0,0,6.98
Fc Schalke 04,Klaas-Jan Huntelaar,21,56,14,10,12,6.98
Wolfsburg,Koen Casteels,0,0,0,0,0,6.98
Wolfsburg,Max Kruse,12,50,38,10,6,6.98
Vfb Stuttgart,Lukas Rupp,17,29,34,2,5,6.97
Hamburger Sv,Cléber Reis,7,14,15,3,1,6.97
Hertha Bsc,Fabian Lustenberger,11,9,0,1,1,6.97
Ingolstadt,Markus Suttner,0,14,9,0,0,6.97
Borussia Dortmund,Sokratis,13,8,9,0,1,6.97
Augsburg,Marwin Hitz,0,0,0,0,0,6.97
Augsburg,Jeong-Ho Hong,17,12,4,0,2,6.97
1 Fsv Mainz 05,Gaëtan Bussmann,17,6,5,0,1,6.97
Werder Bremen,Santiago García,0,6,20,0,0,6.97
1 Fsv Mainz 05,Loris Karius,0,0,1,0,0,6.96
Werder Bremen,Anthony Ujah,21,52,19,11,11,6.96
1 Fc Koln,Dominique Heintz,20,10,13,0,2,6.96
Hertha Bsc,Sebastian Langkamp,0,1,3,1,0,6.95
Eintracht Frankfurt,Szabolcs Huszti,10,10,9,0,1,6.95
1 Fc Koln,Timo Horn,0,0,0,0,0,6.95
Bayern Munchen,Mario Götze,18,17,19,5,3,6.95
Hannover 96,Ron-Robert Zieler,0,0,0,0,0,6.95
Augsburg,Ragnar Klavan,0,7,9,0,0,6.95
Werder Bremen,Florian Grillitsch,6,18,11,3,1,6.94
Fc Schalke 04,Ralf Fährmann,0,0,0,0,0,6.94
Augsburg,Alexander Esswein,9,35,32,0,3,6.94
Hertha Bsc,Niklas Stark,18,11,4,0,2,6.94
Hamburger Sv,Emir Spahić,0,8,8,0,0,6.94
Bayern Munchen,Manuel Neuer,0,0,1,0,0,6.94
Ingolstadt,Roger,10,10,11,0,1,6.94
Hamburger Sv,Aaron Hunt,7,15,23,1,1,6.93
Hamburger Sv,Albin Ekdal,0,2,13,0,0,6.93
Augsburg,Paul Verhaegh,67,9,5,1,6,6.93
Hertha Bsc,Rune Jarstein,0,0,0,0,0,6.93
Borussia Mgladbach,André Hahn,33,24,4,0,8,6.93
Bayer 04 Leverkusen,Stefan Kießling,13,40,21,11,5,6.93
Vfb Stuttgart,Georg Niedermeier,30,10,0,1,3,6.92
Darmstadt 98,Slobodan Rajković,20,5,2,0,1,6.92
Augsburg,Raúl Bobadilla,9,46,51,7,4,6.92
Augsburg,Jan-Ingwer Callsen-Bracker,100,1,0,0,1,6.92
1 Fc Koln,Leonardo Bittencourt,10,31,33,4,3,6.92
Bayer 04 Leverkusen,Bernd Leno,0,0,0,0,0,6.92
Augsburg,Jeffrey Gouweleeuw,0,2,2,1,0,6.92
Hamburger Sv,Pierre-Michel Lasogga,19,43,18,1,8,6.92
Hertha Bsc,Tolga Ciğerci,0,17,17,2,0,6.92
Vfb Stuttgart,Serey Dié,13,8,38,0,1,6.92
Wolfsburg,André Schürrle,17,53,33,9,9,6.92
Borussia Dortmund,Erik Durm,11,9,14,3,1,6.92
Wolfsburg,Marcel Schafer,9,11,8,1,1,6.91
Ingolstadt,Marvin Matip,9,23,4,2,2,6.91
Ingolstadt,Danny da Costa,0,4,21,0,0,6.91
Eintracht Frankfurt,Marco Fabián,0,12,15,0,0,6.91
Ingolstadt,Moritz Hartmann,26,47,6,7,12,6.91
Hertha Bsc,Vladimír Darida,19,27,16,0,5,6.91
1 Fsv Mainz 05,Yunus Malli,24,46,58,7,11,6.91
Eintracht Frankfurt,Lukáš Hrádecký,0,0,0,0,0,6.91
1899 Hoffenheim,Nadiem Amiri,14,29,28,0,4,6.90
Hertha Bsc,Florian Kohls,0,1,0,0,0,6.90
Werder Bremen,Theodor Gebre Selassie,7,15,21,0,1,6.90
1899 Hoffenheim,Tobias Strobl,0,9,13,0,0,6.90
Bayern Munchen,Serdar Taşçı,0,1,0,0,0,6.90
Hannover 96,Ceyhun Gülselam,0,13,5,0,0,6.90
1 Fc Koln,Yannick Gerhardt,9,22,17,2,2,6.90
Borussia Dortmund,Marcel Schmelzer,0,17,9,1,0,6.90
1899 Hoffenheim,Eduardo Vargas,8,25,34,1,2,6.90
Ingolstadt,Robert Bauer,25,4,14,0,1,6.90
Wolfsburg,Robin Knoche,50,2,2,0,1,6.89
1 Fsv Mainz 05,Daniel Brosinski,8,12,18,0,1,6.89
Bayern Munchen,Juan Bernat,0,5,18,0,0,6.89
Hamburger Sv,Johan Djourou,33,6,2,1,2,6.88
Darmstadt 98,Peter Niemeyer,9,23,4,1,2,6.88
1899 Hoffenheim,Ermin Bičakčić,0,6,3,2,0,6.88
Hamburger Sv,Ivo Iličević,11,37,48,5,4,6.88
Borussia Mgladbach,Nico Elvedi,0,1,8,0,0,6.88
Borussia Mgladbach,Thorgan Hazard,12,33,41,5,4,6.88
Borussia Mgladbach,Jonas Hofmann,9,11,8,2,1,6.88
Borussia Mgladbach,Oscar Wendt,21,14,19,0,3,6.88
Bayer 04 Leverkusen,Karim Bellarabi,11,56,86,7,6,6.88
1 Fc Koln,Marcel Hartel,0,2,4,0,0,6.88
Fc Schalke 04,Younès Belhanda,17,12,14,1,2,6.87
1899 Hoffenheim,Sebastian Rudy,29,7,19,0,2,6.87
Fc Schalke 04,Junior Caiçara,0,8,15,1,0,6.87
Wolfsburg,Luiz Gustavo,6,18,14,2,1,6.87
Vfb Stuttgart,Arianit Ferati,0,1,3,0,0,6.87
Hertha Bsc,Genki Haraguchi,8,24,55,1,2,6.87
Fc Schalke 04,Pierre-Emile Højbjerg,0,16,20,1,0,6.87
Borussia Dortmund,Nuri Şahin,0,3,2,0,0,6.86
Hamburger Sv,René Adler,0,0,1,0,0,6.86
1 Fsv Mainz 05,Niko Bungert,0,3,1,0,0,6.86
Ingolstadt,Mathew Leckie,12,26,56,1,3,6.86
Eintracht Frankfurt,Luc Castaignos,27,15,14,2,4,6.86
Borussia Mgladbach,Fabian Johnson,27,22,21,2,6,6.86
Bayer 04 Leverkusen,Christoph Kramer,0,3,30,0,0,6.86
Hannover 96,Artur Sobiech,37,19,7,2,7,6.86
Fc Schalke 04,Max Meyer,16,32,36,1,5,6.85
1899 Hoffenheim,Tarik Elyounoussi,0,3,5,0,0,6.85
Wolfsburg,Sebastian Jung,0,4,7,1,0,6.85
Hertha Bsc,Per Ciljan Skjelbred,0,2,19,0,0,6.85
1 Fsv Mainz 05,Giulio Donati,0,2,13,0,0,6.85
1 Fsv Mainz 05,Fabian Frei,0,8,6,0,0,6.85
Hertha Bsc,Marvin Plattenhardt,22,9,10,0,2,6.85
Hamburger Sv,Matthias Ostrzolek,0,9,19,0,0,6.84
1 Fsv Mainz 05,Christian Clemens,13,40,17,3,5,6.84
1 Fc Koln,Kevin Vogt,0,7,7,1,0,6.83
Borussia Mgladbach,Tony Jantschke,0,4,1,0,0,6.83
Augsburg,Tobias Werner,0,18,2,4,0,6.83
Vfb Stuttgart,Alexandru Maxim,4,24,20,2,1,6.83
Hannover 96,Kenan Karaman,9,35,35,1,3,6.83
Bayer 04 Leverkusen,Wendell,0,13,25,0,0,6.83
Hannover 96,Hugo Almeida,11,9,2,1,1,6.83
Darmstadt 98,Luca Caldirola,0,12,2,2,0,6.83
1 Fsv Mainz 05,Yoshinori Muto,26,27,23,11,7,6.83
Fc Schalke 04,Sead Kolašinac,13,8,7,0,1,6.82
Vfb Stuttgart,Filip Kostić,14,35,69,3,5,6.82
Hertha Bsc,Salomon Kalou,32,44,50,5,14,6.82
1899 Hoffenheim,Fabian Schär,7,15,9,0,1,6.82
Bayer 04 Leverkusen,Vladlen Yurchenko,20,5,0,0,1,6.82
Hannover 96,Alexander Milošević,0,5,0,0,0,6.81
Augsburg,Konstantinos Stafylidis,13,8,6,0,1,6.81
Bayer 04 Leverkusen,Kyriakos Papadopoulos,0,12,1,2,0,6.81
Eintracht Frankfurt,Haris Seferović,6,47,23,6,3,6.80
Werder Bremen,Fin Bartels,22,36,48,5,8,6.80
Hannover 96,Hotaru Yamaguchi,0,3,2,0,0,6.80
Fc Schalke 04,Dennis Aogo,0,6,4,2,0,6.80
1 Fc Koln,Simon Zoller,24,25,11,1,6,6.80
1 Fc Koln,Yuya Osako,4,24,21,5,1,6.80
Fc Schalke 04,Leroy Sané,16,50,91,5,8,6.79
Eintracht Frankfurt,Bastian Oczipka,0,9,40,0,0,6.79
Wolfsburg,Christian Träsch,0,6,21,0,0,6.79
Eintracht Frankfurt,Marco Russ,16,19,7,0,3,6.79
1 Fc Koln,Filip Mladenović,0,13,9,0,0,6.79
Darmstadt 98,Jérôme Gondorf,17,18,17,0,3,6.79
Borussia Mgladbach,Yann Sommer,0,0,0,0,0,6.79
Augsburg,Alfreð Finnbogason,28,25,9,7,7,6.79
Hannover 96,Miiko Albornoz,0,4,24,0,0,6.78
Hannover 96,Marcelo,20,5,1,0,1,6.78
1899 Hoffenheim,Eugen Polański,6,17,16,1,1,6.78
Borussia Dortmund,Christian Pulišić,33,6,13,1,2,6.78
1 Fc Koln,Matthias Lehmann,0,9,7,1,0,6.78
Hamburger Sv,Marcelo Díaz,0,9,4,0,0,6.77
Hannover 96,Andre Hoffmann,0,4,3,0,0,6.77
Augsburg,Dominik Kohr,0,17,12,1,0,6.77
Hamburger Sv,Michael Gregoritsch,12,43,6,4,5,6.77
Bayer 04 Leverkusen,Admir Mehmedi,10,20,35,3,2,6.77
Eintracht Frankfurt,Makoto Hasebe,20,5,8,0,1,6.77
1899 Hoffenheim,Mark Uth,30,27,16,2,8,6.77
Bayer 04 Leverkusen,Julian Brandt,38,24,29,3,9,6.77
Borussia Dortmund,Adnan Januzaj,0,3,9,1,0,6.77
1899 Hoffenheim,Pirmin Schwegler,0,4,4,0,0,6.77
Ingolstadt,Darío Lezcano,9,22,23,4,2,6.76
Wolfsburg,Daniel Caligiuri,6,32,54,2,2,6.76
Bayern Munchen,Franck Ribéry,18,11,31,2,2,6.76
Ingolstadt,Almog Cohen,0,10,5,1,0,6.76
Ingolstadt,Romain Brégerie,0,10,0,0,0,6.76
Eintracht Frankfurt,David Abraham,0,9,7,0,0,6.76
Darmstadt 98,Konstantin Rausch,6,32,5,2,2,6.76
Hannover 96,Iver Fossum,0,10,5,1,0,6.76
Augsburg,Philipp Max,0,6,5,0,0,6.75
Eintracht Frankfurt,Stefan Reinartz,20,5,8,0,1,6.75
Borussia Dortmund,Ju Ho Park,0,2,6,1,0,6.75
Ingolstadt,Konstantin Engel,0,2,1,0,0,6.75
Ingolstadt,Lukas Hinterseer,29,21,12,3,6,6.75
Darmstadt 98,Mario Vrančić,22,9,6,4,2,6.75
Bayer 04 Leverkusen,Marlon Frey,0,7,2,0,0,6.74
Borussia Dortmund,Roman Bürki,0,0,1,0,0,6.74
Hamburger Sv,Nicolai Müller,31,29,34,6,9,6.74
Bayer 04 Leverkusen,André Ramalho,0,6,2,1,0,6.74
Eintracht Frankfurt,Carlos Zambrano,0,3,12,0,0,6.74
Werder Bremen,Alejandro Gálvez,25,4,2,0,1,6.74
1 Fsv Mainz 05,Jhon Córdoba,19,27,27,11,5,6.74
Hamburger Sv,Gotoku Sakai,0,9,20,0,0,6.74
