Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Manchester United,Sergio Romero,0,0,0,0,0,8.00
Manchester United,Demetri Mitchell,0,0,2,0,0,8.00
Arsenal,Alexis Sánchez,28,86,108,8,24,7.71
Chelsea,Eden Hazard,27,60,143,8,16,7.68
Manchester United,Paul Pogba,7,76,72,5,5,7.66
Tottenham,Harry Kane,33,89,38,11,29,7.56
Liverpool,Philippe Coutinho,19,69,70,4,13,7.52
Crystal Palace,Mile Jedinak,0,0,0,0,0,7.50
Manchester United,Josh Harrop,50,2,1,0,1,7.50
Manchester City,Kevin De Bruyne,10,61,52,3,6,7.50
West Ham United,Dimitri Payet,6,35,47,2,2,7.48
Tottenham,Christian Eriksen,9,86,27,3,8,7.46
Southampton,Virgil van Dijk,8,12,8,0,1,7.45
Manchester City,Gabriel Jesus,33,21,12,3,7,7.40
Liverpool,Jordan Henderson,8,13,5,0,1,7.38
Chelsea,Cesc Fàbregas,24,21,12,0,5,7.37
Manchester United,Ander Herrera,4,23,30,1,1,7.36
Manchester City,Sergio Agüero,20,102,78,13,20,7.36
Everton,Romelu Lukaku,29,86,63,7,25,7.35
Manchester City,Nicolás Otamendi,9,11,11,0,1,7.34
Manchester United,Zlatan Ibrahimović,20,83,17,18,17,7.33
Tottenham,Jan Vertonghen,0,9,26,0,0,7.31
Arsenal,Mesut Özil,27,30,32,4,8,7.31
Swansea City,Gylfi Sigurðsson,10,86,32,2,9,7.30
Manchester City,Vincent Kompany,38,8,2,0,3,7.28
Manchester United,Daley Blind,25,4,7,0,1,7.25
Manchester United,Eric Bailly,0,4,14,1,0,7.25
Everton,Idrissa Gueye,7,15,26,2,1,7.25
Manchester United,Phil Jones,0,1,5,0,0,7.25
Everton,Phil Jagielka,25,12,2,0,3,7.25
Manchester City,Aleksandar Kolarov,4,25,22,0,1,7.24
Liverpool,Sadio Mané,34,38,68,3,13,7.24
Manchester City,David Silva,11,36,46,4,4,7.24
Chelsea,Pedro,20,46,56,2,9,7.23
West Ham United,Manuel Lanzini,15,54,88,1,8,7.22
Chelsea,David Luiz,5,21,14,0,1,7.22
Chelsea,Nathan Aké,60,5,3,1,3,7.22
Tottenham,Toby Alderweireld,4,23,4,1,1,7.21
Manchester City,Yaya Touré,18,28,27,1,5,7.20
Liverpool,Roberto Firmino,16,69,69,8,11,7.20
Bournemouth,Steve Cook,9,23,19,1,2,7.19
West Ham United,Winston Reid,22,9,10,0,2,7.19
Chelsea,N'Golo Kanté,6,17,36,2,1,7.19
Chelsea,César Azpilicueta,6,16,12,0,1,7.17
Burnley,Ben Mee,7,14,1,0,1,7.16
Arsenal,Granit Xhaka,8,26,19,0,2,7.16
Liverpool,Joël Matip,6,18,10,2,1,7.16
Manchester City,İlkay Gündoğan,27,11,11,0,3,7.15
Tottenham,Victor Wanyama,13,31,51,3,4,7.14
Tottenham,Danny Rose,13,15,25,0,2,7.14
Arsenal,Shkodran Mustafi,13,16,14,1,2,7.14
Manchester United,Antonio Valencia,20,5,37,1,1,7.14
West Ham United,Andy Carroll,24,29,3,1,7,7.14
Chelsea,Gary Cahill,30,20,4,0,6,7.14
Crystal Palace,Christian Benteke,17,88,28,12,15,7.14
Chelsea,Diego Costa,25,79,56,12,20,7.13
Manchester United,Marcos Rojo,9,11,10,0,1,7.13
Southampton,Oriol Romeu,6,18,29,0,1,7.13
Everton,Ashley Williams,8,12,2,1,1,7.13
Arsenal,Santi Cazorla,33,6,9,0,2,7.13
Leicester City,Wilfred Ndidi,9,22,13,1,2,7.12
Swansea City,Alfie Mawson,22,18,19,1,4,7.12
Liverpool,Dejan Lovren,17,12,1,0,2,7.11
Manchester United,Juan Mata,19,32,15,5,6,7.11
West Bromwich Albion,Gareth McAuley,40,15,18,1,6,7.11
Hull City,Harry Maguire,7,29,29,2,2,7.11
Tottenham,Kieran Trippier,0,1,0,0,0,7.11
Burnley,Michael Keane,13,15,5,0,2,7.11
Tottenham,Kyle Walker,0,14,35,0,0,7.10
Chelsea,Willian,24,34,52,0,8,7.10
Tottenham,Eric Dier,12,17,4,1,2,7.10
Manchester City,Fernandinho,7,27,30,4,2,7.10
Manchester United,Joel Pereira,0,0,0,0,0,7.10
Southampton,Nathan Redmond,11,61,72,1,7,7.09
Chelsea,Marcos Alonso,17,36,21,2,6,7.08
Stoke City,Marc Muniesa,25,4,4,0,1,7.08
Southampton,Charlie Austin,19,32,2,3,6,7.07
Arsenal,Laurent Koscielny,33,6,4,0,2,7.07
Stoke City,Xherdan Shaqiri,13,30,38,1,4,7.07
Southampton,Maya Yoshida,8,13,1,1,1,7.07
Liverpool,James Milner,27,26,31,2,7,7.06
Chelsea,Nemanja Matić,8,13,29,0,1,7.06
Tottenham,Ben Davies,17,6,8,0,1,7.05
Everton,Ross Barkley,8,62,62,5,5,7.05
Sunderland,Jordan Pickford,0,0,0,0,0,7.04
Tottenham,Dele Alli,24,74,51,11,18,7.04
West Ham United,Pedro Obiang,14,7,21,0,1,7.04
Manchester United,Michael Carrick,0,5,7,0,0,7.04
West Bromwich Albion,Jonny Evans,29,7,23,1,2,7.04
Tottenham,Mousa Dembélé,14,7,78,0,1,7.03
Middlesbrough,Calum Chambers,29,7,10,0,2,7.03
Liverpool,Emre Can,17,30,21,2,5,7.03
Arsenal,Alex Oxlade-Chamberlain,11,18,61,3,2,7.03
Leicester City,Christian Fuchs,12,17,13,1,2,7.02
Bournemouth,Harry Arter,3,40,25,2,1,7.02
Tottenham,Heung-Min Son,24,59,47,5,14,7.02
Burnley,Matthew Lowton,0,6,24,1,0,7.01
Everton,Gareth Barry,17,12,12,0,2,7.01
Middlesbrough,Ben Gibson,9,11,17,0,1,7.01
Bournemouth,Jack Wilshere,0,17,60,2,0,7.01
Liverpool,Lucas Leiva,0,6,3,1,0,7.01
Stoke City,Geoff Cameron,0,7,26,1,0,7.01
Hull City,Curtis Davies,0,10,4,0,0,7.00
Southampton,Martín Cáceres,0,1,0,0,0,7.00
Arsenal,Per Mertesacker,0,0,0,0,0,7.00
Stoke City,Lee Grant,0,0,0,0,0,7.00
Arsenal,Carl Jenkinson,0,0,0,0,0,7.00
Watford,Adrian Mariappa,0,2,1,0,0,7.00
West Ham United,James Collins,20,10,1,0,2,7.00
Burnley,Tom Heaton,0,0,0,0,0,7.00
Everton,Leighton Baines,17,12,12,1,2,7.00
West Bromwich Albion,Chris Brunt,11,28,17,0,3,7.00
