Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Manchester United,Sergio Romero,0,72,33,0,0,8.00
Manchester United,Demetri Mitchell,2,86,43,0,0,8.00
Arsenal,Alexis Sánchez,83,74,1209,10,10,7.71
Chelsea,Eden Hazard,91,84,1474,5,3,7.68
Manchester United,Paul Pogba,59,85,1852,4,7,7.66
Tottenham,Harry Kane,42,72,428,7,7,7.56
Liverpool,Philippe Coutinho,66,84,1175,7,7,7.52
Crystal Palace,Mile Jedinak,2,71,48,0,0,7.50
Manchester United,Josh Harrop,1,98,40,0,0,7.50
Manchester City,Kevin De Bruyne,106,82,1476,18,24,7.50
West Ham United,Dimitri Payet,74,81,616,6,5,7.48
Tottenham,Christian Eriksen,114,80,1585,15,16,7.46
Southampton,Virgil van Dijk,6,84,825,0,1,7.45
Manchester City,Gabriel Jesus,10,81,196,4,3,7.40
Liverpool,Jordan Henderson,33,86,1767,4,3,7.38
Chelsea,Cesc Fàbregas,62,84,1120,12,11,7.37
Manchester United,Ander Herrera,36,88,1830,6,5,7.36
Manchester City,Sergio Agüero,32,82,635,3,6,7.36
Everton,Romelu Lukaku,47,65,632,6,8,7.35
Manchester City,Nicolás Otamendi,6,88,1718,1,2,7.34
Manchester United,Zlatan Ibrahimović,48,74,767,5,8,7.33
Tottenham,Jan Vertonghen,8,85,1749,0,0,7.31
Arsenal,Mesut Özil,102,87,1827,9,9,7.31
Swansea City,Gylfi Sigurðsson,81,77,801,13,16,7.30
Manchester City,Vincent Kompany,2,88,491,0,1,7.28
Manchester United,Daley Blind,28,86,893,2,3,7.25
Manchester United,Eric Bailly,1,86,749,0,0,7.25
Everton,Idrissa Gueye,25,86,1627,1,2,7.25
Manchester United,Phil Jones,2,89,707,0,1,7.25
Everton,Phil Jagielka,5,83,1008,2,1,7.25
Manchester City,Aleksandar Kolarov,15,84,1570,1,1,7.24
Liverpool,Sadio Mané,44,78,791,5,4,7.24
Manchester City,David Silva,85,87,1810,7,11,7.24
Chelsea,Pedro,43,83,783,9,5,7.23
West Ham United,Manuel Lanzini,58,87,1380,2,5,7.22
Chelsea,David Luiz,10,84,1313,0,3,7.22
Chelsea,Nathan Aké,4,89,359,1,2,7.22
Tottenham,Toby Alderweireld,7,83,1266,0,0,7.21
Manchester City,Yaya Touré,20,90,1614,0,1,7.20
Liverpool,Roberto Firmino,77,79,1226,7,10,7.20
Bournemouth,Steve Cook,3,82,1407,0,1,7.19
West Ham United,Winston Reid,8,81,794,2,1,7.19
Chelsea,N'Golo Kanté,23,89,1884,1,2,7.19
Chelsea,César Azpilicueta,22,87,2145,4,1,7.17
Burnley,Ben Mee,6,73,840,0,1,7.16
Arsenal,Granit Xhaka,37,89,2055,2,3,7.16
Liverpool,Joël Matip,10,87,1480,0,0,7.16
Manchester City,İlkay Gündoğan,12,92,464,1,1,7.15
Tottenham,Victor Wanyama,32,87,1724,1,2,7.14
Tottenham,Danny Rose,26,77,605,2,1,7.14
Arsenal,Shkodran Mustafi,9,83,1293,2,1,7.14
Manchester United,Antonio Valencia,32,86,1175,3,3,7.14
West Ham United,Andy Carroll,14,58,253,1,3,7.14
Chelsea,Gary Cahill,5,88,1634,0,0,7.14
Crystal Palace,Christian Benteke,32,60,548,2,1,7.14
Chelsea,Diego Costa,43,75,778,7,6,7.13
Manchester United,Marcos Rojo,5,86,819,0,0,7.13
Southampton,Oriol Romeu,17,84,1743,0,1,7.13
Everton,Ashley Williams,10,82,1410,3,1,7.13
Arsenal,Santi Cazorla,10,91,511,2,1,7.13
Leicester City,Wilfred Ndidi,6,76,523,1,1,7.12
Swansea City,Alfie Mawson,4,83,1009,0,1,7.12
Liverpool,Dejan Lovren,8,86,1730,1,0,7.11
Manchester United,Juan Mata,45,90,888,3,4,7.11
West Bromwich Albion,Gareth McAuley,5,66,489,1,0,7.11
Hull City,Harry Maguire,12,76,901,2,1,7.11
Tottenham,Kieran Trippier,14,76,264,5,5,7.11
Burnley,Michael Keane,8,73,819,1,1,7.11
Tottenham,Kyle Walker,39,80,1169,5,4,7.10
Chelsea,Willian,51,84,649,2,0,7.10
Tottenham,Eric Dier,16,87,1718,0,0,7.10
Manchester City,Fernandinho,34,87,1889,1,2,7.10
Manchester United,Joel Pereira,0,48,13,0,0,7.10
Southampton,Nathan Redmond,57,83,939,1,6,7.09
Chelsea,Marcos Alonso,24,78,972,3,4,7.08
Stoke City,Marc Muniesa,4,78,241,0,0,7.08
Southampton,Charlie Austin,8,63,160,1,2,7.07
Arsenal,Laurent Koscielny,3,88,1465,0,0,7.07
Stoke City,Xherdan Shaqiri,43,79,479,2,5,7.07
Southampton,Maya Yoshida,4,86,968,0,0,7.07
Liverpool,James Milner,59,80,1727,3,3,7.06
Chelsea,Nemanja Matić,26,88,1636,7,4,7.06
Tottenham,Ben Davies,29,79,834,3,4,7.05
Everton,Ross Barkley,85,83,1362,8,9,7.05
Sunderland,Jordan Pickford,4,46,440,0,2,7.04
Tottenham,Dele Alli,52,81,1072,7,5,7.04
West Ham United,Pedro Obiang,7,81,742,1,1,7.04
Manchester United,Michael Carrick,12,89,1124,0,0,7.04
West Bromwich Albion,Jonny Evans,8,80,756,1,0,7.04
Tottenham,Mousa Dembélé,25,92,1360,1,0,7.03
Middlesbrough,Calum Chambers,6,78,874,1,1,7.03
Liverpool,Emre Can,33,81,1352,2,2,7.03
