Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Vvv Venlo,Delano van Crooy,1,6,0,0,9,7.20
Ado Den Haag,Tim Coremans,0,3,0,0,4,7.20
Groningen,Sergio Padt,20,106,0,7,159,7.13
Vvv Venlo,Lars Unnerstall,6,80,2,8,128,7.01
Ado Den Haag,Robert Zwinkels,21,67,1,7,113,7.01
Nac Breda,Nigel Bertrams,1,31,0,4,72,7.01
Feyenoord,Justin Bijlow,0,8,1,0,10,7.00
Psv Eindhoven,Jeroen Zoet,8,57,1,13,96,6.98
Heracles Almelo,Bram Castro,5,98,0,4,161,6.97
Ajax,André Onana,8,46,2,12,98,6.95
Az Alkmaar,Marco Bizot,23,57,2,13,100,6.95
Willem Ii Tilburg,Mattijs Branderhorst,11,39,0,3,80,6.92
Ajax,Kostas Lamprou,0,3,0,0,4,6.90
Pec Zwolle,Diederik Boer,9,81,1,7,117,6.89
Sparta Rotterdam,Jannik Huth,2,42,1,2,66,6.89
Sparta Rotterdam,Roy Kortsmit,6,52,2,2,72,6.87
Roda Jc Kerkrade,Hidde Jurjus,22,84,1,3,133,6.84
Fc Twente,Joel Drommel,3,32,0,3,64,6.83
Excelsior,Ögmundur Kristinsson,4,39,0,2,66,6.83
Excelsior,Theo Zwarthoed,4,30,0,4,57,6.83
Nac Breda,Mark Birighitti,2,24,1,2,56,6.82
Heerenveen,Warner Hahn,4,9,0,3,21,6.80
Fc Utrecht,Nick Marsman,1,0,0,0,2,6.80
Sparta Rotterdam,Leonard Nienhuis,0,3,0,0,7,6.80
Feyenoord,Brad Jones,22,48,0,10,80,6.76
Vitesse,Remko Pasveer,8,39,0,6,70,6.69
Heerenveen,Martin Hansen,16,36,1,5,61,6.67
Vitesse,Jeroen Houwen,7,12,0,3,26,6.66
Fc Utrecht,David Jensen,9,48,0,7,87,6.66
Ado Den Haag,Indy Groothuizen,4,12,0,0,14,6.64
Willem Ii Tilburg,Timon Wellenreuther,16,30,0,1,49,6.58
Heerenveen,Wouter Van der Steen,2,3,0,0,5,6.58
Fc Twente,Jorn Brondeel,8,28,0,2,50,6.56
Excelsior,Alessandro Damen,0,3,0,0,6,6.53
Nac Breda,Karol Niemczycki,0,0,0,0,0,6.50
Psv Eindhoven,Eloy Room,1,3,0,0,5,6.40
Pec Zwolle,Mike Hauptmeijer,1,3,0,0,6,6.40
Nac Breda,Andries Noppert,0,4,0,0,8,6.27
Pec Zwolle,Mickey van der Hart,0,1,0,0,2,5.90
