Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Barcelona,Lionel Messi,81,13,12,134,36,8.43
Celta Vigo,Iago Aspas,82,6,16,20,20,7.63
Valencia,Dani Parejo,86,7,73,36,9,7.52
Real Madrid,Toni Kroos,93,4,51,14,0,7.43
Real Sociedad,Alex Sola,81,0,3,4,0,7.40
Atletico Madrid,Antoine Griezmann,78,9,31,20,15,7.38
Real Madrid,Karim Benzema,83,6,24,47,21,7.38
Valencia,Jaume Doménech,56,0,0,0,0,7.38
Barcelona,Luis Suárez,75,6,18,36,21,7.34
Atletico Madrid,Sergio Camello,89,0,1,0,1,7.30
Levante,Koke,75,0,0,0,0,7.30
Sevilla,Pablo Sarabia,80,13,30,28,12,7.28
Real Madrid,Sergio Ramos,92,1,41,3,6,7.26
Villarreal,Santi Cazorla,87,10,69,49,4,7.25
Barcelona,Ousmane Dembélé,81,5,23,68,8,7.24
Barcelona,Gerard Piqué,91,2,42,12,4,7.24
Eibar,Joan Jordan,83,4,63,47,4,7.21
Atletico Madrid,Carlos Isaac,85,0,0,2,0,7.20
Sevilla,Wissam Ben Yedder,74,9,18,46,18,7.20
Sevilla,Jesús Navas,77,5,28,35,1,7.18
Girona,Christian Stuani,68,0,23,14,19,7.18
Real Betis,Sergio Canales,88,2,44,58,7,7.18
Atletico Madrid,Koke,86,4,84,13,3,7.18
Barcelona,Ivan Rakitić,91,5,30,19,3,7.17
Atletico Madrid,Rodrigo,91,1,103,19,3,7.16
Girona,Gorka Iraizoz,60,0,1,1,0,7.16
Sevilla,Juan Soriano,43,0,0,0,0,7.15
Real Betis,Giovani Lo Celso,83,4,52,63,9,7.13
Atletico Madrid,José Giménez,81,0,26,7,0,7.13
Deportivo Alaves,Guillermo Maripán,75,2,46,2,2,7.13
Real Madrid,Luka Modrić,89,6,49,54,3,7.11
Sevilla,Éver Banega,85,4,71,59,3,7.11
Atletico Madrid,Andrés Solano,77,0,4,0,0,7.10
Real Betis,Joaquín,85,0,10,48,6,7.09
Atletico Madrid,Lucas Hernández,81,0,35,6,1,7.09
Real Madrid,Daniel Carvajal,87,2,40,34,1,7.09
Getafe,Jorge Molina,67,5,12,34,14,7.08
Levante,José Campaña,84,9,65,48,4,7.08
Eibar,José Ángel,68,1,66,45,1,7.08
Real Madrid,Casemiro,88,0,86,17,3,7.08
Atletico Madrid,Jan Oblak,49,0,1,1,0,7.07
Athletic Bilbao,Unai Núñez,87,0,15,2,0,7.07
Espanyol,Mario Hermoso,84,0,37,9,3,7.06
Barcelona,Jordi Alba,86,8,42,16,2,7.06
Valencia,Rodrigo,74,6,21,43,8,7.05
Girona,Alex Granell,76,4,64,21,0,7.05
Girona,Borja Garcia,83,3,39,37,1,7.05
Real Madrid,Gareth Bale,78,3,16,24,8,7.05
Deportivo Alaves,Jonathan Calleri,59,2,20,41,9,7.04
Real Madrid,Sergio Reguilón,86,2,25,11,0,7.04
Valencia,Geoffrey Kondogbia,84,1,47,22,1,7.03
Valencia,Gabriel Paulista,87,1,29,3,0,7.03
Atletico Madrid,Álvaro Morata,59,1,20,19,6,7.03
Valencia,Ezequiel Garay,84,0,20,2,2,7.03
Espanyol,Borja Iglesias,70,3,23,23,17,7.02
Real Betis,Zouhair Feddal,86,1,38,18,1,7.02
Real Sociedad,Willian José,75,5,5,19,11,7.02
Barcelona,Arturo Vidal,89,7,78,5,3,7.02
Real Betis,Joel Robles,77,0,1,0,0,7.02
Sevilla,Simon Kjær,86,0,29,0,0,7.02
Eibar,Rubén Peña,71,2,63,63,1,7.02
Atletico Madrid,Thomas Partey,84,4,66,36,3,7.02
Real Madrid,Marco Asensio,87,4,12,41,1,7.01
Villarreal,Sergio Asenjo,60,0,0,0,0,7.01
Real Valladolid,Nacho Martinez,71,3,110,13,1,7.01
Atletico Madrid,Santiago Arias,82,1,48,8,1,7.01
Getafe,Jaime Mata,63,6,30,12,14,7.00
Barcelona,Sergio Busquets,90,1,90,9,0,7.00
Athletic Bilbao,Iñaki Williams,70,4,27,54,13,7.00
Barcelona,Philippe Coutinho,88,2,16,51,5,7.00
Atletico Madrid,Antonio Adán,50,0,0,0,0,7.00
Deportivo Alaves,Jony,65,10,20,62,5,7.00
Espanyol,Naldo,81,1,18,2,1,7.00
Rayo Vallecano,Alejandro Catena Marugan,86,0,4,0,0,7.00
Real Sociedad,Ander Guevara,98,0,3,3,0,7.00
Real Valladolid,Miguel De La Fuente,67,0,0,0,0,7.00
Celta Vigo,Maximiliano Gómez,73,5,6,14,13,7.00
Real Sociedad,Rubén Pardo,83,2,11,8,1,7.00
Celta Vigo,Brais Méndez,79,7,61,19,6,6.99
