Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Hannover 96,Waldemar Anton,6,18,19,2,1,7.00
Fc Schalke 04,Yevhen Konoplyanka,9,44,18,4,4,7.00
Hamburger Sv,Lewis Holtby,30,20,10,0,6,6.99
Hannover 96,Felix Klaus,9,44,14,1,4,6.99
Bayer 04 Leverkusen,Julian Baumgartlinger,13,8,6,1,1,6.99
Hamburger Sv,Douglas Santos,8,13,41,0,1,6.99
Freiburg,Pascal Stenzel,9,11,18,0,1,6.99
Rb Leipzig,Timo Werner,17,76,25,14,13,6.98
Bayern Munchen,Sebastian Rudy,7,15,6,1,1,6.98
Hannover 96,Felipe,0,0,2,0,0,6.98
Bayer 04 Leverkusen,Wendell,22,9,21,1,2,6.98
Augsburg,Raphael Framberger,0,1,6,0,0,6.98
Freiburg,Christian Günter,5,21,34,1,1,6.98
Eintracht Frankfurt,Marius Wolf,19,26,42,3,5,6.98
Fc Schalke 04,Benjamin Stambouli,0,0,8,0,0,6.98
Vfb Stuttgart,Ron-Robert Zieler,0,0,1,0,0,6.97
Hamburger Sv,Kyriakos Papadopoulos,5,21,2,1,1,6.97
Eintracht Frankfurt,Ante Rebić,18,33,38,3,6,6.97
Werder Bremen,Niklas Moisander,14,14,7,2,2,6.97
Borussia Dortmund,Michy Batshuayi,29,24,7,8,7,6.97
1 Fsv Mainz 05,Danny Latza,6,34,20,0,2,6.97
Vfb Stuttgart,Erik Thommy,8,24,7,1,2,6.97
Fc Schalke 04,Max Meyer,0,4,13,0,0,6.97
Bayer 04 Leverkusen,Kevin Volland,30,46,26,7,14,6.97
Wolfsburg,Josuha Guilavogui,19,16,11,1,3,6.97
1 Fsv Mainz 05,Jean-Philippe Gbamin,5,21,31,1,1,6.96
1 Fc Koln,Marcel Risse,7,14,12,0,1,6.96
Hannover 96,Miiko Albornoz,0,4,9,0,0,6.96
Hertha Bsc,Fabian Lustenberger,0,2,4,0,0,6.96
Werder Bremen,Florian Kainz,14,22,27,2,3,6.96
Wolfsburg,Robin Knoche,25,4,3,1,1,6.95
Hertha Bsc,Davie Selke,26,39,25,7,10,6.95
Eintracht Frankfurt,Sébastien Haller,26,35,16,3,9,6.95
1 Fsv Mainz 05,Pablo De Blasis,19,27,14,0,5,6.95
Rb Leipzig,Emil Forsberg,8,25,40,0,2,6.95
1899 Hoffenheim,Kerem Demirbay,13,15,18,1,2,6.95
Augsburg,Daniel Baier,0,16,12,0,0,6.94
Wolfsburg,William,0,4,16,0,0,6.94
Borussia Dortmund,Jadon Sancho,13,8,17,3,1,6.94
1 Fsv Mainz 05,Daniel Brosinski,5,19,12,0,1,6.94
Wolfsburg,Admir Mehmedi,25,12,2,1,3,6.94
Wolfsburg,Koen Casteels,0,0,0,0,0,6.94
Hamburger Sv,Dennis Diekmeier,0,3,17,1,0,6.94
Borussia Dortmund,Mario Götze,20,10,16,1,2,6.94
Borussia Mgladbach,Vincenzo Grifo,0,9,9,1,0,6.94
Augsburg,Daniel Opare,0,5,24,0,0,6.94
Augsburg,Jeffrey Gouweleeuw,0,12,9,2,0,6.93
Bayern Munchen,Manuel Neuer,0,0,0,0,0,6.93
Borussia Dortmund,Andriy Yarmolenko,13,24,16,7,3,6.93
Vfb Stuttgart,Holger Badstuber,25,8,7,1,2,6.93
