Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Ado Den Haag,Robert Zwinkels,1,6,0,1,6,7.90
Ajax,Diederik Boer,0,1,0,1,3,7.40
Nec Nijmegen,Hannes Þór Halldórsson,5,16,0,4,33,7.10
Nec Nijmegen,Brad Jones,11,42,1,4,74,7.10
Ajax,Jasper Cillessen,25,38,0,18,78,6.98
Vitesse,Eloy Room,24,68,0,10,113,6.96
Groningen,Sergio Padt,19,77,1,8,123,6.96
Psv Eindhoven,Jeroen Zoet,20,45,0,13,101,6.91
De Graafschap,Hidde Jurjus,55,95,2,4,139,6.91
Pec Zwolle,Boy De Jong,2,3,0,0,3,6.90
Heracles Almelo,Bram Castro,7,73,1,10,126,6.90
Nec Nijmegen,Benjamin Kirsten,2,10,0,2,16,6.90
Excelsior,Tom Muyters,11,50,1,4,100,6.87
Excelsior,Filip Kurto,10,22,1,3,31,6.86
Feyenoord,Kenneth Vermeer,27,43,0,11,81,6.83
Az Alkmaar,Sergio Rochet,8,41,0,6,67,6.83
Pec Zwolle,Kevin Begois,10,32,0,4,53,6.80
Fc Utrecht,Robbin Ruiter,47,42,1,6,68,6.79
Heerenveen,Erwin Mulder,44,62,1,5,99,6.79
Willem Ii Tilburg,Kostas Lamprou,29,60,0,6,120,6.76
Roda Jc Kerkrade,Benjamin van Leer,12,59,2,8,95,6.75
Ado Den Haag,Martin Hansen,25,59,0,5,97,6.75
Pec Zwolle,Mickey van der Hart,9,38,0,2,70,6.73
Fc Twente,Nick Marsman,30,43,0,5,78,6.72
Nec Nijmegen,Marco Van Duin,0,4,0,0,8,6.67
Fc Utrecht,Filip Bednarek,9,10,0,0,12,6.66
Sc Cambuur,Leonard Nienhuis,9,66,0,1,96,6.58
Az Alkmaar,Gino Coutinho,4,16,0,1,31,6.54
Fc Twente,Joel Drommel,14,20,0,2,40,6.46
Sc Cambuur,Harm Zeinstra,5,17,0,1,25,6.35
