Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Saint Etienne,Jessy Moulin,0,5,0,0,5,7.80
Bordeaux,Gaetan Poussin,0,1,0,1,1,7.40
Strasbourg,Eiji Kawashima,0,1,0,1,1,7.30
Ogc Nice,Walter Benítez,3,69,3,16,116,7.22
Montpellier,Dimitry Bertaud,0,1,0,1,1,7.20
Dijon,Bobby Allain,5,35,0,1,57,7.09
Saint Etienne,Stéphane Ruffier,6,67,1,13,110,7.01
Stade Rennais,Abdoulaye Diallo,1,9,0,2,16,7.00
Stade De Reims,Edouard Mendy,13,58,0,14,111,7.00
Olympique Lyonnais,Mathieu Gorgelin,3,7,0,1,10,6.98
Lille Osc,Mike Maignan,12,56,2,15,94,6.95
Paris Saint Germain,Alphonse Aréola,3,30,0,11,50,6.95
Bordeaux,Benoît Costil,6,65,1,9,113,6.95
Paris Saint Germain,Gianluigi Buffon,2,26,1,6,51,6.94
Angers,Ludovic Butelle,16,83,2,11,116,6.92
Montpellier,Benjamin Lecomte,10,58,1,11,107,6.91
Caen,Brice Samba,4,87,2,9,142,6.90
Nimes Olympique,Paul Bernardoni,13,80,1,10,124,6.85
Angers,Zacharie Boucher,1,2,0,1,3,6.85
Fc Nantes,Ciprian Tătărușanu,15,40,3,7,65,6.84
Strasbourg,Matz Sels,10,59,2,8,101,6.80
Olympique Lyonnais,Anthony Lopes,11,53,0,9,95,6.80
Amiens,Regis Gurtner,4,70,2,11,116,6.78
As Monaco,Danijel Subašić,3,14,1,4,27,6.73
Toulouse,Mauro Goicoechea,5,15,0,3,23,6.71
Toulouse,Baptiste Reynet,17,56,1,6,100,6.71
Guingamp,Marc-Aurele Caillard,3,34,1,6,59,6.68
Olympique De Marseille,Steve Mandanda,8,42,1,9,73,6.67
Stade Rennais,Tomáš Koubek,14,55,1,9,91,6.66
As Monaco,Diego Benaglio,6,41,2,4,61,6.62
Olympique De Marseille,Yohann Pelé,4,9,1,3,13,6.54
Dijon,Rúnar Alex Rúnarsson,14,28,0,5,56,6.43
Guingamp,Karl-Johan Johnsson,5,21,1,4,44,6.39
Fc Nantes,Maxime Dupé,1,13,1,1,18,6.34
Ogc Nice,Yoan Cardinale,1,5,0,0,6,6.30
Fc Nantes,Alexandre Olliero,0,0,0,0,0,6.30
As Monaco,Seydou Sy,0,2,0,0,6,5.90
