Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Bayern Munchen,Joshua Kimmich,12,17,38,1,2,7.66
Bayern Munchen,Thiago Alcántara,15,13,57,1,2,7.54
Borussia Mgladbach,Thorgan Hazard,18,56,71,3,10,7.52
Fc Schalke 04,George Timotheou,0,1,0,0,0,7.50
Bayern Munchen,James Rodríguez,27,26,16,4,7,7.49
Bayern Munchen,Robert Lewandowski,20,109,51,32,22,7.46
Eintracht Frankfurt,Frederik Rønnow,0,0,0,0,0,7.45
1899 Hoffenheim,Kerem Demirbay,9,44,58,4,4,7.43
Rb Leipzig,Marcel Halstenberg,16,19,28,3,3,7.41
Werder Bremen,Max Kruse,17,66,37,8,11,7.41
Eintracht Frankfurt,Sébastien Haller,36,42,28,10,15,7.37
Hannover 96,Edgar Prib,0,4,4,1,0,7.37
Fortuna Dusseldorf,Kevin Stöger,4,24,27,2,1,7.35
1899 Hoffenheim,Ishak Belfodil,21,75,38,11,16,7.31
Borussia Dortmund,Jadon Sancho,43,28,113,3,12,7.28
Freiburg,Vincenzo Grifo,18,39,33,1,7,7.27
Bayern Munchen,Thomas Müller,11,54,23,12,6,7.26
Wolfsburg,Ignacio Camacho,0,5,1,1,0,7.25
Bayer 04 Leverkusen,Julian Brandt,14,51,55,7,7,7.24
Bayer 04 Leverkusen,Kevin Volland,19,73,31,11,14,7.23
Borussia Dortmund,Marco Reus,29,58,25,15,17,7.23
Rb Leipzig,Kevin Kampl,7,30,25,1,2,7.23
Bayern Munchen,Mats Hummels,6,17,10,3,1,7.23
Wolfsburg,Wout Weghorst,28,60,15,8,17,7.22
Rb Leipzig,Timo Werner,19,85,29,22,16,7.20
Bayern Munchen,Kingsley Coman,22,27,60,5,6,7.20
Rb Leipzig,Tyler Adams,0,2,14,0,0,7.19
Rb Leipzig,Willi Orbán,17,24,3,7,4,7.19
Rb Leipzig,Yussuf Poulsen,30,50,24,5,15,7.18
Bayer 04 Leverkusen,Kai Havertz,23,73,48,8,17,7.18
Wolfsburg,Maximilian Arnold,5,42,25,1,2,7.18
1899 Hoffenheim,Andrej Kramarić,22,77,28,18,17,7.17
Borussia Dortmund,Thomas Delaney,12,26,10,3,3,7.16
Bayern Munchen,Niklas Süle,12,17,3,1,2,7.15
Bayern Munchen,David Alaba,8,38,29,1,3,7.15
Borussia Dortmund,Łukasz Piszczek,17,6,8,0,1,7.15
Borussia Dortmund,Axel Witsel,17,24,28,1,4,7.14
Eintracht Frankfurt,Luka Jović,22,77,25,18,17,7.14
Hannover 96,Ihlas Bebou,16,25,35,6,4,7.13
Bayern Munchen,Jérôme Boateng,0,11,1,0,0,7.13
Borussia Dortmund,Raphaël Guerreiro,8,25,31,1,2,7.12
Borussia Mgladbach,Louis Beyer,0,4,7,0,0,7.12
Werder Bremen,Milot Rashica,19,48,33,4,9,7.12
Fc Schalke 04,Daniel Caligiuri,18,40,64,2,7,7.12
Borussia Mgladbach,Lars Stindl,12,26,17,1,3,7.12
Eintracht Frankfurt,Filip Kostić,15,41,58,2,6,7.11
Bayer 04 Leverkusen,Leon Bailey,13,40,53,3,5,7.11
Borussia Dortmund,Paco Alcácer,44,41,6,8,18,7.10
Bayern Munchen,Serge Gnabry,19,53,50,8,10,7.10
Rb Leipzig,Emil Forsberg,18,22,22,2,4,7.10
1899 Hoffenheim,Benjamin Hübner,0,8,1,2,0,7.10
1 Fsv Mainz 05,Leandro Barreiro,0,1,3,0,0,7.10
Hannover 96,Samuel Radlinger-Sahin,0,0,0,0,0,7.10
1 Fsv Mainz 05,Aarón Martin Caricol,0,10,45,0,0,7.09
Rb Leipzig,Péter Gulácsi,0,0,0,0,0,7.08
Eintracht Frankfurt,Almamy Touré,0,2,11,0,0,7.07
Borussia Mgladbach,Yann Sommer,0,0,2,0,0,7.06
Borussia Mgladbach,Ibrahima Traoré,0,11,20,0,0,7.06
1899 Hoffenheim,Florian Grillitsch,0,24,24,0,0,7.06
Rb Leipzig,Ibrahima Konaté,8,12,22,2,1,7.06
Eintracht Frankfurt,Sebastian Rode,0,2,11,1,0,7.06
Rb Leipzig,Lukas Klostermann,42,12,7,1,5,7.06
Fc Schalke 04,Salif Sané,11,18,14,1,2,7.06
Hertha Bsc,Marko Grujić,14,36,30,1,5,7.05
Bayer 04 Leverkusen,Charles Aránguiz,11,19,9,1,2,7.05
Borussia Dortmund,Mario Götze,33,21,26,3,7,7.05
Eintracht Frankfurt,Gonçalo Paciência,20,15,6,3,3,7.05
1 Fsv Mainz 05,Niko Bungert,0,1,0,0,0,7.05
1899 Hoffenheim,Joelinton,16,45,47,8,7,7.05
Eintracht Frankfurt,Makoto Hasebe,0,2,5,0,0,7.05
1 Fsv Mainz 05,Karim Onisiwo,21,34,15,5,7,7.04
Fc Schalke 04,Bastian Oczipka,13,8,23,0,1,7.04
Borussia Mgladbach,Tony Jantschke,0,2,2,0,0,7.04
