Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Az Alkmaar,Alireza Jahanbakhsh,82,74,1034,12,20,8.15
Ajax,Hakim Ziyech,145,75,1568,15,24,8.06
Feyenoord,Steven Berghuis,69,78,1199,12,18,7.95
Az Alkmaar,Marko Vejinović,21,86,422,4,1,7.81
Psv Eindhoven,Hirving Lozano,77,75,437,8,9,7.79
Heracles Almelo,Brandley Kuwas,99,77,645,13,14,7.73
Psv Eindhoven,Jürgen Locadia,22,77,331,2,5,7.55
Ajax,David Neres,72,83,844,11,20,7.53
Fc Utrecht,Zakaria Labyad,81,73,640,8,11,7.51
Feyenoord,Sam Larsson,38,75,482,5,7,7.46
Pec Zwolle,Younes Namli,83,77,779,4,7,7.43
Heerenveen,Martin Ødegaard,46,81,877,1,7,7.43
Vitesse,Mason Mount,73,77,544,8,12,7.41
Ajax,Frenkie de Jong,32,91,1251,7,3,7.40
Psv Eindhoven,Luuk de Jong,48,67,455,5,4,7.38
Excelsior,Hicham Faik,51,82,1309,3,7,7.37
Ajax,Lasse Schöne,43,87,1464,3,5,7.36
Az Alkmaar,Wout Weghorst,39,74,656,6,4,7.35
Psv Eindhoven,Steven Bergwijn,57,84,599,7,7,7.35
Fc Utrecht,Jean-Christophe Bahebeck,2,53,43,0,0,7.33
Psv Eindhoven,Gastón Pereiro,57,75,448,4,8,7.33
Ajax,Justin Kluivert,50,87,709,5,9,7.33
Heerenveen,Arbër Zeneli,35,81,518,7,8,7.31
Fc Twente,Adam Maher,35,78,699,4,5,7.31
Ajax,Donny van de Beek,50,83,1284,6,10,7.31
Psv Eindhoven,Marco van Ginkel,46,79,1007,4,5,7.29
Feyenoord,Jean-Paul Boëtius,44,81,549,7,10,7.29
Ado Den Haag,Abdenasser El Khayati,86,77,846,11,20,7.28
Vitesse,Milot Rashica,27,69,287,3,3,7.27
Fc Utrecht,Yassin Ayoub,64,81,934,6,10,7.26
Vitesse,Roy Beerens,27,83,227,4,6,7.25
Psv Eindhoven,Santiago Arias,55,82,1095,6,6,7.25
Ajax,Nicolás Tagliafico,15,84,652,2,4,7.24
Feyenoord,Eric Botteghin,7,86,648,0,0,7.24
