Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
West Ham United,Dimitri Payet,18,51,67,1,9,7.68
Arsenal,Mesut Özil,20,30,46,8,6,7.63
Arsenal,Santi Cazorla,0,18,37,1,0,7.59
Arsenal,Alexis Sánchez,18,71,101,11,13,7.49
Liverpool,Philippe Coutinho,12,68,49,3,8,7.46
Tottenham,Mousa Dembélé,19,16,83,1,3,7.41
West Ham United,Modibo Maiga,50,2,3,0,1,7.40
Tottenham,Christian Eriksen,8,77,35,2,6,7.40
Chelsea,Cesc Fàbregas,15,33,23,1,5,7.39
Tottenham,Harry Kane,20,123,48,17,25,7.38
Southampton,Virgil van Dijk,12,25,16,1,3,7.38
Leicester City,N'Golo Kanté,6,18,47,0,1,7.37
Leicester City,Riyad Mahrez,28,61,131,5,17,7.35
Manchester City,Yaya Touré,12,50,58,4,6,7.32
Sunderland,Lamine Koné,20,10,4,2,2,7.31
Arsenal,Laurent Koscielny,24,17,10,1,4,7.31
Crystal Palace,Yohan Cabaye,11,47,9,3,5,7.30
Aston Villa,Idrissa Gueye,0,20,69,0,0,7.30
Leicester City,Christian Fuchs,0,13,7,0,0,7.29
Tottenham,Toby Alderweireld,12,33,7,1,4,7.28
Leicester City,Jamie Vardy,26,93,39,19,24,7.28
Manchester City,Nicolás Otamendi,5,19,11,0,1,7.28
Watford,Troy Deeney,22,60,22,3,13,7.27
Liverpool,Jordan Henderson,13,15,8,0,2,7.26
Manchester City,Vincent Kompany,25,8,7,0,2,7.26
Manchester City,Sergio Agüero,26,93,66,16,24,7.26
Southampton,Graziano Pellè,17,65,7,3,11,7.25
Manchester City,Kevin De Bruyne,18,39,36,2,7,7.24
Arsenal,Gabriel Paulista,10,10,3,0,1,7.24
Manchester United,Wayne Rooney,15,52,25,3,8,7.24
Everton,Ross Barkley,14,57,116,7,8,7.23
Leicester City,Danny Drinkwater,7,30,31,3,2,7.23
Arsenal,David Ospina,0,0,0,0,0,7.23
Newcastle United,Jonjo Shelvey,3,36,25,0,1,7.22
Everton,Ramiro Funes Mori,18,22,12,3,4,7.21
Manchester City,Bersant Celina,0,0,0,0,0,7.20
Swansea City,Ashley Williams,14,14,6,1,2,7.20
Manchester City,David Silva,11,18,31,1,2,7.20
Everton,Phil Jagielka,0,9,3,2,0,7.19
Chelsea,Willian,12,41,84,2,5,7.19
Manchester United,Daley Blind,50,2,21,0,1,7.19
West Ham United,Mark Noble,26,27,29,0,7,7.18
Sunderland,Yann M'Vila,5,19,15,0,1,7.18
Everton,Romelu Lukaku,21,86,41,18,18,7.18
Arsenal,Francis Coquelin,0,5,30,0,0,7.17
West Bromwich Albion,Jonny Evans,25,4,22,0,1,7.16
Manchester City,Gaël Clichy,0,2,15,0,0,7.16
Liverpool,Roberto Firmino,22,46,43,6,10,7.16
Liverpool,Lucas Leiva,0,6,14,1,0,7.16
Liverpool,Daniel Sturridge,19,42,13,5,8,7.16
Chelsea,Eden Hazard,16,25,89,1,4,7.15
Everton,Gareth Barry,0,9,18,1,0,7.15
Watford,Nathan Aké,8,13,10,1,1,7.14
West Ham United,Winston Reid,8,13,2,1,1,7.13
Norwich City,Timm Klose,33,3,2,0,1,7.12
Tottenham,Kieran Trippier,50,2,3,0,1,7.12
Liverpool,James Milner,21,24,19,1,5,7.11
Liverpool,Kevin Stewart,0,3,3,0,0,7.11
Arsenal,Olivier Giroud,20,80,11,13,16,7.11
Manchester City,Fernandinho,10,21,30,0,2,7.11
West Ham United,Manuel Lanzini,19,32,57,4,6,7.11
Tottenham,Jan Vertonghen,0,7,13,0,0,7.11
Arsenal,Aaron Ramsey,11,46,39,9,5,7.11
Liverpool,Alberto Moreno,4,23,16,1,1,7.10
Arsenal,Nacho Monreal,0,11,16,1,0,7.09
West Bromwich Albion,James Morrison,17,18,22,1,3,7.09
Southampton,Dušan Tadić,19,37,37,4,7,7.09
Southampton,Sadio Mané,17,65,77,12,11,7.09
Aston Villa,Jores Okore,0,0,3,0,0,7.09
Liverpool,Dejan Lovren,0,15,1,0,0,7.09
Swansea City,Jack Cork,8,12,32,1,1,7.09
Bournemouth,Harry Arter,4,25,22,0,1,7.09
Manchester United,Antonio Valencia,0,3,16,0,0,7.09
Chelsea,César Azpilicueta,25,8,6,0,2,7.08
West Ham United,Cheikhou Kouyaté,14,35,29,3,5,7.08
Southampton,José Fonte,11,18,2,2,2,7.08
Manchester United,Chris Smalling,0,11,12,2,0,7.08
Crystal Palace,Brede Hangeland,0,4,6,1,0,7.07
Southampton,Cédric Soares,0,8,18,0,0,7.07
Tottenham,Kyle Walker,8,13,17,0,1,7.07
Liverpool,Mamadou Sakho,20,5,8,1,1,7.06
Tottenham,Danny Rose,6,18,28,2,1,7.06
Liverpool,Emre Can,5,22,39,0,1,7.05
Chelsea,Pedro,19,37,52,4,7,7.05
Stoke City,Marko Arnautović,19,58,60,9,11,7.05
Stoke City,Giannelli Imbula,12,17,61,0,2,7.05
Liverpool,Steven Caulker,0,2,0,0,0,7.05
Chelsea,Nemanja Matić,10,20,38,3,2,7.05
West Ham United,Andy Carroll,20,44,7,4,9,7.05
Tottenham,Dele Alli,21,47,30,6,10,7.04
Southampton,Steven Davis,33,15,20,0,5,7.04
Tottenham,Eric Dier,14,21,8,1,3,7.03
Crystal Palace,Scott Dann,20,25,10,0,5,7.03
Everton,James McCarthy,15,13,7,0,2,7.03
West Ham United,Michail Antonio,19,43,47,6,8,7.03
Leicester City,Robert Huth,13,24,3,4,3,7.03
Watford,Odion Ighalo,18,85,49,14,15,7.02
Stoke City,Jack Butland,0,0,2,0,0,7.02
Tottenham,Érik Lamela,14,37,40,4,5,7.02
Chelsea,Bertrand Traoré,20,10,9,0,2,7.02
Bournemouth,Steve Cook,20,20,3,0,4,7.01
Liverpool,Adam Lallana,14,29,42,3,4,7.01
Arsenal,Petr Čech,0,0,2,0,0,7.01
Southampton,Oriol Romeu,5,22,16,1,1,7.01
Manchester City,Aleksandar Kolarov,12,26,24,2,3,7.01
Leicester City,Wes Morgan,13,15,10,5,2,7.01
West Ham United,Mauro Zárate,13,23,21,1,3,7.00
Southampton,Victor Wanyama,4,24,23,0,1,7.00
Arsenal,Alex Iwobi,15,13,16,0,2,7.00
Arsenal,Danny Welbeck,25,16,14,3,4,7.00
West Bromwich Albion,Serge Gnabry,0,2,1,0,0,7.00
Tottenham,Kevin Wimmer,0,1,0,0,0,7.00
West Bromwich Albion,Sebastien Pocognoli,0,0,0,0,0,7.00
Manchester United,Morgan Schneiderlin,14,7,9,0,1,7.00
Swansea City,Federico Fernández,7,15,4,2,1,7.00
Stoke City,Philipp Wollscheid,0,1,11,0,0,7.00
Sunderland,Younès Kaboul,0,9,15,0,0,7.00
Manchester United,Michael Carrick,0,1,8,0,0,6.99
Everton,Tom Cleverley,15,13,13,1,2,6.99
Sunderland,Vito Mannone,0,0,0,0,0,6.99
Bournemouth,Andrew Surman,0,7,16,0,0,6.99
Aston Villa,Carlos Sánchez,0,9,17,0,0,6.99
Norwich City,Robbie Brady,7,41,52,0,3,6.98
Sunderland,Jermain Defoe,25,59,18,7,15,6.98
Liverpool,Kolo Touré,50,2,7,0,1,6.98
Liverpool,Martin Škrtel,17,6,2,0,1,6.98
Swansea City,Gylfi Sigurðsson,20,56,24,3,11,6.98
Liverpool,Christian Benteke,20,45,14,9,9,6.98
Newcastle United,Jack Colback,8,12,7,0,1,6.98
Bournemouth,Simon Francis,0,4,30,0,0,6.98
Sunderland,Adam Johnson,15,13,14,1,2,6.98
Watford,Heurelho Gomes,0,0,0,0,0,6.98
Everton,John Stones,0,7,23,0,0,6.98
Manchester City,Bacary Sagna,0,4,5,0,0,6.98
Manchester United,Timothy Fosu-Mensah,0,1,2,0,0,6.97
Sunderland,Patrick van Aanholt,10,39,46,3,4,6.97
West Ham United,James Tomkins,0,8,5,0,0,6.96
Bournemouth,Junior Stanislas,10,29,32,2,3,6.96
Chelsea,Diego Costa,23,53,40,8,12,6.96
West Ham United,James Collins,0,10,3,0,0,6.96
Manchester United,Ander Herrera,23,13,19,1,3,6.96
Manchester United,Bastian Schweinsteiger,11,9,13,1,1,6.96
Newcastle United,Karl Darlow,0,0,0,0,0,6.96
Chelsea,Oscar,9,32,25,3,3,6.95
Swansea City,Stephen Kingsley,0,1,6,0,0,6.95
Everton,Leighton Baines,33,6,4,0,2,6.95
West Bromwich Albion,Gareth McAuley,17,6,9,0,1,6.95
Swansea City,Kyle Bartley,0,2,1,0,0,6.95
Leicester City,Marc Albrighton,7,28,51,2,2,6.95
Arsenal,Héctor Bellerín,13,8,63,0,1,6.95
Newcastle United,Chancel Mbemba,0,9,20,0,0,6.95
Crystal Palace,Jason Puncheon,6,36,46,4,2,6.95
Aston Villa,Rudy Gestede,10,50,11,6,5,6.94
Aston Villa,Ashley Westwood,7,27,8,1,2,6.94
Watford,Étienne Capoue,0,24,49,5,0,6.94
Southampton,Cuco Martina,50,2,1,0,1,6.94
Southampton,Shane Long,19,54,12,12,10,6.94
Arsenal,Joel Campbell,18,17,17,2,3,6.94
Crystal Palace,Damien Delaney,11,19,4,1,2,6.94
Leicester City,Danny Simpson,0,5,9,1,0,6.94
Liverpool,Cameron Brannagan,0,1,2,0,0,6.93
Watford,Ben Watson,22,9,4,0,2,6.93
Manchester City,Wilfried Bony,10,40,11,4,4,6.93
Manchester United,Juan Mata,16,38,30,1,6,6.93
Swansea City,Sung-Yueng Ki,12,17,11,1,2,6.93
Bournemouth,Matt Ritchie,9,46,19,2,4,6.92
Watford,José Jurado,0,27,52,0,0,6.92
Manchester United,Luke Shaw,0,1,6,0,0,6.92
Stoke City,Erik Pieters,0,3,8,0,0,6.92
Manchester City,Fernando,18,11,16,4,2,6.92
Swansea City,Àngel Rangel,0,11,13,1,0,6.91
Sunderland,Jan Kirchhoff,0,4,11,0,0,6.91
Newcastle United,Georginio Wijnaldum,27,41,50,6,11,6.91
Chelsea,Kurt Zouma,7,14,4,1,1,6.91
Manchester City,Fabian Delph,20,10,24,0,2,6.91
Stoke City,Phil Bardsley,0,5,3,0,0,6.91
West Bromwich Albion,Claudio Yacob,0,4,9,0,0,6.91
Norwich City,Dieumerci Mbokani,22,32,22,6,7,6.90
West Ham United,Adrián,0,0,0,0,0,6.90
Watford,Alessandro Diamanti,0,1,1,0,0,6.90
Crystal Palace,Sullay Kaikai,0,1,0,0,0,6.90
Manchester United,Donald Love,0,0,2,0,0,6.90
Sunderland,Adam Matthews,0,0,1,0,0,6.90
Swansea City,Jay Fulton,0,0,0,0,0,6.90
Everton,Tony Hibbert,0,1,0,0,0,6.90
Manchester United,Phil Jones,0,0,2,0,0,6.90
Stoke City,Glenn Whelan,0,6,10,0,0,6.90
Leicester City,Kasper Schmeichel,0,0,1,0,0,6.90
Tottenham,Hugo Lloris,0,0,0,0,0,6.90
West Ham United,Angelo Ogbonna,0,4,8,0,0,6.90
