Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
West Ham United,Dimitri Payet,80,12,24,67,9,7.68
Arsenal,Mesut Özil,86,19,35,46,6,7.63
Arsenal,Santi Cazorla,90,3,28,37,0,7.59
Arsenal,Alexis Sánchez,80,4,47,101,13,7.49
Liverpool,Philippe Coutinho,79,5,35,49,8,7.46
Tottenham,Mousa Dembélé,90,1,104,83,3,7.41
West Ham United,Modibo Maiga,50,0,0,3,1,7.40
Tottenham,Christian Eriksen,81,13,47,35,6,7.40
Chelsea,Cesc Fàbregas,84,7,103,23,5,7.39
Tottenham,Harry Kane,73,1,29,48,25,7.38
Southampton,Virgil van Dijk,83,0,59,16,3,7.38
Leicester City,N'Golo Kanté,82,4,175,47,1,7.37
Leicester City,Riyad Mahrez,74,11,53,131,17,7.35
Manchester City,Yaya Touré,86,5,43,58,6,7.32
Sunderland,Lamine Koné,63,1,28,4,2,7.31
Arsenal,Laurent Koscielny,87,0,47,10,4,7.31
Crystal Palace,Yohan Cabaye,83,1,107,9,5,7.30
Aston Villa,Idrissa Gueye,86,1,144,69,0,7.30
Leicester City,Christian Fuchs,72,4,99,7,0,7.29
Tottenham,Toby Alderweireld,80,2,45,7,4,7.28
Leicester City,Jamie Vardy,66,6,35,39,24,7.28
Manchester City,Nicolás Otamendi,84,0,90,11,1,7.28
Watford,Troy Deeney,61,7,49,22,13,7.27
Liverpool,Jordan Henderson,79,3,41,8,2,7.26
Manchester City,Vincent Kompany,83,0,20,7,2,7.26
Manchester City,Sergio Agüero,85,2,15,66,24,7.26
Southampton,Graziano Pellè,66,6,13,7,11,7.25
Manchester City,Kevin De Bruyne,78,9,28,36,7,7.24
Arsenal,Gabriel Paulista,90,0,42,3,1,7.24
Manchester United,Wayne Rooney,83,6,29,25,8,7.24
Everton,Ross Barkley,86,8,34,116,8,7.23
Leicester City,Danny Drinkwater,78,7,106,31,2,7.23
Arsenal,David Ospina,55,0,0,0,0,7.23
Newcastle United,Jonjo Shelvey,82,5,37,25,1,7.22
Everton,Ramiro Funes Mori,84,1,41,12,4,7.21
Manchester City,Bersant Celina,100,1,1,0,0,7.20
Swansea City,Ashley Williams,85,1,68,6,2,7.20
Manchester City,David Silva,86,11,36,31,2,7.20
Everton,Phil Jagielka,84,0,39,3,0,7.19
Chelsea,Willian,82,6,42,84,5,7.19
Manchester United,Daley Blind,84,1,95,21,1,7.19
