Team,Name,Key passes,Accurate passes percentage,Accurate passes,Assists,Big chances created,Rating
Ado Den Haag,Robert Zwinkels,0,51,23,0,0,7.90
Heracles Almelo,Oussama Tannane,20,76,193,3,6,7.67
Psv Eindhoven,Luuk de Jong,65,71,742,8,13,7.65
Ajax,Joël Veltman,19,79,1528,5,4,7.56
Az Alkmaar,Vincent Janssen,60,74,617,4,9,7.51
Psv Eindhoven,Andrés Guardado,61,83,1283,9,7,7.49
Vitesse,Guram Kashia,20,83,1502,4,2,7.47
Heracles Almelo,Gino Bosz,1,86,115,0,1,7.47
Feyenoord,Dirk Kuyt,42,72,1094,3,6,7.46
Ajax,Nemanja Gudelj,62,83,1429,8,12,7.44
Psv Eindhoven,Davy Pröpper,68,77,993,6,18,7.41
Ajax,Diederik Boer,0,35,12,0,0,7.40
Fc Twente,Hakim Ziyech,98,71,836,10,14,7.38
Ado Den Haag,Edouard Duplan,87,76,698,11,17,7.38
Psv Eindhoven,Jürgen Locadia,43,83,655,10,9,7.36
Fc Utrecht,Sébastien Haller,32,60,577,4,4,7.31
Heerenveen,Sam Larsson,93,78,1096,8,15,7.31
Groningen,Rasmus Lindgren,5,86,1006,1,1,7.28
Ajax,Arkadiusz Milik,33,72,545,7,5,7.26
Ado Den Haag,Wilfried Kanon,2,85,365,1,2,7.25
Psv Eindhoven,Jetro Willems,21,81,424,4,4,7.25
Ajax,Davy Klaassen,60,79,908,8,7,7.25
Nec Nijmegen,Christian Santos,34,60,568,1,3,7.24
Psv Eindhoven,Marco van Ginkel,14,79,501,1,2,7.24
Vitesse,Maikel Van der Werff,8,84,1500,2,0,7.23
Pec Zwolle,Bart Van Hintum,37,76,653,2,5,7.23
Psv Eindhoven,Santiago Arias,53,86,1261,2,6,7.23
Az Alkmaar,Stijn Wuytens,32,80,1358,5,4,7.22
Az Alkmaar,Jop Van der Linden,10,82,511,1,3,7.22
Willem Ii Tilburg,Bartholomew Ogbeche,22,68,330,2,2,7.22
