Team,Name,Runs out,Saved shots from inside the box,Penalties saved,Clean sheets,Saves,Rating
Heracles Almelo,Renze Fij,0,4,0,0,7,7.50
Willem Ii Tilburg,Kostas Lamprou,25,93,1,10,162,7.21
Psv Eindhoven,Remko Pasveer,2,6,0,2,9,7.10
Groningen,Sergio Padt,31,76,2,8,131,7.08
Roda Jc Kerkrade,Benjamin van Leer,11,80,1,9,131,7.06
Ajax,André Onana,35,48,1,15,80,7.00
Fc Utrecht,David Jensen,11,32,0,10,56,6.99
Feyenoord,Brad Jones,18,39,0,17,78,6.96
Vitesse,Eloy Room,10,66,1,7,102,6.95
Feyenoord,Pär Hansson,0,1,0,0,1,6.90
Ado Den Haag,Ernestas Šetkus,15,57,1,3,89,6.89
Nec Nijmegen,Joris Delle,18,73,0,6,123,6.88
Fc Utrecht,Robbin Ruiter,24,27,0,3,45,6.87
Sparta Rotterdam,Roy Kortsmit,11,71,2,6,120,6.86
Fc Twente,Nick Marsman,26,61,0,8,113,6.84
Heracles Almelo,Bram Castro,3,85,1,5,141,6.84
Ado Den Haag,Robert Zwinkels,5,29,0,2,41,6.83
Psv Eindhoven,Jeroen Zoet,27,22,1,14,47,6.81
Sparta Rotterdam,Michael Verrips,0,4,0,0,4,6.80
Excelsior,Tom Muyters,6,34,1,1,60,6.79
Go Ahead Eagles,Theo Zwarthoed,35,77,0,3,131,6.79
Heerenveen,Erwin Mulder,30,62,2,9,99,6.77
Az Alkmaar,Sergio Rochet,7,27,0,4,52,6.77
Excelsior,Warner Hahn,4,29,0,3,47,6.73
Pec Zwolle,Mickey van der Hart,14,63,0,4,116,6.72
Az Alkmaar,Tim Krul,14,23,0,2,39,6.68
Ajax,Jasper Cillessen,2,1,0,0,3,6.45
Feyenoord,Kenneth Vermeer,0,0,0,0,1,6.20
Vitesse,Michael Tornes,1,1,0,0,3,6.20
