Team,Name,Goal conversion percentage,Total shots,Successful dribbles,Big chances missed,Goals,Rating
Palermo,Josip Posavec,0,0,0,0,0,7.90
Hellas Verona,Federico Viviani,13,23,10,0,3,7.75
Napoli,Gonzalo Higuaín,25,144,48,19,36,7.69
Juventus,Paulo Dybala,24,78,92,7,19,7.58
Juventus,Paul Pogba,8,106,102,5,8,7.55
Napoli,Lorenzo Insigne,12,104,45,4,12,7.52
Roma,Miralem Pjanić,19,52,26,5,10,7.47
Napoli,Marek Hamšík,10,62,38,3,6,7.46
Lazio,Lucas Biglia,31,13,26,0,4,7.42
Juventus,Kingsley Coman,0,2,0,0,0,7.40
Juventus,Claudio Marchisio,0,20,20,0,0,7.39
Empoli,Alberto Pelagotti,0,0,0,0,0,7.38
Juventus,Juan Cuadrado,15,27,71,0,4,7.37
Fiorentina,Josip Iličić,23,57,39,2,13,7.37
Palermo,Franco Vázquez,12,67,126,4,8,7.36
Lazio,Stefan de Vrij,0,0,1,0,0,7.35
Sampdoria,Fernando,11,36,21,1,4,7.35
Roma,Diego Perotti,12,34,102,2,4,7.34
Milan,Giacomo Bonaventura,8,75,76,3,6,7.34
Atalanta,Alejandro Gómez,12,57,84,8,7,7.33
Sassuolo,Francesco Acerbi,33,12,19,3,4,7.31
Hellas Verona,Samir,50,2,0,0,1,7.30
Chievoverona,Andrea Seculin,0,0,0,0,0,7.30
Milan,Christian Abbiati,0,0,0,0,0,7.30
Palermo,Thiago Cionek,0,1,3,0,0,7.26
Juventus,Mario Lemina,40,5,22,0,2,7.26
Juventus,Leonardo Bonucci,14,21,17,1,3,7.26
Empoli,Leandro Paredes,5,38,31,0,2,7.25
Sassuolo,Domenico Berardi,11,64,31,5,7,7.24
Roma,Stephan El Shaarawy,23,35,17,2,8,7.24
Roma,Daniele De Rossi,14,7,3,0,1,7.24
Milan,Riccardo Montolivo,0,18,18,0,0,7.24
Juventus,Alex Sandro,15,13,39,1,2,7.24
Fiorentina,Matías Vecino,6,36,33,0,2,7.22
Fiorentina,Milan Badelj,5,21,33,0,1,7.21
Milan,Luca Antonelli,19,16,20,2,3,7.21
Napoli,Jorginho,0,5,13,0,0,7.20
Frosinone,Francesco Bardi,0,0,0,0,0,7.20
Milan,Ignazio Abate,33,3,25,0,1,7.20
Genoa,Cristian Ansaldi,0,8,46,0,0,7.19
Torino,Bruno Peres,10,31,96,0,3,7.18
Milan,Philippe Mexès,25,4,0,0,1,7.18
Roma,Alessandro Florenzi,22,32,17,2,7,7.18
Fiorentina,Borja Valero,17,24,45,2,4,7.18
Juventus,Giorgio Chiellini,8,12,11,2,1,7.18
Sassuolo,Francesco Magnanelli,9,11,15,0,1,7.17
Empoli,Andrea Costa,20,5,8,1,1,7.16
Milan,Alex,14,21,2,1,3,7.16
Juventus,Andrea Barzagli,33,3,10,0,1,7.16
Empoli,Piotr Zieliński,10,52,89,3,5,7.16
Torino,Andrea Belotti,21,58,26,10,12,7.15
Inter,Marcelo Brozović,11,37,49,1,4,7.14
Fiorentina,Davide Astori,0,11,17,1,0,7.14
Lazio,Milan Biševac,50,2,4,0,1,7.13
Napoli,Kalidou Koulibaly,0,5,15,0,0,7.13
Roma,Francesco Totti,29,17,4,2,5,7.12
Roma,Gervinho,32,19,35,3,6,7.12
Roma,Radja Nainggolan,13,47,27,2,6,7.12
Juventus,Hernanes,4,25,20,0,1,7.12
Genoa,Suso,20,30,27,0,6,7.12
Atalanta,Luca Cigarini,7,28,13,3,2,7.12
Udinese,Cyril Théréau,18,61,51,8,11,7.11
Inter,Mauro Icardi,31,52,10,9,16,7.10
Napoli,Raúl Albiol,11,9,6,1,1,7.10
Bologna,Daniele Gastaldello,14,7,3,1,1,7.10
Fiorentina,Facundo Roncaglia,17,6,4,0,1,7.10
Empoli,Lorenzo Tonelli,33,6,5,0,2,7.10
Inter,Stevan Jovetić,13,46,41,6,6,7.10
Roma,Mohamed Salah,23,60,56,8,14,7.09
Genoa,Nicolás Burdisso,0,9,2,0,0,7.09
Juventus,Mario Mandžukić,30,33,5,5,10,7.09
Inter,Geoffrey Kondogbia,5,22,51,0,1,7.09
Torino,Nikola Maksimović,0,1,14,0,0,7.09
Torino,Cesare Bovo,25,8,5,0,2,7.08
Genoa,Armando Izzo,0,11,28,2,0,7.08
Genoa,Tomás Rincón,18,17,79,1,3,7.07
Palermo,Abdelhamid El Kaoutari,100,1,4,0,1,7.07
Fiorentina,Gonzalo Rodríguez,44,9,15,1,4,7.07
Atalanta,Maxi Moralez,4,23,12,8,1,7.07
Palermo,Enzo Maresca,11,9,8,0,1,7.07
Napoli,José Callejón,15,47,7,6,7,7.07
Genoa,Leonardo Pavoletti,23,60,5,5,14,7.06
Udinese,Felipe,10,10,7,3,1,7.06
Bologna,Archimede Morleo,0,4,2,0,0,7.06
Inter,Adem Ljajić,12,25,29,5,3,7.06
Lazio,Miroslav Klose,27,26,15,5,7,7.06
Torino,Pontus Jansson,20,5,4,0,1,7.06
Torino,Giuseppe Vives,7,14,13,1,1,7.06
Empoli,Uroš Ćosić,0,1,1,0,0,7.06
Inter,Éder,25,52,28,6,13,7.05
Milan,Mario Balotelli,3,30,18,2,1,7.05
