Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
As Monaco,Jorge,76,0,2,3,1,8.00
Paris Saint Germain,Thiago Silva,94,2,31,2,3,7.58
Paris Saint Germain,Marco Verratti,88,5,88,60,3,7.57
Olympique De Marseille,Dimitri Payet,80,3,18,25,4,7.55
Saint Etienne,Loïc Perrin,88,1,59,10,4,7.50
Olympique Lyonnais,Alexandre Lacazette,78,3,32,49,28,7.49
Saint Etienne,Anthony Maisonnial,43,0,0,0,0,7.45
Paris Saint Germain,Ángel Di María,76,7,21,40,6,7.43
Stade Rennais,Sylvain Armand,83,0,0,0,0,7.40
Olympique Lyonnais,Maxime Gonalons,90,1,128,43,1,7.38
Olympique Lyonnais,Corentin Tolisso,84,5,54,20,8,7.37
Toulouse,Mauro Goicoechea,55,0,0,0,0,7.35
Ogc Nice,Jean-Michaël Seri,90,9,36,37,7,7.34
Ogc Nice,Paul Baysse,91,1,37,0,2,7.34
Bastia,Thomas Vincensini,52,0,0,0,0,7.33
As Monaco,Gabriel Boschilia,76,2,10,13,6,7.32
Ogc Nice,Wylan Cyprien,89,3,33,55,8,7.31
Paris Saint Germain,Lucas Moura,83,5,44,72,12,7.31
Montpellier,Ryad Boudebouz,79,9,38,88,11,7.30
Guingamp,Romain Salin,76,0,0,0,0,7.30
Dijon,Benjamin Leroy,57,0,0,0,0,7.30
Olympique Lyonnais,Christophe Jallet,82,2,33,4,1,7.29
As Monaco,Fabinho,84,1,113,38,9,7.29
As Monaco,Radamel Falcao,79,5,15,12,21,7.28
Paris Saint Germain,Adrien Rabiot,90,2,61,41,3,7.27
Olympique De Marseille,Florian Thauvin,78,8,38,91,15,7.27
Paris Saint Germain,Edinson Cavani,82,4,21,7,35,7.26
Guingamp,Yannis Salibur,82,4,33,81,8,7.25
As Monaco,Kylian Mbappé,73,8,8,32,15,7.25
Angers,Billy Ketkeophomphone,84,0,13,7,1,7.24
Paris Saint Germain,Marquinhos,94,0,47,3,3,7.23
Paris Saint Germain,Julian Draxler,84,1,11,33,4,7.21
As Monaco,Thomas Lemar,83,10,51,52,9,7.21
Guingamp,Fernando Marçal,79,7,87,25,0,7.20
Paris Saint Germain,Giovani Lo Celso,81,2,0,3,0,7.20
As Monaco,Marcel Tisserand,68,0,1,2,0,7.20
Olympique De Marseille,Bafétimbi Gomis,75,3,15,25,20,7.20
Ogc Nice,Mario Balotelli,72,1,12,15,15,7.19
Olympique De Marseille,William Vainqueur,92,1,109,44,0,7.19
Saint Etienne,Florentin Pogba,78,1,34,16,1,7.18
Dijon,Mehdi Abeid,85,2,78,43,3,7.18
Toulouse,Ibrahim Sangaré,70,0,21,4,0,7.18
Angers,Thomas Mangani,80,8,69,23,3,7.17
Paris Saint Germain,Javier Pastore,82,4,16,33,0,7.17
Stade Rennais,Yoann Gourcuff,82,3,37,20,4,7.17
Toulouse,Christopher Jullien,76,1,51,0,4,7.17
Paris Saint Germain,Presnel Kimpembe,95,0,18,15,0,7.16
As Monaco,Abdou Diallo,83,0,9,1,0,7.16
As Monaco,Kamil Glik,82,2,24,0,6,7.15
Fc Nantes,Valentin Rongier,82,1,129,28,2,7.14
As Monaco,Kévin N'Doram,90,1,11,1,0,7.14
Lorient,Sylvain Marveaux,80,6,17,41,5,7.14
Ogc Nice,Valentin Eysseric,82,7,35,42,4,7.14
Olympique Lyonnais,Emanuel Mammana,91,0,43,8,1,7.14
