Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Wolfsburg,Josuha Guilavogui,88,0,68,18,2,7.00
Borussia Dortmund,Sven Bender,91,0,35,7,0,7.00
Hannover 96,Salif Sané,77,0,75,33,2,7.00
Werder Bremen,Arón Johannssón,75,0,5,6,2,7.00
Werder Bremen,Clemens Fritz,74,2,81,42,1,7.00
1899 Hoffenheim,Andrej Kramarić,76,2,4,20,5,6.99
Werder Bremen,Philipp Bargfrede,74,1,48,4,0,6.99
1899 Hoffenheim,Niklas Süle,86,1,47,4,0,6.98
Werder Bremen,Jannik Vestergaard,73,0,67,18,2,6.98
Eintracht Frankfurt,Marc Stendera,77,1,84,46,2,6.98
1 Fsv Mainz 05,Julian Baumgartlinger,84,1,115,17,2,6.98
Wolfsburg,Bas Dost,76,2,3,5,8,6.98
1 Fc Koln,Frederik Sørensen,77,2,44,6,0,6.98
Darmstadt 98,Florian Jungwirth,61,1,56,1,0,6.98
Fc Schalke 04,Klaas-Jan Huntelaar,72,3,6,14,12,6.98
Wolfsburg,Koen Casteels,70,0,0,0,0,6.98
Wolfsburg,Max Kruse,82,6,8,38,6,6.98
Vfb Stuttgart,Lukas Rupp,75,4,70,34,5,6.97
Hamburger Sv,Cléber Reis,78,0,43,15,1,6.97
Hertha Bsc,Fabian Lustenberger,86,0,65,0,1,6.97
Ingolstadt,Markus Suttner,65,0,39,9,0,6.97
Borussia Dortmund,Sokratis,89,0,52,9,1,6.97
Augsburg,Marwin Hitz,63,0,0,0,0,6.97
Augsburg,Jeong-Ho Hong,83,0,23,4,2,6.97
1 Fsv Mainz 05,Gaëtan Bussmann,62,0,35,5,1,6.97
Werder Bremen,Santiago García,67,3,66,20,0,6.97
1 Fsv Mainz 05,Loris Karius,54,0,0,1,0,6.96
Werder Bremen,Anthony Ujah,60,2,14,19,11,6.96
1 Fc Koln,Dominique Heintz,82,0,66,13,2,6.96
Hertha Bsc,Sebastian Langkamp,85,1,35,3,0,6.95
Eintracht Frankfurt,Szabolcs Huszti,76,2,35,9,1,6.95
1 Fc Koln,Timo Horn,58,0,0,0,0,6.95
Bayern Munchen,Mario Götze,87,4,15,19,3,6.95
Hannover 96,Ron-Robert Zieler,65,0,0,0,0,6.95
Augsburg,Ragnar Klavan,85,0,40,9,0,6.95
Werder Bremen,Florian Grillitsch,75,2,57,11,1,6.94
Fc Schalke 04,Ralf Fährmann,65,0,0,0,0,6.94
Augsburg,Alexander Esswein,71,1,38,32,3,6.94
Hertha Bsc,Niklas Stark,87,0,17,4,2,6.94
Hamburger Sv,Emir Spahić,76,1,44,8,0,6.94
Bayern Munchen,Manuel Neuer,81,0,0,1,0,6.94
Ingolstadt,Roger,66,1,59,11,1,6.94
Hamburger Sv,Aaron Hunt,76,2,26,23,1,6.93
Hamburger Sv,Albin Ekdal,77,0,27,13,0,6.93
Augsburg,Paul Verhaegh,80,2,25,5,6,6.93
Hertha Bsc,Rune Jarstein,61,0,0,0,0,6.93
Borussia Mgladbach,André Hahn,61,1,14,4,8,6.93
Bayer 04 Leverkusen,Stefan Kießling,60,3,34,21,5,6.93
Vfb Stuttgart,Georg Niedermeier,82,1,23,0,3,6.92
Darmstadt 98,Slobodan Rajković,54,1,17,2,1,6.92
Augsburg,Raúl Bobadilla,77,2,26,51,4,6.92
Augsburg,Jan-Ingwer Callsen-Bracker,83,0,11,0,1,6.92
1 Fc Koln,Leonardo Bittencourt,71,4,78,33,3,6.92
Bayer 04 Leverkusen,Bernd Leno,63,0,0,0,0,6.92
Augsburg,Jeffrey Gouweleeuw,78,0,20,2,0,6.92
Hamburger Sv,Pierre-Michel Lasogga,69,2,8,18,8,6.92
Hertha Bsc,Tolga Ciğerci,83,2,24,17,0,6.92
Vfb Stuttgart,Serey Dié,84,2,55,38,1,6.92
Wolfsburg,André Schürrle,79,3,27,33,9,6.92
Borussia Dortmund,Erik Durm,76,1,19,14,1,6.92
Wolfsburg,Marcel Schafer,79,2,22,8,1,6.91
Ingolstadt,Marvin Matip,77,1,33,4,2,6.91
Ingolstadt,Danny da Costa,62,4,57,21,0,6.91
Eintracht Frankfurt,Marco Fabián,79,2,12,15,0,6.91
Ingolstadt,Moritz Hartmann,64,1,24,6,12,6.91
Hertha Bsc,Vladimír Darida,81,2,29,16,5,6.91
1 Fsv Mainz 05,Yunus Malli,73,4,18,58,11,6.91
Eintracht Frankfurt,Lukáš Hrádecký,58,0,0,0,0,6.91
1899 Hoffenheim,Nadiem Amiri,78,4,29,28,4,6.90
Hertha Bsc,Florian Kohls,33,0,1,0,0,6.90
Werder Bremen,Theodor Gebre Selassie,74,2,80,21,1,6.90
1899 Hoffenheim,Tobias Strobl,81,1,74,13,0,6.90
Bayern Munchen,Serdar Taşçı,89,0,1,0,0,6.90
Hannover 96,Ceyhun Gülselam,72,1,35,5,0,6.90
1 Fc Koln,Yannick Gerhardt,80,4,58,17,2,6.90
Borussia Dortmund,Marcel Schmelzer,84,4,41,9,0,6.90
1899 Hoffenheim,Eduardo Vargas,74,3,8,34,2,6.90
Ingolstadt,Robert Bauer,65,0,67,14,1,6.90
Wolfsburg,Robin Knoche,86,0,17,2,1,6.89
1 Fsv Mainz 05,Daniel Brosinski,69,3,47,18,1,6.89
Bayern Munchen,Juan Bernat,91,1,21,18,0,6.89
Hamburger Sv,Johan Djourou,83,0,44,2,2,6.88
Darmstadt 98,Peter Niemeyer,56,0,83,4,2,6.88
1899 Hoffenheim,Ermin Bičakčić,84,0,27,3,0,6.88
Hamburger Sv,Ivo Iličević,74,2,57,48,4,6.88
Borussia Mgladbach,Nico Elvedi,83,2,38,8,0,6.88
Borussia Mgladbach,Thorgan Hazard,75,3,41,41,4,6.88
Borussia Mgladbach,Jonas Hofmann,81,2,8,8,1,6.88
Borussia Mgladbach,Oscar Wendt,80,2,51,19,3,6.88
Bayer 04 Leverkusen,Karim Bellarabi,70,11,52,86,6,6.88
1 Fc Koln,Marcel Hartel,77,0,3,4,0,6.88
Fc Schalke 04,Younès Belhanda,81,1,22,14,2,6.87
1899 Hoffenheim,Sebastian Rudy,77,1,60,19,2,6.87
Fc Schalke 04,Junior Caiçara,74,3,57,15,0,6.87
