Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Sevilla,Wissam Ben Yedder,75,4,11,7,11,6.95
Athletic Bilbao,Iker Muniain,82,2,40,81,7,6.95
Atletico Madrid,Lucas Hernández,79,0,24,4,0,6.95
Sevilla,Stevan Jovetić,72,4,5,11,6,6.94
Espanyol,Marc Navarro,76,1,20,11,2,6.94
Valencia,Eliaquim Mangala,84,0,56,11,2,6.94
Real Sociedad,Xabi Prieto,82,6,28,26,8,6.94
Real Betis,Rubén Pardo,78,0,36,11,1,6.94
Atletico Madrid,Augusto Fernández,91,0,5,1,0,6.93
Villarreal,Víctor Ruiz,84,1,20,5,1,6.93
Valencia,Rodrigo,73,3,14,11,5,6.93
Atletico Madrid,Šime Vrsaljko,68,0,28,9,0,6.93
Deportivo Alaves,Fernando Pacheco,57,0,1,1,0,6.93
Sevilla,Ganso,87,1,16,4,2,6.93
Malaga,Recio,85,2,43,7,3,6.93
Real Betis,Aïssa Mandi,85,1,43,9,2,6.93
Sevilla,Adil Rami,84,0,22,3,0,6.92
Eibar,Fran Rico,75,1,43,2,2,6.92
Real Madrid,Lucas Vázquez,84,7,42,26,2,6.92
Leganes,Rubén Pérez,74,1,80,13,0,6.92
Real Betis,Felipe Gutiérrez,73,0,36,6,1,6.92
Real Madrid,Marco Asensio,89,2,26,24,3,6.92
Villarreal,Roberto Soriano,80,5,49,22,9,6.92
Eibar,Sergi Enrich,71,7,32,13,11,6.92
Granada,Matthieu Saunier,80,1,30,8,0,6.92
Athletic Bilbao,Raúl García,61,4,77,15,10,6.92
Las Palmas,Sergio Araujo,79,1,8,6,2,6.92
Barcelona,Jordi Alba,89,6,32,8,1,6.92
Espanyol,Víctor Sánchez,74,1,106,8,1,6.92
Granada,Adrian Ramos,70,1,8,8,4,6.91
Deportivo La Coruna,Sidnei,86,0,37,8,1,6.91
Las Palmas,Ángel Montoro,90,0,29,3,0,6.91
Leganes,Diego Rico,74,0,76,9,1,6.91
Athletic Bilbao,Xabier Etxeita,85,0,18,0,0,6.91
Barcelona,Paco Alcácer,80,3,5,2,6,6.91
Espanyol,Léo Baptistão,71,4,19,19,6,6.91
Granada,Mubarak Wakaso,80,1,40,11,1,6.91
Villarreal,Álvaro González,84,1,30,0,1,6.91
Deportivo Alaves,Óscar Romero,77,1,21,13,0,6.91
Deportivo La Coruna,Guilherme,84,1,76,16,2,6.90
Valencia,Simone Zaza,69,1,25,11,6,6.90
Real Madrid,Fábio Coentrão,94,1,1,1,0,6.90
Sevilla,Sergio Rico,60,0,1,0,0,6.90
Deportivo Alaves,Adrián Ortolá,58,0,0,0,0,6.90
Granada,Pervis Estupinan,81,0,6,1,0,6.90
Leganes,Robert Ibáñez,87,1,2,8,2,6.90
Deportivo La Coruna,Edu Expósito,81,0,2,2,0,6.90
Osasuna,Jhon Steven,72,0,7,0,2,6.90
Las Palmas,Jesé Rodríguez,82,1,19,33,3,6.90
Real Betis,Germán Pezzella,75,0,72,5,1,6.90
Leganes,Alexander Szymanowski,78,2,35,23,8,6.90
Deportivo La Coruna,Raúl Albentosa,82,1,33,4,1,6.89
Valencia,Nani,77,7,32,39,5,6.89
Espanyol,Diego López,53,0,0,1,0,6.89
Celta Vigo,Daniel Wass,76,4,37,12,3,6.89
Atletico Madrid,Kévin Gameiro,72,5,18,22,12,6.89
Las Palmas,Kevin-Prince Boateng,77,4,21,6,10,6.89
Atletico Madrid,Miguel Ángel Moyà,53,0,0,0,0,6.89
Celta Vigo,Andreu Fontàs,82,1,50,4,1,6.89
Deportivo La Coruna,Alejandro Arribas,77,0,41,9,0,6.89
Atletico Madrid,Thomas Partey,84,2,19,14,1,6.89
Real Madrid,Keylor Navas,67,0,0,0,0,6.88
Valencia,José Luis Gayà,78,2,76,27,1,6.88
Leganes,Alberto Martín,84,0,41,2,0,6.88
Sporting Gijon,Jean-Sylvain Babin,80,1,22,1,1,6.88
Valencia,Aderllan Santos,84,0,24,1,0,6.88
Eibar,Pedro León,68,5,41,49,10,6.87
Valencia,Mario Suárez,80,0,38,16,3,6.87
Deportivo La Coruna,Joselu,63,1,9,5,5,6.87
Villarreal,Cédric Bakambu,73,1,14,13,11,6.87
Osasuna,Roberto Torres,68,3,45,27,7,6.87
Deportivo Alaves,Theo Hernández,81,3,65,65,1,6.87
Atletico Madrid,Yannick Carrasco,83,4,26,71,10,6.87
Deportivo Alaves,Ibai Gómez,78,2,26,28,5,6.87
Sporting Gijon,Mikel Vesga,76,1,50,15,1,6.87
Atletico Madrid,Juanfran,78,2,44,19,0,6.87
Villarreal,Jonathan dos Santos,87,3,58,27,2,6.86
Real Sociedad,Mikel González,84,0,14,6,0,6.86
Deportivo La Coruna,Emre Çolak,82,6,44,31,3,6.86
Las Palmas,Roque Mesa,91,2,51,36,1,6.86
Barcelona,Lucas Digne,87,0,29,15,0,6.86
Real Sociedad,David Zurutuza,84,1,66,12,3,6.86
Eibar,Antonio Luna,71,5,45,26,1,6.86
Malaga,Roberto Rosales,78,2,98,22,1,6.86
Celta Vigo,Gustavo Cabral,84,1,73,4,2,6.86
Espanyol,José Jurado,83,3,39,46,3,6.85
Real Madrid,Kiko Casilla,67,0,1,0,0,6.85
Eibar,Anaitz Arbilla,71,2,44,17,0,6.85
Sevilla,Luciano Vietto,81,3,9,9,6,6.85
Malaga,Diego Llorente,79,0,36,1,2,6.85
Sevilla,Nicolás Pareja,81,1,41,6,1,6.85
Deportivo Alaves,Nenad Krstičić,76,0,27,8,2,6.85
Las Palmas,David García,85,1,31,4,1,6.85
Malaga,Charles Días,66,1,5,1,3,6.85
Celta Vigo,Facundo Roncaglia,82,0,97,10,2,6.85
Deportivo La Coruna,Ola John,81,1,6,13,0,6.85
Leganes,Martín Mantovani,81,0,43,5,1,6.85
Atletico Madrid,Nicolás Gaitán,80,2,22,20,3,6.84
Las Palmas,Momo,83,0,34,12,3,6.84
Atletico Madrid,Jan Oblak,56,0,0,1,0,6.84
Leganes,David Timor,76,1,32,9,2,6.84
Espanyol,Pablo Piatti,77,10,58,23,10,6.84
Sporting Gijon,Duje Čop,62,3,11,7,9,6.84
Villarreal,Rafael Santos Borré,76,1,7,4,2,6.84
Sevilla,Mariano,81,2,72,32,0,6.84
Real Sociedad,Yuri Berchiche,82,2,77,36,3,6.83
Sevilla,Pablo Sarabia,79,8,40,22,8,6.83
Malaga,Pablo Fornals,78,2,60,21,6,6.83
Atletico Madrid,Tiago,87,0,9,0,1,6.83
Leganes,Unai Bustinza,74,1,60,2,0,6.82
Granada,Sverrir Ingi Ingason,81,0,30,0,1,6.82
Celta Vigo,Giuseppe Rossi,81,1,8,8,4,6.82
Athletic Bilbao,Mikel San José,76,1,80,9,4,6.82
Osasuna,Oriol Riera,63,1,22,8,4,6.82
Sporting Gijon,Jorge Meré,82,0,61,16,0,6.82
Atletico Madrid,Fernando Torres,64,5,9,11,8,6.82
Granada,Guillermo Ochoa,55,0,0,0,0,6.82
Real Sociedad,Jon Bautista,67,0,11,0,3,6.82
Real Betis,Antonio Adán,53,0,1,2,0,6.82
Deportivo La Coruna,Juanfran,74,6,61,26,0,6.82
Celta Vigo,Jozabed Sánchez,82,2,18,1,2,6.82
Eibar,Kike,68,1,15,7,7,6.82
Eibar,Yoel Rodríguez,45,0,1,0,0,6.82
Deportivo La Coruna,Álex Bergantiños,86,0,20,1,1,6.81
Valencia,Martín Montoya,82,1,88,27,2,6.81
Celta Vigo,Sergi Gómez,84,0,50,3,0,6.80
Valencia,Shkodran Mustafi,74,0,2,0,0,6.80
Real Sociedad,Igor Zubeldia,89,0,9,3,0,6.80
Celta Vigo,Rubén Blanco,48,0,0,1,0,6.80
Valencia,Jaume Doménech,67,0,1,0,0,6.80
Eibar,Markel Areitio,38,0,0,0,0,6.80
Sporting Gijon,Sergio Álvarez,79,1,143,15,2,6.80
Deportivo Alaves,Kiko Femenia,83,2,50,33,0,6.80
Las Palmas,Vicente Gómez,90,0,46,17,2,6.80
Las Palmas,Dani Castellano,89,1,57,51,0,6.80
Valencia,Munir El Haddadi,79,3,40,17,6,6.79
Real Sociedad,Esteban Granero,84,1,20,12,0,6.79
Real Betis,Álex Alegría,69,2,8,6,3,6.79
Malaga,Martín Demichelis,80,0,9,5,0,6.79
Las Palmas,Alen Halilović,80,2,8,35,0,6.79
Real Sociedad,Gerónimo Rulli,73,0,5,0,0,6.79
Deportivo La Coruna,Florin Andone,67,2,23,40,12,6.79
