Team,Name,Accurate passing percentage,Assists,Tackles,Successful Dribbles,Goals,Rating
Ajax,Hakim Ziyech,73,13,48,76,16,8.34
Feyenoord,Steven Berghuis,80,13,44,66,12,8.09
Ajax,Dušan Tadić,76,13,32,48,28,7.97
Fc Utrecht,Maarten Paes,53,0,0,0,0,7.80
Psv Eindhoven,Luuk de Jong,66,6,46,16,28,7.73
Psv Eindhoven,Hirving Lozano,75,8,34,66,17,7.73
Vitesse,Martin Ødegaard,80,10,52,87,8,7.68
Ado Den Haag,Abdenasser El Khayati,75,12,32,39,17,7.51
Nec Nijmegen,Mattijs Branderhorst,35,0,0,0,0,7.50
Willem Ii Tilburg,Alexander Isak,73,6,11,32,13,7.49
Psv Eindhoven,Angeliño,77,9,74,49,1,7.47
Psv Eindhoven,Steven Bergwijn,85,12,30,105,14,7.46
Feyenoord,Joris Delle,54,0,0,0,0,7.45
Feyenoord,Robin van Persie,80,4,9,34,17,7.42
Feyenoord,Jean-Paul Boëtius,88,0,2,2,0,7.40
Feyenoord,Sam Larsson,82,8,45,76,8,7.38
Fc Utrecht,Oussama Tannane,75,3,30,13,1,7.37
Ajax,Frenkie de Jong,91,3,54,61,3,7.33
Pec Zwolle,Younes Namli,81,7,56,88,4,7.31
Az Alkmaar,Adam Maher,82,4,64,29,1,7.31
Fortuna Sittard,Mark Diemers,83,7,59,49,7,7.31
Vitesse,Richie Musaba,100,0,0,0,1,7.30
Ajax,Daley Blind,89,4,70,26,5,7.28
Ajax,Nicolás Tagliafico,85,4,68,14,2,7.28
Vitesse,Bryan Linssen,65,2,55,11,12,7.26
Psv Eindhoven,Gastón Pereiro,77,6,17,19,10,7.24
Heerenveen,Sam Lammers,69,5,19,47,16,7.24
Ajax,Matthijs De Ligt,90,1,34,8,3,7.23
Fc Emmen,Anco Jansen,80,7,23,60,5,7.22
Az Alkmaar,Oussama Idrissi,81,6,50,96,8,7.21
Nac Breda,Arijanet Murić,81,0,0,0,0,7.20
Feyenoord,Eric Botteghin,88,1,33,5,2,7.19
